TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
1697,2191,3005,2067,1821,1836,1885,-55,562,596
2017,2202,2994,2077,1822,1837,1885,-55,562,596
2337,2199,2999,2046,1824,1839,1885,-55,562,596
2657,2191,2992,2063,1827,1839,1886,-55,562,596
2977,2201,2991,2061,1828,1839,1886,-55,562,596
3297,2215,2993,2059,1827,1837,1884,-55,562,596
3617,2187,3001,2073,1830,1841,1886,-55,562,596
3937,2200,2987,2062,1827,1838,1883,-58,578,594
4257,2208,3000,2078,1826,1838,1883,-58,578,594
4577,2205,2993,2067,1828,1839,1884,-58,578,594
4897,2188,2999,2076,1825,1840,1883,-58,578,594
5217,2176,2993,2082,1824,1837,1882,-58,578,594
5537,2219,3017,2054,1823,1837,1882,-58,578,594
5857,2222,3003,2096,1827,1838,1882,-58,578,594
6177,2202,2994,2070,1829,1838,1881,-59,570,596
6497,2212,2975,2070,1826,1839,1882,-59,570,596
6817,2209,3007,2062,1827,1837,1879,-59,570,596
7137,2212,3004,2076,1829,1837,1879,-59,570,596
7457,2210,3013,2068,1830,1838,1879,-59,570,596
7777,2225,3000,2058,1830,1838,1879,-59,570,596
8097,2218,3008,2080,1831,1838,1879,-59,570,596
8417,2206,2987,2075,1827,1836,1877,-60,579,593
8737,2197,3011,2062,1829,1838,1878,-60,579,593
9057,2212,2999,2066,1825,1836,1875,-60,579,593
9377,2198,3010,2071,1825,1836,1877,-60,579,593
9697,2208,3009,2067,1827,1837,1879,-60,579,593
10017,2207,3003,2076,1828,1837,1878,-60,579,593
10337,2205,2998,2067,1828,1836,1877,-60,579,593
10657,2190,3003,2061,1830,1836,1877,-48,571,590
10977,2206,3013,2095,1833,1836,1877,-48,571,590
11297,2193,3007,2062,1834,1838,1879,-48,571,590
11617,2195,2988,2058,1831,1838,1880,-48,571,590
11937,2206,3002,2063,1831,1836,1877,-48,571,590
12257,2219,3009,2075,1834,1839,1879,-48,571,590
12577,2194,3013,2058,1831,1837,1878,-48,571,590
12897,2198,2997,2067,1830,1835,1877,-64,573,595
13217,2198,3003,2077,1831,1835,1878,-64,573,595
13537,2207,3004,2060,1827,1833,1876,-64,573,595
13857,2197,2987,2060,1829,1836,1879,-64,573,595
14177,2178,3018,2080,1826,1833,1877,-64,573,595
14497,2213,3000,2053,1828,1835,1878,-64,573,595
14817,2186,3018,2077,1828,1836,1878,-64,573,595
15137,2210,2990,2065,1829,1836,1878,-58,572,591
15457,2205,3018,2057,1831,1836,1877,-58,572,591
15777,2208,3000,2061,1832,1836,1877,-58,572,591
16097,2195,2995,2093,1835,1838,1876,-58,572,591
16417,2203,2985,2076,1835,1839,1877,-58,572,591
16737,2197,2999,2073,1832,1837,1880,-58,572,591
17057,2196,2998,2055,1830,1836,1877,-58,572,591
17377,2197,2992,2053,1829,1835,1878,-60,581,591
17697,2192,2998,2074,1830,1836,1878,-60,581,591
18017,2198,2988,2058,1828,1835,1878,-60,581,591
18337,2189,3005,2076,1829,1837,1879,-60,581,591
18657,2206,3003,2075,1829,1835,1878,-60,581,591
18977,2187,2977,2055,1832,1838,1881,-60,581,591
19297,2193,2993,2059,1832,1836,1880,-60,581,591
19617,2207,2976,2059,1832,1838,1881,-57,583,603
19937,2206,2999,2055,1833,1838,1881,-57,583,603
20257,2176,2999,2069,1831,1837,1881,-57,583,603
20577,2200,3008,2065,1831,1838,1880,-57,583,603
20897,2209,3016,2065,1830,1836,1878,-57,583,603
21217,2207,3006,2055,1830,1837,1877,-57,583,603
21537,2195,3011,2035,1831,1837,1878,-57,583,603
21857,2204,3018,2072,1830,1835,1881,-60,574,597
22177,2205,2997,2052,1827,1834,1877,-60,574,597
22497,2191,3007,2057,1828,1834,1877,-60,574,597
22817,2201,3024,2092,1829,1834,1879,-60,574,597
23137,2199,3004,2063,1828,1833,1878,-60,574,597
23457,2199,3004,2069,1830,1835,1879,-60,574,597
23777,2192,2989,2082,1828,1834,1878,-60,574,597
24097,2212,2995,2062,1831,1836,1879,-75,572,591
24417,2194,2997,2086,1829,1833,1878,-75,572,591
24737,2199,2999,2053,1832,1836,1880,-75,572,591
25057,2202,3000,2077,1831,1835,1880,-75,572,591
25377,2209,2971,2061,1829,1834,1880,-75,572,591
25697,2208,2990,2067,1829,1834,1879,-75,572,591
26017,2202,3023,2061,1829,1833,1879,-75,572,591
26337,2192,2988,2060,1830,1834,1878,-61,575,596
26657,2207,2999,2072,1831,1833,1879,-61,575,596
26977,2203,2988,2064,1830,1836,1882,-61,575,596
27297,2199,3006,2052,1830,1834,1878,-61,575,596
27617,2187,2993,2040,1830,1835,1878,-61,575,596
27937,2183,2994,2074,1830,1834,1878,-61,575,596
28257,2189,3017,2041,1831,1836,1880,-61,575,596
28577,2193,3003,2073,1831,1836,1880,-61,574,585
28897,2187,3011,2079,1828,1834,1878,-61,574,585
29217,2203,2997,2072,1829,1835,1879,-61,574,585
29537,2186,2999,2084,1831,1836,1880,-61,574,585
29857,2214,2977,2072,1830,1834,1881,-61,574,585
30177,2201,3007,2072,1832,1836,1881,-61,574,585
30497,2202,2991,2086,1830,1835,1879,-61,574,585
30817,2196,3006,2074,1830,1835,1879,-59,572,592
31137,2189,2991,2071,1830,1834,1878,-59,572,592
31457,2187,3003,2080,1831,1835,1878,-59,572,592
31777,2200,3016,2078,1831,1836,1879,-59,572,592
32097,2199,3008,2076,1831,1835,1879,-59,572,592
32417,2207,3018,2075,1829,1834,1877,-59,572,592
32737,2194,2998,2062,1831,1835,1878,-59,572,592
33057,2197,2992,2083,1833,1835,1878,-66,572,589
33377,2215,2991,2082,1834,1836,1880,-66,572,589
33697,2210,3000,2068,1835,1838,1881,-66,572,589
34017,2194,3014,2056,1832,1835,1878,-66,572,589
34337,2230,3003,2082,1833,1835,1877,-66,572,589
34657,2203,2994,2072,1834,1837,1879,-66,572,589
34977,2190,2987,2091,1834,1837,1879,-66,572,589
35297,2224,3011,2071,1835,1835,1878,-63,580,596
35617,2183,3007,2062,1832,1833,1879,-63,580,596
35937,2200,3009,2085,1833,1833,1876,-63,580,596
36257,2203,2993,2067,1833,1835,1877,-63,580,596
36577,2183,2981,2057,1833,1834,1876,-63,580,596
