TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
46785,2183,2124,2612,1822,1825,1774,15,527,629
47105,2131,2993,2066,1854,1848,1846,15,527,629
47425,2152,2999,2068,1858,1850,1848,15,527,629
47745,2130,2995,2051,1863,1853,1854,15,527,629
48065,2124,3007,2072,1866,1854,1857,15,527,629
48385,2116,2994,2080,1868,1854,1861,15,527,629
48705,2124,3003,2088,1870,1855,1864,15,527,629
49025,2114,3005,2090,1871,1855,1868,8,523,627
49345,2118,3009,2103,1870,1854,1872,8,523,627
49665,2122,3008,2097,1866,1852,1876,8,523,627
49985,2121,3004,2121,1863,1848,1878,8,523,627
50305,2117,2994,2128,1858,1846,1881,8,523,627
50625,2097,2994,2121,1847,1843,1882,8,523,627
50945,2129,3005,2118,1835,1840,1885,8,523,627
51265,2106,3010,2118,1826,1840,1888,8,532,618
51585,2126,3003,2140,1818,1835,1887,8,532,618
51905,2153,3011,2122,1815,1834,1889,8,532,618
52225,2157,3010,2119,1813,1834,1891,8,532,618
52545,2168,2983,2129,1814,1833,1892,8,532,618
52865,2166,3010,2112,1818,1833,1894,8,532,618
53185,2162,3006,2098,1821,1832,1894,8,532,618
53505,2171,3003,2073,1826,1832,1896,-4,526,622
53825,2155,2999,2093,1831,1835,1898,-4,526,622
54145,2162,3014,2063,1833,1835,1899,-4,526,622
54465,2158,2999,2075,1835,1837,1900,-4,526,622
54785,2166,3004,2069,1834,1836,1900,-4,526,622
55105,2155,3017,2064,1833,1836,1899,-4,526,622
55425,2145,3000,2071,1832,1836,1901,-4,526,622
55745,2152,3022,2040,1833,1838,1901,2,535,614
56065,2158,2999,2074,1832,1837,1900,2,535,614
56385,2148,3006,2068,1831,1839,1901,2,535,614
56705,2156,2997,2058,1829,1837,1899,2,535,614
57025,2185,2994,2073,1828,1837,1898,2,535,614
57345,2162,3016,2047,1829,1839,1899,2,535,614
57665,2170,3012,2076,1827,1839,1897,2,535,614
57985,2180,3001,2064,1827,1840,1897,-2,537,622
58305,2168,3020,2067,1825,1840,1896,-2,537,622
58625,2160,3011,2066,1826,1840,1894,-2,537,622
58945,2174,3012,2059,1827,1841,1892,-2,537,622
59265,2169,2993,2063,1829,1843,1892,-2,537,622
59585,2168,3017,2065,1830,1843,1891,-2,537,622
59905,2174,3004,2070,1829,1844,1889,-2,537,622
60225,2171,2993,2061,1828,1843,1888,-8,536,623
60545,2177,3006,2083,1827,1842,1885,-8,536,623
60865,2156,3022,2069,1828,1843,1884,-8,536,623
61185,2173,3006,2066,1825,1843,1883,-8,536,623
61505,2171,3018,2079,1828,1843,1885,-8,536,623
61825,2167,3020,2077,1826,1842,1881,-8,536,623
62145,2160,2996,2073,1827,1842,1882,-8,536,623
62465,2171,2994,2086,1828,1842,1881,-4,539,623
62785,2184,3008,2081,1828,1843,1881,-4,539,623
63105,2174,3011,2089,1829,1843,1882,-4,539,623
63425,2173,3017,2090,1828,1841,1880,-4,539,623
63745,2178,3003,2079,1827,1839,1879,-4,539,623
64065,2170,3010,2103,1829,1842,1880,-4,539,623
64385,2179,3012,2101,1828,1841,1879,-4,539,623
64705,2183,3001,2093,1829,1841,1878,1,544,620
65025,2164,3001,2099,1830,1840,1876,1,544,620
65345,2158,2985,2086,1830,1840,1877,1,544,620
129,2180,2999,2091,1833,1839,1876,1,544,620
449,2158,3001,2093,1836,1839,1875,1,544,620
769,2166,3001,2091,1839,1840,1877,1,544,620
1089,2149,3007,2100,1841,1839,1877,1,544,620
1409,2147,3017,2085,1839,1839,1876,-9,544,611
1729,2167,3020,2087,1840,1838,1875,-9,544,611
2049,2145,3021,2088,1840,1839,1877,-9,544,611
2369,2141,3020,2081,1838,1838,1879,-9,544,611
2689,2167,2995,2083,1837,1838,1878,-9,544,611
3009,2145,3014,2066,1835,1836,1876,-9,544,611
3329,2137,3026,2038,1832,1836,1876,-9,544,611
3649,2160,3030,2080,1832,1837,1877,-7,538,613
3969,2154,3013,2082,1829,1836,1876,-7,538,613
4289,2162,3024,2073,1832,1837,1876,-7,538,613
4609,2151,3022,2080,1831,1836,1874,-7,538,613
4929,2150,3020,2077,1835,1839,1876,-7,538,613
5249,2158,2995,2083,1834,1839,1876,-7,538,613
5569,2158,3003,2079,1834,1839,1871,-7,538,613
5889,2164,3010,2080,1834,1838,1873,-4,551,622
6209,2156,2994,2057,1836,1840,1876,-4,551,622
6529,2155,2991,2063,1835,1840,1875,-4,551,622
6849,2158,3001,2066,1836,1841,1875,-4,551,622
7169,2144,3000,2068,1837,1842,1877,-4,551,622
7489,2130,3010,2067,1836,1843,1879,-4,551,622
7809,2151,3011,2070,1838,1843,1879,-4,551,622
8129,2154,2992,2078,1837,1841,1877,-11,547,613
8449,2148,3001,2088,1836,1841,1877,-11,547,613
8769,2157,2997,2075,1838,1843,1877,-11,547,613
9089,2161,2995,2078,1836,1842,1874,-11,547,613
9409,2159,3003,2083,1836,1843,1875,-11,547,613
9729,2168,3007,2083,1835,1841,1874,-11,547,613
10049,2174,3012,2061,1838,1841,1873,-11,547,613
10369,2177,2990,2064,1846,1844,1876,-9,542,619
10689,2177,2987,2056,1853,1846,1875,-9,542,619
11009,2168,2986,2051,1864,1847,1876,-9,542,619
11329,2150,2979,2031,1868,1850,1880,-9,542,619
11649,2148,2975,2028,1871,1853,1877,-9,542,619
11969,2114,2993,2068,1865,1852,1876,-9,542,619
12289,2138,3047,2102,1860,1850,1875,-9,542,619
12609,2160,2983,2100,1857,1850,1872,-25,549,609
12929,2193,2979,2107,1865,1850,1870,-25,549,609
13249,2214,2977,2077,1875,1850,1866,-25,549,609
13569,2255,2989,2096,1897,1851,1865,-25,549,609
13889,2254,2997,2070,1928,1855,1865,-25,549,609
14209,2235,2999,2048,1961,1858,1866,-25,549,609
14529,2209,2986,2054,1994,1862,1865,-25,549,609
14849,2170,2979,2047,2014,1865,1862,-34,550,605
15169,2153,3005,2065,2026,1865,1858,-34,550,605
15489,2096,2982,2079,2023,1868,1854,-34,550,605
15809,2097,2992,2081,2007,1870,1851,-34,550,605
16129,2085,3013,2074,1986,1870,1849,-34,550,605
16449,2099,2996,2060,1969,1874,1852,-34,550,605
16769,2107,3023,2061,1956,1880,1851,-34,550,605
17089,2101,2996,2058,1942,1880,1851,-74,551,605
17409,2134,3038,2081,1934,1879,1851,-74,551,605
17729,2130,3039,2135,1936,1876,1851,-74,551,605
18049,2146,3037,2151,1943,1873,1852,-74,551,605
18369,2109,3011,2181,1941,1866,1850,-74,551,605
18689,2081,3013,2170,1925,1866,1845,-74,551,605
19009,2078,3035,2113,1900,1865,1840,-74,551,605
19329,2121,3040,2146,1887,1865,1840,-88,581,586
19649,2075,3035,2128,1867,1871,1837,-88,581,586
19969,2094,3029,2099,1848,1869,1835,-88,581,586
20289,2179,3032,2102,1851,1867,1838,-88,581,586
20609,2281,3055,2088,1889,1859,1837,-88,581,586
20929,2227,3051,2097,1935,1862,1840,-88,581,586
21249,2165,3055,2104,1974,1856,1843,-88,581,586
21569,2135,3033,2094,1991,1855,1845,-103,576,592
21889,2111,3034,2105,1987,1852,1842,-103,576,592
22209,2069,3042,2124,1967,1850,1841,-103,576,592
22529,2078,3038,2112,1940,1847,1841,-103,576,592
22849,2095,3019,2100,1913,1845,1840,-103,576,592
23169,2080,3022,2070,1893,1847,1841,-103,576,592
23489,2072,3015,2082,1873,1848,1842,-103,576,592
23809,2077,3007,2089,1866,1846,1845,-123,586,575
24129,2114,3014,2091,1866,1846,1846,-123,586,575
24449,2124,3022,2099,1873,1844,1848,-123,586,575
24769,2123,3010,2111,1880,1845,1849,-123,586,575
25089,2118,3023,2082,1885,1842,1853,-123,586,575
25409,2101,3022,2086,1886,1841,1852,-123,586,575
25729,2099,3023,2071,1886,1841,1854,-123,586,575
26049,2110,3015,2042,1881,1842,1857,-130,585,568
26369,2113,3002,2069,1873,1844,1857,-130,585,568
26689,2091,3014,2070,1866,1845,1859,-130,585,568
27009,2110,3014,2086,1858,1845,1861,-130,585,568
27329,2129,2992,2052,1853,1843,1858,-130,585,568
27649,2117,3009,2062,1849,1841,1859,-130,585,568
27969,2096,3008,2079,1840,1839,1860,-130,585,568
28289,2132,3019,2073,1847,1836,1865,-140,599,575
28609,2128,3033,2071,1854,1834,1865,-140,599,575
28929,2128,3037,2050,1861,1833,1865,-140,599,575
29249,2103,3031,2047,1861,1834,1866,-140,599,575
29569,2108,3023,2043,1857,1834,1866,-140,599,575
29889,2107,3018,2054,1852,1835,1866,-140,599,575
