TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
56961,2801,2179,1992,1827,1834,1880,370,211,578
57281,2814,2190,2006,1828,1834,1880,370,211,578
57601,2825,2167,1999,1828,1836,1880,370,211,578
57921,2809,2168,2000,1828,1837,1880,370,211,578
58241,2804,2180,1974,1830,1839,1880,370,211,578
58561,2811,2192,2001,1827,1837,1879,370,211,578
58881,2825,2180,1982,1828,1837,1880,370,211,578
59201,2815,2167,1983,1830,1839,1882,376,201,581
59521,2812,2174,1990,1829,1838,1881,376,201,581
59841,2820,2177,1997,1829,1838,1882,376,201,581
60161,2816,2169,1977,1829,1838,1879,376,201,581
60481,2807,2184,1977,1829,1837,1880,376,201,581
60801,2811,2181,1987,1830,1836,1878,376,201,581
61121,2812,2169,1988,1830,1836,1877,376,201,581
61441,2800,2170,1990,1828,1835,1877,380,206,585
61761,2813,2166,1983,1828,1835,1878,380,206,585
62081,2807,2189,1991,1830,1836,1879,380,206,585
62401,2822,2172,1996,1827,1834,1876,380,206,585
62721,2820,2175,1975,1827,1834,1876,380,206,585
63041,2811,2174,1993,1828,1833,1877,380,206,585
63361,2814,2175,1980,1829,1833,1877,380,206,585
63681,2812,2172,1992,1829,1833,1877,378,208,579
64001,2816,2181,1972,1828,1833,1877,378,208,579
64321,2807,2185,1974,1829,1834,1877,378,208,579
64641,2809,2190,1976,1830,1835,1879,378,208,579
64961,2798,2197,1984,1831,1837,1880,378,208,579
65281,2804,2181,1971,1831,1838,1880,378,208,579
65,2796,2197,1979,1832,1839,1882,378,208,579
385,2815,2176,1955,1828,1837,1879,375,209,582
705,2809,2177,1977,1828,1839,1879,375,209,582
1025,2810,2169,1985,1828,1838,1880,375,209,582
1345,2809,2152,1998,1827,1839,1882,375,209,582
1665,2807,2177,1994,1827,1837,1880,375,209,582
1985,2821,2173,1983,1828,1837,1880,375,209,582
2305,2823,2183,1996,1829,1837,1879,375,209,582
2625,2815,2185,1992,1828,1836,1879,370,210,582
2945,2830,2175,1976,1828,1837,1880,370,210,582
3265,2812,2187,1993,1828,1836,1879,370,210,582
3585,2819,2186,1970,1829,1835,1878,370,210,582
3905,2827,2187,1977,1830,1835,1878,370,210,582
4225,2813,2177,1983,1831,1835,1878,370,210,582
4545,2804,2180,1972,1834,1836,1879,370,210,582
4865,2808,2171,1984,1832,1835,1879,381,213,580
5185,2802,2183,1960,1830,1835,1877,381,213,580
5505,2806,2166,1980,1829,1835,1879,381,213,580
5825,2788,2175,1987,1828,1835,1880,381,213,580
6145,2814,2177,1993,1829,1836,1882,381,213,580
6465,2820,2182,1972,1828,1836,1882,381,213,580
6785,2826,2167,1989,1827,1836,1879,381,213,580
7105,2841,2161,1976,1829,1837,1878,379,202,578
7425,2819,2131,1982,1831,1840,1878,379,202,578
7745,2817,2155,1989,1833,1840,1875,379,202,578
8065,2833,2151,2001,1836,1843,1874,379,202,578
8385,2826,2150,1992,1837,1841,1871,379,202,578
8705,2824,2157,2002,1838,1843,1871,379,202,578
9025,2819,2156,2017,1839,1844,1868,379,202,578
9345,2815,2147,2009,1840,1846,1868,375,213,586
9665,2830,2120,2008,1844,1849,1867,375,213,586
9985,2820,2130,1994,1840,1850,1863,375,213,586
10305,2843,2136,2013,1844,1851,1860,375,213,586
10625,2837,2128,2042,1845,1852,1857,375,213,586
10945,2839,2118,2031,1847,1852,1853,375,213,586
11265,2843,2117,2056,1852,1850,1849,375,213,586
11585,2834,2106,2058,1856,1850,1848,379,204,584
11905,2861,2096,2071,1868,1851,1843,379,204,584
12225,2866,2118,2101,1879,1846,1837,379,204,584
12545,2903,2094,2109,1903,1843,1835,379,204,584
12865,2908,2079,2118,1925,1840,1831,379,204,584
13185,2915,2059,2112,1957,1839,1826,379,204,584
13505,2898,2045,2116,1983,1837,1819,379,204,584
13825,2909,2048,2112,2007,1837,1814,349,212,602
14145,2910,2035,2150,2026,1834,1801,349,212,602
14465,2890,2019,2214,2037,1830,1789,349,212,602
14785,2881,2047,2256,2041,1824,1778,349,212,602
15105,2880,2031,2299,2039,1814,1766,349,212,602
15425,2890,2008,2310,2042,1804,1753,349,212,602
15745,2896,2001,2290,2045,1796,1738,349,212,602
16065,2899,1954,2261,2049,1792,1725,296,195,617
16385,2886,1949,2232,2055,1788,1712,296,195,617
16705,2891,1917,2254,2057,1785,1701,296,195,617
17025,2887,1888,2259,2057,1782,1684,296,195,617
17345,2895,1894,2281,2060,1784,1670,296,195,617
17665,2899,1866,2309,2054,1781,1650,296,195,617
17985,2874,1841,2347,2055,1780,1634,296,195,617
18305,2874,1824,2322,2057,1780,1619,233,173,657
18625,2847,1796,2320,2054,1782,1599,233,173,657
18945,2868,1781,2291,2053,1786,1586,233,173,657
19265,2848,1758,2278,2056,1790,1571,233,173,657
19585,2855,1739,2289,2065,1793,1557,233,173,657
19905,2812,1749,2290,2076,1794,1545,233,173,657
20225,2764,1706,2324,2080,1793,1534,233,173,657
20545,2761,1709,2325,2080,1793,1519,172,146,668
20865,2750,1689,2341,2081,1792,1511,172,146,668
21185,2755,1680,2365,2088,1790,1504,172,146,668
21505,2712,1664,2370,2095,1783,1496,172,146,668
21825,2731,1665,2345,2106,1774,1489,172,146,668
22145,2706,1657,2374,2122,1765,1483,172,146,668
22465,2671,1650,2347,2134,1758,1478,172,146,668
22785,2648,1632,2337,2139,1748,1477,95,128,684
23105,2619,1636,2344,2140,1739,1475,95,128,684
23425,2570,1623,2349,2139,1732,1472,95,128,684
23745,2539,1621,2341,2130,1722,1472,95,128,684
24065,2481,1602,2320,2109,1710,1471,95,128,684
24385,2449,1598,2327,2083,1701,1474,95,128,684
24705,2445,1588,2329,2065,1692,1480,95,128,684
25025,2439,1573,2351,2056,1684,1487,28,121,698
25345,2407,1572,2312,2048,1675,1496,28,121,698
25665,2401,1579,2316,2044,1670,1502,28,121,698
25985,2395,1583,2345,2044,1664,1508,28,121,698
26305,2358,1599,2346,2046,1659,1518,28,121,698
26625,2349,1592,2321,2051,1653,1530,28,121,698
26945,2335,1594,2290,2057,1650,1539,28,121,698
27265,2298,1577,2251,2049,1651,1547,-22,102,702
27585,2283,1567,2223,2042,1654,1561,-22,102,702
27905,2258,1566,2202,2023,1655,1570,-22,102,702
28225,2194,1549,2232,2001,1659,1580,-22,102,702
28545,2180,1560,2237,1980,1664,1591,-22,102,702
28865,2139,1552,2273,1956,1665,1603,-22,102,702
29185,2137,1558,2299,1944,1670,1616,-22,102,702
29505,2127,1556,2301,1933,1672,1624,-45,58,705
29825,2073,1552,2274,1922,1675,1634,-45,58,705
30145,2080,1539,2233,1913,1684,1647,-45,58,705
30465,2021,1529,2229,1890,1692,1659,-45,58,705
30785,1987,1536,2245,1867,1699,1675,-45,58,705
31105,1974,1550,2235,1841,1709,1688,-45,58,705
31425,1943,1538,2206,1811,1719,1706,-45,58,705
31745,1912,1549,2242,1769,1729,1718,-40,33,711
32065,1926,1531,2193,1732,1741,1732,-40,33,711
32385,1905,1528,2217,1684,1747,1742,-40,33,711
32705,1964,1537,2236,1665,1754,1757,-40,33,711
33025,2032,1546,2236,1666,1758,1772,-40,33,711
33345,2026,1557,2202,1684,1761,1786,-40,33,711
33665,2022,1559,2162,1708,1768,1802,-40,33,711
33985,1982,1547,2101,1716,1775,1811,35,17,717
34305,1952,1553,2147,1700,1786,1819,35,17,717
34625,1950,1557,2179,1672,1791,1827,35,17,717
34945,2065,1591,2195,1668,1800,1837,35,17,717
35265,2102,1586,2192,1674,1809,1845,35,17,717
35585,2147,1567,2196,1688,1811,1847,35,17,717
35905,2158,1547,2184,1722,1816,1858,35,17,717
36225,2193,1572,2179,1764,1816,1865,96,11,727
36545,2179,1573,2193,1804,1820,1869,96,11,727
36865,2158,1583,2182,1842,1822,1873,96,11,727
37185,2138,1586,2146,1870,1825,1880,96,11,727
37505,2089,1560,2109,1885,1829,1879,96,11,727
37825,2053,1543,2116,1887,1835,1883,96,11,727
38145,2060,1547,2083,1868,1847,1882,96,11,727
38465,2054,1543,2110,1847,1855,1882,121,24,734
38785,2071,1539,2158,1845,1864,1885,121,24,734
39105,2091,1537,2173,1854,1867,1886,121,24,734
39425,2078,1535,2171,1875,1872,1889,121,24,734
39745,2066,1532,2170,1890,1872,1888,121,24,734
40065,2041,1536,2158,1897,1875,1889,121,24,734
40385,1979,1539,2183,1893,1881,1886,121,24,734
40705,2007,1506,2179,1882,1883,1882,118,31,748
41025,2022,1517,2176,1872,1887,1879,118,31,748
41345,2036,1511,2219,1860,1886,1877,118,31,748
41665,1984,1508,2259,1856,1882,1880,118,31,748
41985,1989,1508,2275,1854,1875,1882,118,31,748
42305,1975,1523,2324,1847,1866,1886,118,31,748
42625,2009,1513,2330,1838,1857,1888,118,31,748
42945,1975,1491,2327,1823,1849,1886,125,59,751
43265,1959,1492,2303,1810,1845,1888,125,59,751
43585,1967,1454,2280,1802,1841,1890,125,59,751
43905,2005,1451,2298,1803,1841,1895,125,59,751
44225,2001,1440,2290,1811,1835,1898,125,59,751
44545,1997,1451,2295,1820,1835,1903,125,59,751
44865,1992,1436,2301,1821,1830,1903,125,59,751
45185,1966,1433,2299,1819,1828,1907,140,55,751
45505,1976,1406,2285,1809,1827,1909,140,55,751
45825,1991,1394,2270,1795,1825,1909,140,55,751
46145,2022,1415,2288,1780,1826,1905,140,55,751
46465,2086,1407,2304,1773,1826,1902,140,55,751
46785,2166,1383,2290,1785,1827,1898,140,55,751
47105,2174,1405,2279,1801,1827,1889,140,55,751
47425,2154,1386,2282,1812,1827,1880,151,64,750
47745,2115,1387,2256,1813,1827,1875,151,64,750
48065,2066,1356,2241,1815,1830,1874,151,64,750
48385,2038,1363,2238,1816,1832,1876,151,64,750
48705,2017,1369,2244,1820,1835,1879,151,64,750
49025,2022,1381,2220,1827,1836,1885,151,64,750
49345,2003,1358,2243,1831,1837,1888,151,64,750
49665,1994,1375,2247,1832,1838,1891,159,61,754
49985,2011,1385,2252,1833,1839,1893,159,61,754
50305,2016,1383,2263,1836,1840,1895,159,61,754
50625,2032,1377,2243,1838,1842,1897,159,61,754
50945,2040,1368,2234,1833,1839,1896,159,61,754
51265,2028,1357,2247,1830,1840,1899,159,61,754
51585,2038,1381,2247,1831,1842,1904,159,61,754
51905,2046,1372,2248,1835,1842,1905,153,60,752
52225,2055,1372,2273,1841,1842,1906,153,60,752
52545,2058,1367,2249,1842,1844,1907,153,60,752
52865,2021,1359,2232,1841,1846,1908,153,60,752
53185,2027,1365,2226,1840,1847,1908,153,60,752
53505,2016,1385,2231,1838,1848,1910,153,60,752
53825,2029,1389,2251,1837,1849,1913,153,60,752
54145,2043,1393,2245,1838,1851,1919,162,74,752
54465,2023,1399,2253,1841,1850,1920,162,74,752
54785,2050,1398,2280,1843,1851,1922,162,74,752
55105,2039,1396,2257,1844,1852,1925,162,74,752
55425,2072,1404,2257,1848,1853,1928,162,74,752
55745,2045,1403,2279,1847,1854,1929,162,74,752
56065,2019,1383,2295,1842,1850,1929,162,74,752
56385,2033,1400,2296,1835,1848,1930,160,79,757
56705,2047,1421,2313,1824,1846,1929,160,79,757
57025,2036,1417,2300,1815,1845,1930,160,79,757
57345,2034,1414,2291,1810,1843,1931,160,79,757
57665,2065,1414,2296,1809,1844,1933,160,79,757
57985,2052,1396,2273,1812,1843,1931,160,79,757
58305,2053,1364,2226,1817,1845,1931,160,79,757
58625,2071,1389,2234,1822,1847,1931,160,90,753
58945,2085,1371,2252,1827,1849,1929,160,90,753
59265,2065,1365,2250,1832,1854,1930,160,90,753
59585,2067,1378,2261,1835,1852,1927,160,90,753
59905,2064,1387,2284,1838,1853,1927,160,90,753
60225,2063,1385,2274,1837,1852,1924,160,90,753
60545,2052,1395,2269,1835,1852,1922,160,90,753
60865,2069,1385,2262,1831,1853,1920,169,91,754
61185,2073,1395,2263,1824,1851,1916,169,91,754
61505,2082,1360,2279,1822,1849,1914,169,91,754
61825,2037,1412,2279,1822,1847,1912,169,91,754
62145,2088,1403,2290,1824,1845,1911,169,91,754
62465,2099,1428,2299,1827,1844,1910,169,91,754
62785,2091,1396,2262,1826,1844,1906,169,91,754
63105,2090,1394,2253,1826,1845,1905,160,98,757
63425,2092,1390,2243,1823,1843,1900,160,98,757
63745,2095,1407,2265,1826,1843,1899,160,98,757
64065,2077,1412,2283,1829,1843,1898,160,98,757
64385,2075,1439,2250,1834,1843,1899,160,98,757
64705,2083,1419,2273,1835,1841,1897,160,98,757
65025,2077,1408,2276,1835,1841,1896,160,98,757
65345,2080,1424,2258,1831,1840,1895,163,104,753
129,2094,1401,2269,1831,1839,1895,163,104,753
449,2113,1412,2258,1828,1840,1895,163,104,753
769,2092,1398,2271,1822,1838,1892,163,104,753
1089,2099,1407,2306,1822,1839,1895,163,104,753
1409,2110,1408,2289,1822,1837,1893,163,104,753
1729,2106,1401,2295,1825,1837,1891,163,104,753
2049,2096,1421,2270,1827,1838,1891,158,96,755
2369,2095,1414,2267,1828,1837,1891,158,96,755
2689,2094,1424,2250,1827,1838,1891,158,96,755
3009,2109,1420,2262,1829,1840,1892,158,96,755
3329,2120,1425,2293,1830,1838,1891,158,96,755
3649,2101,1407,2294,1830,1838,1889,158,96,755
3969,2109,1421,2285,1835,1839,1890,158,96,755
4289,2105,1422,2281,1837,1836,1889,161,100,752
4609,2101,1425,2288,1836,1838,1891,161,100,752
4929,2067,1415,2270,1830,1834,1889,161,100,752
5249,2074,1416,2284,1826,1833,1889,161,100,752
5569,2096,1415,2269,1823,1834,1890,161,100,752
5889,2090,1417,2286,1821,1832,1887,161,100,752
6209,2108,1414,2282,1821,1832,1887,161,100,752
6529,2116,1424,2267,1821,1832,1885,171,101,754
6849,2110,1397,2263,1822,1833,1886,171,101,754
7169,2104,1385,2277,1828,1835,1886,171,101,754
7489,2107,1391,2291,1831,1835,1884,171,101,754
7809,2114,1406,2280,1833,1835,1882,171,101,754
8129,2120,1404,2294,1838,1838,1882,171,101,754
8449,2101,1410,2252,1837,1837,1878,171,101,754
8769,2104,1410,2262,1836,1837,1878,169,104,761
9089,2103,1424,2294,1836,1839,1879,169,104,761
9409,2117,1425,2293,1835,1837,1878,169,104,761
9729,2094,1435,2263,1836,1840,1879,169,104,761
10049,2092,1419,2294,1835,1840,1877,169,104,761
10369,2118,1410,2291,1836,1841,1879,169,104,761
10689,2119,1413,2287,1838,1840,1879,169,104,761
11009,2130,1402,2287,1836,1838,1877,165,99,756
11329,2119,1423,2285,1836,1837,1877,165,99,756
11649,2098,1400,2279,1834,1836,1878,165,99,756
11969,2092,1396,2276,1833,1838,1878,165,99,756
12289,2101,1421,2271,1832,1838,1877,165,99,756
12609,2107,1414,2295,1829,1836,1877,165,99,756
12929,2106,1422,2279,1829,1834,1877,165,99,756
13249,2111,1418,2276,1834,1836,1880,156,103,752
13569,2097,1434,2252,1830,1835,1877,156,103,752
13889,2113,1405,2271,1828,1834,1877,156,103,752
14209,2117,1444,2252,1830,1834,1877,156,103,752
14529,2108,1418,2264,1830,1831,1876,156,103,752
14849,2080,1420,2280,1832,1834,1878,156,103,752
15169,2095,1401,2271,1829,1831,1876,156,103,752
15489,2109,1410,2269,1828,1831,1875,160,100,752
15809,2116,1422,2298,1827,1832,1877,160,100,752
16129,2099,1408,2276,1826,1832,1876,160,100,752
16449,2111,1430,2255,1824,1830,1877,160,100,752
16769,2101,1403,2286,1825,1830,1876,160,100,752
17089,2112,1424,2258,1828,1832,1878,160,100,752
17409,2129,1406,2291,1830,1833,1878,160,100,752
17729,2114,1401,2286,1830,1833,1878,169,102,755
18049,2106,1393,2273,1828,1832,1876,169,102,755
18369,2106,1411,2271,1828,1833,1877,169,102,755
18689,2106,1415,2269,1827,1834,1878,169,102,755
19009,2104,1415,2287,1826,1834,1879,169,102,755
19329,2110,1422,2279,1831,1835,1879,169,102,755
19649,2092,1398,2280,1829,1833,1879,169,102,755
19969,2111,1394,2283,1831,1836,1881,166,102,756
20289,2106,1405,2275,1829,1833,1879,166,102,756
20609,2101,1420,2279,1829,1834,1879,166,102,756
20929,2091,1411,2264,1829,1836,1880,166,102,756
21249,2108,1415,2249,1828,1835,1879,166,102,756
21569,2105,1408,2273,1827,1836,1877,166,102,756
21889,2115,1400,2297,1828,1835,1878,166,102,756
22209,2099,1419,2266,1829,1836,1878,165,99,761
22529,2099,1396,2282,1830,1837,1878,165,99,761
22849,2095,1406,2261,1830,1837,1878,165,99,761
23169,2109,1400,2273,1829,1836,1878,165,99,761
23489,2099,1383,2276,1830,1836,1877,165,99,761
23809,2112,1410,2273,1828,1836,1878,165,99,761
24129,2114,1387,2288,1829,1836,1877,165,99,761
24449,2122,1423,2269,1829,1837,1879,167,100,752
24769,2122,1409,2259,1826,1835,1877,167,100,752
25089,2100,1407,2271,1828,1838,1881,167,100,752
25409,2080,1407,2264,1827,1836,1877,167,100,752
25729,2087,1402,2269,1828,1836,1877,167,100,752
26049,2096,1408,2290,1831,1838,1880,167,100,752
26369,2119,1405,2252,1829,1836,1878,167,100,752
26689,2118,1425,2294,1828,1836,1878,168,109,751
27009,2125,1393,2273,1828,1836,1879,168,109,751
27329,2106,1401,2263,1828,1837,1880,168,109,751
27649,2095,1411,2279,1830,1838,1880,168,109,751
27969,2118,1403,2283,1829,1837,1879,168,109,751
28289,2127,1407,2271,1827,1835,1878,168,109,751
28609,2092,1406,2277,1827,1835,1878,168,109,751
28929,2097,1435,2269,1828,1835,1879,173,97,758
29249,2104,1418,2280,1828,1835,1878,173,97,758
29569,2103,1409,2263,1828,1836,1880,173,97,758
29889,2099,1407,2265,1827,1835,1878,173,97,758
30209,2111,1398,2269,1826,1835,1878,173,97,758
30529,2112,1421,2273,1828,1835,1879,173,97,758
30849,2128,1407,2299,1828,1835,1879,173,97,758
31169,2123,1418,2267,1826,1834,1880,167,104,753
31489,2101,1407,2259,1823,1833,1878,167,104,753
31809,2101,1399,2278,1826,1834,1878,167,104,753
32129,2112,1400,2276,1825,1834,1879,167,104,753
32449,2097,1398,2259,1826,1835,1879,167,104,753
32769,2110,1402,2280,1827,1836,1879,167,104,753
33089,2116,1426,2250,1829,1838,1881,167,104,753
33409,2117,1406,2282,1827,1835,1878,170,100,752
33729,2114,1405,2282,1827,1836,1879,170,100,752
34049,2113,1428,2279,1828,1838,1880,170,100,752
34369,2114,1400,2281,1827,1838,1879,170,100,752
34689,2117,1425,2256,1829,1839,1881,170,100,752
35009,2107,1403,2281,1827,1836,1879,170,100,752
35329,2087,1402,2271,1827,1837,1880,170,100,752
35649,2093,1396,2270,1827,1838,1880,176,107,758
35969,2113,1409,2260,1830,1840,1881,176,107,758
36289,2113,1410,2271,1830,1839,1881,176,107,758
36609,2119,1419,2270,1829,1839,1878,176,107,758
36929,2096,1417,2274,1827,1837,1877,176,107,758
