TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
23329,2072,1406,2270,1830,1835,1880,186,110,747
23649,2086,1413,2249,1830,1834,1879,186,110,747
23969,2099,1413,2250,1830,1834,1880,186,110,747
24289,2124,1409,2266,1830,1837,1880,186,110,747
24609,2106,1397,2257,1829,1835,1879,186,110,747
24929,2092,1411,2262,1830,1836,1881,186,110,747
25249,2110,1408,2271,1830,1835,1879,186,110,747
25569,2103,1394,2262,1831,1835,1880,180,103,747
25889,2070,1404,2289,1831,1836,1880,180,103,747
26209,2099,1420,2257,1832,1833,1879,180,103,747
26529,2101,1417,2272,1835,1833,1877,180,103,747
26849,2100,1418,2266,1831,1834,1880,180,103,747
27169,2110,1402,2291,1831,1831,1878,180,103,747
27489,2103,1397,2296,1831,1833,1879,180,103,747
27809,2115,1422,2290,1828,1832,1879,189,104,746
28129,2118,1403,2276,1829,1835,1880,189,104,746
28449,2107,1422,2258,1827,1833,1878,189,104,746
28769,2106,1410,2258,1828,1833,1878,189,104,746
29089,2119,1409,2257,1828,1835,1879,189,104,746
29409,2089,1408,2263,1831,1837,1880,189,104,746
29729,2091,1395,2275,1832,1833,1878,189,104,746
30049,2100,1411,2262,1833,1837,1881,173,99,742
30369,2097,1402,2284,1830,1835,1878,173,99,742
30689,2098,1407,2283,1828,1834,1878,173,99,742
31009,2096,1404,2280,1828,1835,1880,173,99,742
31329,2110,1428,2263,1826,1834,1879,173,99,742
31649,2114,1422,2273,1826,1834,1878,173,99,742
31969,2100,1414,2279,1829,1834,1878,173,99,742
32289,2101,1417,2279,1831,1835,1879,179,102,748
32609,2111,1403,2261,1832,1837,1879,179,102,748
32929,2089,1418,2272,1831,1837,1880,179,102,748
33249,2109,1409,2283,1830,1835,1878,179,102,748
33569,2114,1426,2281,1830,1838,1880,179,102,748
33889,2090,1392,2278,1829,1836,1879,179,102,748
34209,2112,1409,2278,1826,1835,1878,179,102,748
34529,2107,1412,2275,1828,1836,1879,188,98,753
34849,2100,1406,2273,1830,1834,1879,188,98,753
35169,2110,1407,2248,1829,1835,1878,188,98,753
35489,2097,1393,2256,1830,1835,1877,188,98,753
35809,2095,1396,2255,1830,1835,1878,188,98,753
36129,2070,1415,2271,1831,1837,1879,188,98,753
36449,2110,1415,2256,1829,1836,1876,188,98,753
36769,2102,1423,2269,1830,1835,1877,177,102,740
37089,2102,1405,2287,1830,1835,1877,177,102,740
37409,2098,1402,2266,1831,1836,1878,177,102,740
37729,2101,1401,2261,1832,1837,1880,177,102,740
38049,2081,1408,2282,1828,1837,1879,177,102,740
38369,2113,1391,2258,1828,1835,1877,177,102,740
38689,2114,1428,2278,1828,1835,1878,177,102,740
39009,2114,1412,2244,1829,1836,1878,173,99,743
39329,2093,1406,2265,1830,1836,1877,173,99,743
39649,2088,1417,2242,1832,1837,1878,173,99,743
39969,2109,1407,2251,1831,1836,1876,173,99,743
40289,2105,1407,2270,1834,1838,1879,173,99,743
40609,2099,1413,2269,1832,1835,1877,173,99,743
40929,2104,1405,2280,1832,1835,1877,173,99,743
41249,2094,1391,2267,1833,1836,1878,173,102,751
41569,2105,1390,2271,1830,1834,1876,173,102,751
41889,2101,1396,2266,1829,1834,1877,173,102,751
42209,2110,1408,2256,1827,1834,1877,173,102,751
42529,2113,1409,2267,1827,1834,1877,173,102,751
42849,2069,1403,2283,1829,1835,1879,173,102,751
43169,2110,1420,2258,1827,1835,1879,173,102,751
43489,2092,1402,2260,1828,1834,1877,183,107,746
43809,2112,1411,2280,1830,1834,1877,183,107,746
44129,2112,1394,2280,1831,1835,1878,183,107,746
44449,2098,1401,2277,1832,1835,1877,183,107,746
44769,2090,1419,2277,1833,1836,1880,183,107,746
45089,2089,1413,2248,1830,1834,1877,183,107,746
45409,2098,1391,2274,1832,1838,1880,183,107,746
45729,2081,1412,2256,1830,1835,1877,179,96,747
46049,2104,1411,2241,1829,1835,1877,179,96,747
46369,2106,1399,2263,1830,1837,1879,179,96,747
46689,2120,1406,2248,1827,1835,1877,179,96,747
47009,2100,1405,2268,1829,1835,1879,179,96,747
47329,2097,1405,2272,1830,1835,1879,179,96,747
47649,2114,1401,2276,1831,1836,1879,179,96,747
47969,2114,1405,2268,1831,1837,1880,184,97,742
48289,2096,1402,2273,1829,1835,1879,184,97,742
48609,2112,1400,2266,1829,1835,1878,184,97,742
48929,2110,1397,2267,1828,1835,1879,184,97,742
49249,2107,1407,2259,1829,1835,1879,184,97,742
49569,2104,1395,2266,1831,1836,1878,184,97,742
49889,2096,1401,2272,1830,1835,1881,184,97,742
50209,2113,1416,2245,1830,1835,1879,191,101,746
50529,2118,1392,2256,1831,1838,1881,191,101,746
50849,2097,1394,2275,1830,1836,1879,191,101,746
51169,2114,1407,2278,1830,1836,1880,191,101,746
51489,2099,1402,2270,1830,1837,1881,191,101,746
51809,2087,1410,2257,1830,1837,1881,191,101,746
52129,2087,1414,2251,1829,1836,1881,191,101,746
52449,2100,1392,2284,1829,1836,1880,189,100,751
52769,2125,1408,2271,1831,1837,1882,189,100,751
53089,2121,1400,2284,1833,1837,1881,189,100,751
53409,2107,1420,2267,1832,1836,1880,189,100,751
53729,2099,1392,2266,1832,1836,1879,189,100,751
54049,2095,1406,2250,1829,1836,1879,189,100,751
54369,2096,1401,2275,1830,1836,1879,189,100,751
54689,2095,1398,2274,1830,1837,1878,181,96,747
55009,2103,1397,2275,1830,1836,1881,181,96,747
55329,2102,1423,2279,1830,1836,1878,181,96,747
55649,2109,1389,2272,1830,1835,1879,181,96,747
55969,2095,1404,2263,1830,1836,1879,181,96,747
56289,2095,1404,2256,1830,1837,1880,181,96,747
56609,2104,1378,2285,1831,1838,1880,181,96,747
56929,2109,1406,2266,1829,1835,1879,183,101,752
57249,2094,1401,2272,1832,1837,1880,183,101,752
57569,2102,1371,2281,1829,1835,1878,183,101,752
57889,2110,1421,2261,1830,1836,1879,183,101,752
58209,2098,1390,2268,1832,1837,1880,183,101,752
58529,2101,1410,2276,1829,1835,1880,183,101,752
58849,2122,1413,2274,1830,1835,1879,183,101,752
59169,2101,1418,2268,1829,1835,1878,184,103,752
59489,2088,1406,2283,1830,1836,1877,184,103,752
59809,2107,1398,2281,1832,1837,1880,184,103,752
60129,2098,1395,2266,1831,1835,1879,184,103,752
60449,2102,1395,2263,1830,1835,1878,184,103,752
60769,2104,1390,2245,1830,1834,1878,184,103,752
