TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
17921,2116,3063,1925,1826,1832,1879,17,622,549
18241,2135,3072,1928,1827,1834,1879,17,622,549
18561,2141,3063,1929,1826,1832,1879,17,622,549
18881,2133,3071,1950,1827,1833,1878,17,622,549
19201,2143,3089,1900,1830,1835,1879,17,622,549
19521,2137,3063,1940,1829,1834,1880,17,622,549
19841,2143,3075,1920,1832,1836,1880,17,622,549
20161,2132,3077,1935,1829,1834,1882,18,610,561
20481,2132,3072,1904,1829,1834,1880,18,610,561
20801,2130,3064,1908,1829,1834,1878,18,610,561
21121,2145,3081,1927,1829,1836,1880,18,610,561
21441,2141,3059,1921,1829,1834,1878,18,610,561
21761,2129,3089,1909,1829,1836,1879,18,610,561
22081,2146,3075,1920,1829,1835,1878,18,610,561
22401,2108,3074,1932,1829,1834,1878,17,624,549
22721,2124,3080,1925,1829,1835,1878,17,624,549
23041,2137,3073,1908,1828,1834,1878,17,624,549
23361,2131,3093,1895,1829,1835,1880,17,624,549
23681,2130,3087,1925,1827,1834,1879,17,624,549
24001,2140,3060,1917,1827,1836,1881,17,624,549
24321,2138,3087,1892,1824,1833,1878,17,624,549
24641,2141,3087,1915,1824,1834,1880,15,616,555
24961,2141,3070,1925,1826,1835,1880,15,616,555
25281,2125,3095,1928,1825,1833,1879,15,616,555
25601,2142,3054,1924,1824,1834,1877,15,616,555
25921,2129,3051,1936,1825,1833,1877,15,616,555
26241,2138,3089,1934,1825,1835,1878,15,616,555
26561,2128,3073,1920,1826,1835,1878,15,616,555
26881,2156,3079,1919,1827,1835,1879,28,623,551
27201,2143,3053,1926,1829,1835,1878,28,623,551
27521,2133,3069,1917,1828,1835,1880,28,623,551
27841,2150,3058,1935,1827,1834,1879,28,623,551
28161,2123,3056,1920,1827,1834,1879,28,623,551
28481,2147,3080,1935,1829,1834,1879,28,623,551
28801,2135,3086,1924,1828,1833,1877,28,623,551
29121,2134,3059,1921,1828,1833,1876,19,621,564
29441,2126,3085,1916,1829,1834,1877,19,621,564
29761,2147,3091,1930,1828,1833,1877,19,621,564
30081,2138,3073,1909,1830,1835,1879,19,621,564
30401,2131,3086,1901,1828,1833,1879,19,621,564
30721,2119,3083,1918,1830,1835,1879,19,621,564
31041,2126,3080,1931,1828,1833,1877,19,621,564
31361,2134,3095,1896,1828,1835,1879,15,622,556
31681,2123,3085,1902,1828,1835,1879,15,622,556
32001,2119,3071,1927,1827,1834,1879,15,622,556
32321,2117,3088,1915,1825,1834,1878,15,622,556
32641,2122,3064,1904,1825,1834,1877,15,622,556
32961,2142,3084,1923,1824,1834,1878,15,622,556
33281,2125,3072,1925,1824,1834,1878,15,622,556
33601,2135,3082,1930,1826,1835,1881,20,614,551
33921,2127,3066,1923,1825,1833,1878,20,614,551
34241,2136,3085,1930,1825,1833,1879,20,614,551
34561,2136,3065,1932,1826,1833,1880,20,614,551
34881,2139,3067,1940,1827,1834,1879,20,614,551
35201,2140,3068,1927,1828,1834,1880,20,614,551
35521,2139,3071,1926,1826,1832,1880,20,614,551
35841,2128,3070,1918,1827,1833,1879,29,616,546
36161,2123,3071,1930,1830,1835,1879,29,616,546
36481,2140,3073,1887,1829,1835,1878,29,616,546
36801,2117,3078,1920,1830,1835,1877,29,616,546
37121,2131,3092,1924,1830,1835,1879,29,616,546
37441,2126,3084,1931,1830,1833,1877,29,616,546
37761,2145,3075,1910,1833,1837,1880,29,616,546
38081,2147,3060,1918,1831,1834,1877,20,614,550
38401,2124,3048,1921,1830,1835,1878,20,614,550
38721,2129,3065,1927,1831,1837,1880,20,614,550
39041,2142,3055,1923,1829,1835,1878,20,614,550
39361,2136,3100,1942,1828,1835,1878,20,614,550
39681,2141,3037,1914,1830,1835,1878,20,614,550
40001,2146,3077,1903,1830,1835,1879,20,614,550
40321,2125,3071,1918,1831,1836,1879,16,611,553
40641,2128,3050,1913,1829,1835,1877,16,611,553
40961,2136,3075,1913,1828,1835,1876,16,611,553
41281,2112,3088,1908,1830,1836,1879,16,611,553
41601,2136,3081,1901,1829,1836,1879,16,611,553
41921,2136,3082,1919,1829,1835,1876,16,611,553
