TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
36385,2150,3059,1957,1826,1835,1879,34,599,566
36705,2193,3041,1951,1826,1834,1878,34,599,566
37025,2188,3059,1975,1827,1836,1881,34,599,566
37345,2188,3053,1975,1826,1835,1879,34,599,566
37665,2191,3049,1965,1825,1835,1880,34,599,566
37985,2186,3065,1970,1827,1835,1879,34,599,566
38305,2195,3029,1982,1827,1834,1878,34,599,566
38625,2182,3025,1966,1829,1835,1879,33,604,569
38945,2172,3065,1972,1827,1834,1877,33,604,569
39265,2175,3074,1959,1826,1834,1877,33,604,569
39585,2174,3062,1983,1827,1833,1878,33,604,569
39905,2174,3054,1971,1827,1833,1877,33,604,569
40225,2185,3035,1960,1828,1834,1879,33,604,569
40545,2179,3048,1950,1827,1833,1878,33,604,569
40865,2186,3065,1945,1827,1833,1878,31,602,568
41185,2160,3063,1974,1827,1834,1878,31,602,568
41505,2175,3056,1947,1827,1834,1879,31,602,568
41825,2156,3077,1961,1827,1835,1881,31,602,568
42145,2164,3046,1982,1826,1834,1879,31,602,568
42465,2209,3064,1985,1825,1832,1878,31,602,568
42785,2173,3050,1961,1828,1835,1881,31,602,568
43105,2182,3049,1968,1825,1833,1878,28,606,565
43425,2179,3045,1976,1826,1832,1877,28,606,565
43745,2183,3049,1998,1827,1834,1878,28,606,565
44065,2191,3046,1973,1827,1832,1878,28,606,565
44385,2187,3045,1955,1827,1833,1877,28,606,565
44705,2177,3033,1962,1827,1834,1879,28,606,565
45025,2173,3049,1976,1828,1833,1878,28,606,565
45345,2187,3057,1928,1830,1836,1880,24,606,567
45665,2186,3047,1964,1829,1833,1878,24,606,567
45985,2187,3040,1975,1830,1832,1877,24,606,567
46305,2167,3060,1946,1830,1834,1878,24,606,567
46625,2194,3045,1970,1831,1835,1878,24,606,567
46945,2196,3052,1962,1833,1834,1879,24,606,567
47265,2178,3049,1983,1832,1835,1877,24,606,567
47585,2172,3055,1967,1831,1834,1876,30,611,573
47905,2169,3058,1971,1832,1837,1879,30,611,573
48225,2189,3031,1971,1832,1836,1878,30,611,573
48545,2181,3050,1977,1830,1834,1877,30,611,573
48865,2175,3042,1959,1831,1836,1879,30,611,573
49185,2176,3050,1949,1826,1834,1879,30,611,573
49505,2180,3053,1948,1828,1834,1878,30,611,573
49825,2179,3049,1976,1828,1834,1878,23,602,566
50145,2175,3047,1966,1828,1835,1878,23,602,566
50465,2179,3045,1971,1830,1836,1879,23,602,566
50785,2177,3052,1956,1828,1834,1878,23,602,566
51105,2184,3051,1957,1828,1834,1877,23,602,566
51425,2155,3055,1963,1831,1835,1879,23,602,566
51745,2174,3035,1942,1829,1835,1877,23,602,566
52065,2187,3044,1971,1830,1836,1878,35,598,568
52385,2176,3039,1971,1830,1835,1879,35,598,568
52705,2175,3052,1969,1829,1834,1878,35,598,568
53025,2181,3049,1976,1829,1835,1877,35,598,568
53345,2188,3046,1973,1830,1835,1879,35,598,568
53665,2179,3046,1963,1828,1834,1878,35,598,568
53985,2172,3050,1970,1830,1835,1878,35,598,568
54305,2177,3057,1954,1829,1834,1877,33,601,574
54625,2164,3067,1958,1831,1836,1879,33,601,574
54945,2172,3035,1955,1829,1835,1877,33,601,574
55265,2169,3050,1951,1829,1835,1877,33,601,574
55585,2160,3048,1964,1831,1836,1879,33,601,574
55905,2159,3043,1966,1829,1834,1878,33,601,574
56225,2165,3049,1960,1827,1835,1879,33,601,574
56545,2197,3063,1964,1827,1835,1879,23,607,568
56865,2178,3039,1957,1828,1837,1879,23,607,568
57185,2170,3041,1968,1830,1838,1881,23,607,568
57505,2197,3043,1973,1830,1837,1879,23,607,568
57825,2173,3055,1965,1830,1836,1879,23,607,568
58145,2197,3045,1978,1833,1837,1881,23,607,568
58465,2182,3047,1975,1829,1836,1877,23,607,568
58785,2188,3043,1951,1832,1835,1877,32,599,575
59105,2187,3048,1978,1833,1835,1877,32,599,575
59425,2175,3039,1971,1830,1834,1875,32,599,575
59745,2203,3049,1969,1833,1836,1878,32,599,575
60065,2169,3047,1957,1831,1834,1877,32,599,575
60385,2176,3040,1945,1830,1835,1876,32,599,575
60705,2184,3049,1956,1832,1837,1877,32,599,575
61025,2180,3051,1932,1831,1835,1876,27,607,564
61345,2188,3051,1958,1831,1836,1876,27,607,564
61665,2180,3039,1954,1832,1836,1875,27,607,564
61985,2177,3065,1964,1834,1837,1876,27,607,564
62305,2176,3051,1981,1834,1838,1877,27,607,564
62625,2166,3048,1993,1834,1838,1876,27,607,564
62945,2172,3063,2002,1833,1836,1874,27,607,564
63265,2184,3045,1976,1834,1837,1875,23,606,569
63585,2178,3026,1958,1836,1836,1875,23,606,569
63905,2162,3042,1971,1838,1837,1875,23,606,569
64225,2181,3031,1967,1841,1839,1876,23,606,569
64545,2190,3041,1985,1843,1838,1873,23,606,569
64865,2193,3046,1975,1842,1837,1875,23,606,569
65185,2180,3039,1952,1843,1837,1874,23,606,569
65505,2174,3046,1953,1843,1837,1874,27,605,566
289,2184,3062,1953,1844,1839,1876,27,605,566
609,2200,3060,1935,1843,1838,1875,27,605,566
929,2185,3055,1961,1844,1840,1877,27,605,566
1249,2186,3057,1939,1843,1839,1875,27,605,566
1569,2149,3066,1955,1841,1839,1874,27,605,566
1889,2172,3053,1960,1843,1840,1874,27,605,566
2209,2176,3051,1941,1842,1840,1875,23,613,572
2529,2159,3059,1953,1842,1841,1877,23,613,572
2849,2163,3052,1942,1838,1838,1874,23,613,572
3169,2173,3055,1937,1836,1839,1875,23,613,572
3489,2156,3055,1957,1837,1838,1875,23,613,572
3809,2162,3058,1953,1838,1839,1877,23,613,572
4129,2170,3073,1955,1834,1838,1876,23,613,572
4449,2163,3077,1956,1833,1837,1876,26,606,580
4769,2194,3032,1965,1832,1836,1877,26,606,580
5089,2181,3059,1940,1833,1838,1878,26,606,580
5409,2186,3053,1952,1833,1837,1878,26,606,580
5729,2172,3061,1956,1832,1836,1876,26,606,580
6049,2182,3049,1955,1833,1836,1876,26,606,580
6369,2176,3051,1958,1833,1836,1878,26,606,580
6689,2173,3053,1952,1833,1836,1876,31,606,559
7009,2188,3065,1940,1832,1837,1876,31,606,559
7329,2170,3050,1949,1833,1835,1877,31,606,559
7649,2183,3041,1941,1831,1835,1875,31,606,559
7969,2172,3053,1948,1830,1835,1876,31,606,559
8289,2180,3050,1964,1829,1836,1877,31,606,559
8609,2171,3068,1956,1832,1836,1876,31,606,559
8929,2168,3053,1957,1831,1836,1879,17,603,567
9249,2158,3065,1948,1827,1834,1876,17,603,567
9569,2173,3055,1935,1827,1834,1876,17,603,567
9889,2176,3063,1958,1827,1835,1877,17,603,567
