TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
46017,2234,3089,1957,1753,1911,1944,-177,638,523
46337,2276,3090,1985,1752,1912,1921,-177,638,523
46657,2263,3091,1979,1755,1912,1908,-177,638,523
46977,2269,3056,1963,1753,1909,1893,-177,638,523
47297,2258,3037,1957,1753,1907,1879,-177,638,523
47617,2254,3033,1966,1749,1902,1870,-177,638,523
47937,2223,3037,2001,1749,1901,1862,-177,638,523
48257,2259,3034,1986,1760,1893,1855,-161,650,516
48577,2230,3015,1983,1768,1887,1853,-161,650,516
48897,2175,3025,2003,1765,1878,1847,-161,650,516
49217,2130,2999,2016,1755,1867,1852,-161,650,516
49537,2105,2986,2002,1742,1859,1854,-161,650,516
49857,2094,2955,2011,1741,1859,1859,-161,650,516
50177,2141,2979,2064,1756,1860,1865,-161,650,516
50497,2170,3006,2067,1783,1862,1871,-132,668,510
50817,2200,3023,2120,1814,1865,1873,-132,668,510
51137,2207,3030,2098,1843,1866,1871,-132,668,510
51457,2210,3030,2099,1873,1873,1872,-132,668,510
51777,2197,3045,2088,1898,1879,1870,-132,668,510
52097,2148,3094,2100,1919,1880,1871,-132,668,510
52417,2100,3108,2139,1929,1879,1876,-132,668,510
52737,2060,3127,2130,1920,1868,1876,-135,679,504
53057,2051,3137,2136,1905,1855,1879,-135,679,504
53377,2059,3133,2111,1895,1844,1887,-135,679,504
53697,2115,3124,2087,1886,1832,1887,-135,679,504
54017,2143,3103,2040,1886,1825,1887,-135,679,504
54337,2159,3103,2030,1884,1819,1890,-135,679,504
54657,2148,3108,1979,1877,1814,1890,-135,679,504
54977,2140,3108,1960,1861,1806,1889,-157,670,495
55297,2137,3095,1917,1838,1794,1886,-157,670,495
55617,2122,3107,1919,1808,1783,1884,-157,670,495
55937,2133,3094,1899,1780,1774,1886,-157,670,495
56257,2118,3061,1841,1740,1761,1883,-157,670,495
56577,2121,3039,1785,1699,1756,1885,-157,670,495
56897,2110,3009,1778,1658,1753,1880,-157,670,495
57217,2153,3007,1760,1630,1752,1875,-145,661,519
57537,2202,3005,1732,1613,1760,1872,-145,661,519
