TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
49761,2046,3346,2021,1885,1902,2080,-138,617,592
50081,2065,3325,2041,1819,1882,2067,-138,617,592
50401,2066,3363,2013,1738,1867,2045,-138,617,592
50721,2083,3345,1985,1660,1856,2027,-138,617,592
51041,2062,3320,1977,1587,1855,2011,-138,617,592
51361,2072,3279,1952,1525,1856,1999,-138,617,592
51681,2127,3284,1934,1485,1862,1986,-138,617,592
52001,2200,3253,1972,1463,1869,1965,-146,612,584
52321,2251,3265,2035,1470,1878,1950,-146,612,584
52641,2268,3270,2064,1500,1887,1941,-146,612,584
52961,2287,3314,2115,1555,1897,1936,-146,612,584
53281,2353,3323,2137,1637,1910,1929,-146,612,584
53601,2382,3296,2144,1734,1924,1913,-146,612,584
53921,2344,3273,2168,1833,1939,1899,-146,612,584
54241,2251,3191,2168,1905,1953,1883,-104,630,570
54561,2211,3132,2218,1966,1960,1864,-104,630,570
54881,2252,3086,2183,2021,1961,1840,-104,630,570
55201,2219,3046,2139,2054,1965,1815,-104,630,570
55521,2144,3017,2133,2069,1958,1790,-104,630,570
55841,2065,3023,2127,2071,1942,1765,-104,630,570
56161,1985,2972,2154,2062,1922,1751,-104,630,570
56481,1997,2979,2163,2057,1901,1736,-153,658,536
56801,2081,2957,2119,2074,1887,1726,-153,658,536
57121,2050,2934,2137,2059,1868,1703,-153,658,536
57441,2019,2946,2152,2060,1851,1698,-153,658,536
57761,1992,2921,2135,2059,1838,1699,-153,658,536
58081,1970,2926,2136,2048,1822,1693,-153,658,536
58401,1971,2939,2150,2024,1809,1691,-153,658,536
58721,1967,2912,2082,1977,1801,1688,-169,663,505
59041,1994,2899,2061,1927,1800,1685,-169,663,505
59361,2047,2913,2044,1913,1806,1692,-169,663,505
59681,2114,3003,2019,1919,1812,1699,-169,663,505
60001,2103,3039,2027,1935,1817,1707,-169,663,505
60321,2054,3035,2029,1962,1826,1722,-169,663,505
60641,2032,3062,2027,1990,1834,1737,-169,663,505
60961,2019,3080,2006,2005,1845,1751,-144,673,489
61281,2030,3061,2016,2008,1851,1759,-144,673,489
61601,2085,3058,1984,2015,1861,1768,-144,673,489
61921,2080,3047,1965,2020,1872,1771,-144,673,489
62241,2056,3055,1990,2023,1878,1778,-144,673,489
62561,2071,3037,2018,2029,1882,1780,-144,673,489
62881,2062,3042,2046,2034,1882,1785,-144,673,489
63201,2026,3026,2079,2052,1878,1797,-161,688,461
63521,1923,3005,2064,2066,1875,1806,-161,688,461
63841,1923,3017,2066,2068,1863,1813,-161,688,461
64161,1907,2996,2086,2083,1854,1829,-161,688,461
64481,1843,2988,2030,2078,1844,1842,-161,688,461
64801,1833,2969,2018,2026,1836,1846,-161,688,461
65121,1857,2980,2000,1959,1832,1855,-161,688,461
65441,1893,2995,2002,1886,1827,1861,-186,698,442
225,1882,2982,2013,1825,1819,1872,-186,698,442
545,1938,3021,1970,1771,1817,1888,-186,698,442
865,1941,3019,2000,1717,1811,1895,-186,698,442
1185,1995,3014,1963,1690,1810,1911,-186,698,442
1505,2025,3039,1930,1679,1813,1928,-186,698,442
1825,2069,3065,1926,1679,1812,1944,-186,698,442
2145,2090,3055,1934,1689,1813,1953,-177,686,451
2465,2097,3076,1936,1694,1813,1964,-177,686,451
2785,2123,3123,1968,1699,1814,1970,-177,686,451
3105,2140,3137,1986,1706,1816,1976,-177,686,451
3425,2124,3117,1979,1698,1814,1974,-177,686,451
3745,2148,3127,1992,1684,1815,1969,-177,686,451
4065,2149,3135,2001,1664,1814,1958,-177,686,451
4385,2159,3116,2001,1655,1812,1955,-170,675,458
4705,2153,3101,2016,1647,1808,1946,-170,675,458
5025,2171,3093,2004,1638,1803,1937,-170,675,458
5345,2153,3096,2033,1634,1799,1932,-170,675,458
5665,2177,3072,2046,1628,1790,1919,-170,675,458
5985,2175,3040,2040,1626,1785,1914,-170,675,458
