TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
57473,2200,3017,1996,1834,1837,1880,-118,649,529
57793,2202,3036,1976,1835,1837,1879,-118,649,529
58113,2191,3019,1991,1833,1836,1878,-118,649,529
58433,2197,3026,1995,1832,1836,1878,-118,649,529
58753,2200,3039,2000,1832,1835,1878,-118,649,529
59073,2199,3020,1970,1833,1837,1879,-118,649,529
59393,2177,3052,1998,1834,1838,1881,-118,649,529
59713,2183,3032,2001,1833,1837,1879,-107,644,534
60033,2201,3027,1971,1832,1835,1879,-107,644,534
60353,2206,3017,1995,1832,1836,1879,-107,644,534
60673,2190,3040,2008,1829,1836,1878,-107,644,534
60993,2198,3033,2007,1830,1836,1879,-107,644,534
61313,2174,3034,2001,1832,1838,1881,-107,644,534
61633,2187,3039,1998,1829,1836,1879,-107,644,534
61953,2202,3035,1998,1829,1836,1879,-107,649,537
62273,2200,3029,2000,1830,1835,1880,-107,649,537
62593,2171,3031,2009,1831,1836,1880,-107,649,537
62913,2205,3027,1999,1832,1837,1883,-107,649,537
63233,2188,3014,1997,1831,1836,1880,-107,649,537
63553,2191,3037,1998,1829,1836,1878,-107,649,537
63873,2194,3037,2000,1830,1837,1882,-107,649,537
64193,2208,3025,1988,1828,1835,1881,-115,655,530
64513,2193,3042,2009,1830,1837,1880,-115,655,530
64833,2193,3037,1995,1831,1836,1881,-115,655,530
65153,2183,3042,1999,1829,1835,1879,-115,655,530
65473,2189,3035,1987,1833,1837,1883,-115,655,530
257,2196,3024,1978,1827,1836,1881,-115,655,530
577,2190,3007,1992,1827,1835,1881,-115,655,530
897,2198,3031,2004,1830,1837,1882,-112,652,536
1217,2199,3020,2007,1826,1835,1881,-112,652,536
1537,2206,3036,1992,1828,1836,1882,-112,652,536
1857,2205,3039,2012,1829,1835,1882,-112,652,536
2177,2214,3035,1998,1829,1836,1880,-112,652,536
2497,2195,3023,2004,1831,1837,1882,-112,652,536
2817,2192,3032,1986,1829,1836,1880,-112,652,536
3137,2203,3025,2001,1830,1836,1880,-102,643,539
3457,2191,3018,2000,1830,1836,1881,-102,643,539
3777,2195,3030,2002,1830,1837,1882,-102,643,539
4097,2214,3030,2009,1832,1838,1883,-102,643,539
4417,2202,3029,1986,1832,1837,1883,-102,643,539
4737,2194,3034,1999,1831,1837,1881,-102,643,539
5057,2195,3026,1985,1833,1839,1884,-102,643,539
5377,2207,3031,2019,1830,1837,1881,-102,644,527
5697,2191,3027,1980,1831,1837,1881,-102,644,527
6017,2195,3017,2007,1833,1839,1882,-102,644,527
6337,2186,3033,2014,1830,1837,1881,-102,644,527
6657,2197,3039,2022,1832,1837,1879,-102,644,527
6977,2202,3039,2000,1831,1837,1880,-102,644,527
7297,2199,3028,1998,1832,1837,1880,-102,644,527
7617,2192,3031,2006,1832,1837,1881,-109,647,534
7937,2187,3011,1981,1831,1836,1879,-109,647,534
8257,2187,3021,1990,1830,1836,1880,-109,647,534
8577,2186,3036,1976,1831,1836,1880,-109,647,534
8897,2175,3027,1990,1831,1837,1880,-109,647,534
