TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
59073,2123,3041,2005,1827,1836,1879,-102,634,569
59393,2145,3045,2000,1830,1837,1879,-102,634,569
59713,2138,3026,2019,1830,1836,1880,-102,634,569
60033,2139,3035,2015,1829,1836,1880,-102,634,569
60353,2157,3044,2030,1830,1837,1882,-102,634,569
60673,2155,3041,2029,1829,1836,1880,-102,634,569
60993,2147,3043,2039,1827,1835,1879,-102,634,569
61313,2151,3051,2015,1828,1835,1879,-109,638,568
61633,2156,3041,2019,1828,1836,1879,-109,638,568
61953,2154,3039,2021,1830,1837,1882,-109,638,568
62273,2173,3033,2015,1830,1836,1880,-109,638,568
62593,2154,3034,2028,1827,1834,1879,-109,638,568
62913,2155,3041,2019,1828,1835,1880,-109,638,568
63233,2157,3035,2013,1828,1835,1879,-109,638,568
63553,2158,3031,2020,1828,1835,1880,-105,634,571
63873,2157,3023,2000,1829,1837,1881,-105,634,571
64193,2146,3041,2007,1828,1835,1879,-105,634,571
64513,2141,3037,2024,1828,1835,1880,-105,634,571
64833,2171,3038,2027,1829,1835,1879,-105,634,571
65153,2140,3045,2022,1830,1837,1880,-105,634,571
65473,2163,3031,2027,1831,1836,1881,-105,634,571
257,2168,3035,2018,1829,1835,1879,-108,638,570
577,2148,3041,2026,1828,1835,1880,-108,638,570
897,2177,3033,2021,1831,1836,1881,-108,638,570
1217,2159,3043,2035,1830,1836,1881,-108,638,570
1537,2159,3036,2016,1830,1836,1880,-108,638,570
1857,2153,3039,2012,1830,1836,1881,-108,638,570
2177,2142,3041,2017,1828,1834,1879,-108,638,570
2497,2155,3058,2011,1831,1837,1883,-104,631,573
2817,2155,3032,2028,1830,1836,1881,-104,631,573
3137,2160,3052,2012,1829,1834,1881,-104,631,573
3457,2135,3046,2018,1829,1836,1883,-104,631,573
3777,2159,3047,2020,1831,1836,1878,-104,631,573
4097,2146,3015,2014,1828,1835,1880,-104,631,573
4417,2154,3027,2029,1828,1835,1880,-104,631,573
4737,2158,3045,2006,1828,1835,1880,-105,638,573
5057,2161,3016,2049,1828,1837,1882,-105,638,573
5377,2137,3033,2019,1827,1836,1880,-105,638,573
5697,2140,3024,2013,1827,1835,1881,-105,638,573
6017,2143,3032,2022,1827,1836,1880,-105,638,573
6337,2166,3055,2016,1830,1837,1881,-105,638,573
6657,2169,3036,2025,1831,1838,1882,-105,638,573
6977,2165,3042,2018,1831,1838,1882,-105,630,578
7297,2151,3019,2019,1832,1837,1880,-105,630,578
7617,2143,3038,2016,1833,1838,1881,-105,630,578
7937,2147,3033,2010,1832,1835,1880,-105,630,578
8257,2156,3026,2029,1831,1836,1879,-105,630,578
8577,2157,3043,2017,1830,1837,1881,-105,630,578
8897,2156,3030,2016,1828,1835,1879,-105,630,578
9217,2154,3044,2024,1831,1837,1882,-115,626,564
9537,2155,3032,2015,1828,1836,1881,-115,626,564
9857,2166,3037,2000,1828,1836,1880,-115,626,564
10177,2143,3039,2025,1829,1836,1882,-115,626,564
10497,2164,3029,2008,1828,1836,1880,-115,626,564
10817,2155,3028,2024,1829,1836,1880,-115,626,564
11137,2152,3057,2028,1829,1836,1880,-115,626,564
11457,2148,3025,2017,1830,1837,1880,-103,637,563
11777,2142,3045,2031,1831,1837,1881,-103,637,563
12097,2142,3047,2022,1831,1836,1881,-103,637,563
12417,2151,3038,2028,1829,1835,1878,-103,637,563
12737,2157,3030,2038,1832,1838,1882,-103,637,563
13057,2153,3054,2013,1832,1835,1880,-103,637,563
13377,2162,3024,2021,1831,1836,1879,-103,637,563
13697,2146,3025,2023,1832,1837,1880,-110,632,564
14017,2150,3024,2018,1834,1837,1879,-110,632,564
14337,2148,3035,1989,1831,1836,1879,-110,632,564
14657,2142,3035,2000,1831,1837,1879,-110,632,564
14977,2174,3031,2010,1831,1836,1878,-110,632,564
15297,2153,3036,2012,1833,1838,1880,-110,632,564
15617,2146,3016,2019,1834,1838,1879,-110,632,564
15937,2156,3014,2030,1834,1838,1877,-104,624,570
16257,2145,3048,2018,1831,1837,1878,-104,624,570
16577,2141,3024,2002,1831,1839,1878,-104,624,570
16897,2151,3025,2014,1831,1839,1878,-104,624,570
17217,2147,3025,2029,1829,1837,1878,-104,624,570
