TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
30017,2421,3010,2167,1311,1694,1942,81,592,604
30337,2420,2941,2114,1398,1706,1947,81,592,604
30657,2369,2886,2084,1472,1723,1948,81,592,604
30977,2324,2874,2023,1529,1743,1944,81,592,604
31297,2292,2863,1948,1575,1763,1944,81,592,604
31617,2244,2854,1892,1607,1781,1940,81,592,604
31937,2259,2835,1874,1632,1800,1940,81,592,604
32257,2284,2829,1859,1657,1819,1940,142,574,602
32577,2308,2839,1863,1686,1837,1943,142,574,602
32897,2323,2881,1843,1719,1850,1944,142,574,602
33217,2360,2905,1873,1763,1863,1948,142,574,602
33537,2360,2955,1888,1813,1875,1954,142,574,602
33857,2342,2955,1876,1861,1884,1961,142,574,602
34177,2325,2975,1878,1898,1890,1969,142,574,602
34497,2354,3019,1855,1921,1894,1976,148,596,593
34817,2325,3015,1854,1938,1893,1977,148,596,593
35137,2295,3013,1866,1949,1895,1980,148,596,593
35457,2264,3033,1833,1946,1892,1977,148,596,593
35777,2217,3031,1846,1916,1889,1968,148,596,593
36097,2160,3053,1890,1846,1880,1957,148,596,593
36417,2152,3074,1947,1775,1867,1947,148,596,593
36737,2204,3070,1984,1718,1848,1936,123,612,586
37057,2241,3093,1988,1684,1833,1924,123,612,586
37377,2248,3098,1991,1665,1820,1914,123,612,586
37697,2251,3166,1998,1658,1813,1907,123,612,586
38017,2270,3165,1989,1657,1807,1899,123,612,586
38337,2272,3199,2029,1664,1805,1893,123,612,586
38657,2266,3153,2054,1675,1805,1887,123,612,586
38977,2263,3146,2047,1691,1808,1885,158,613,581
39297,2267,3132,2073,1710,1813,1883,158,613,581
39617,2244,3099,2066,1730,1816,1879,158,613,581
39937,2228,3055,2047,1755,1819,1875,158,613,581
40257,2222,3029,2051,1783,1824,1875,158,613,581
40577,2219,3007,2016,1810,1827,1873,158,613,581
40897,2209,2995,1992,1833,1828,1870,158,613,581
41217,2201,2960,1969,1850,1829,1866,163,612,580
41537,2178,2940,1970,1862,1829,1860,163,612,580
41857,2158,2927,1940,1868,1829,1861,163,612,580
42177,2172,2927,1921,1860,1823,1858,163,612,580
42497,2152,2939,1906,1851,1819,1860,163,612,580
42817,2166,2929,1891,1837,1817,1866,163,612,580
43137,2164,2964,1886,1818,1811,1871,163,612,580
43457,2181,2982,1882,1802,1810,1880,161,605,578
43777,2187,3021,1887,1782,1805,1887,161,605,578
44097,2204,3000,1895,1766,1803,1896,161,605,578
44417,2221,3011,1886,1754,1803,1903,161,605,578
44737,2238,3033,1894,1742,1802,1907,161,605,578
45057,2269,3037,1868,1737,1802,1910,161,605,578
45377,2248,3062,1902,1738,1805,1913,161,605,578
45697,2240,3053,1913,1742,1809,1913,177,600,575
46017,2247,3055,1909,1747,1813,1909,177,600,575
46337,2236,3077,1928,1750,1816,1906,177,600,575
46657,2223,3085,1943,1754,1819,1900,177,600,575
46977,2233,3104,1961,1764,1823,1897,177,600,575
