TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
62529,2051,1384,2263,1831,1836,1881,160,65,745
62849,2071,1380,2259,1831,1836,1880,160,65,745
63169,2071,1376,2256,1832,1837,1880,160,65,745
63489,2074,1381,2245,1831,1836,1881,160,65,745
63809,2079,1385,2235,1831,1836,1879,160,65,745
64129,2078,1365,2250,1834,1838,1881,160,65,745
64449,2056,1386,2245,1829,1835,1879,160,65,745
64769,2059,1386,2261,1830,1837,1882,165,69,747
65089,2073,1368,2219,1833,1837,1881,165,69,747
65409,2075,1368,2246,1829,1836,1878,165,69,747
193,2032,1379,2249,1831,1836,1877,165,69,747
513,2092,1375,2220,1829,1835,1879,165,69,747
833,2069,1370,2255,1829,1835,1878,165,69,747
1153,2091,1386,2229,1831,1836,1881,165,69,747
1473,2086,1393,2248,1829,1835,1879,166,71,754
1793,2069,1388,2246,1829,1835,1878,166,71,754
2113,2067,1382,2246,1829,1835,1879,166,71,754
2433,2076,1373,2231,1831,1836,1881,166,71,754
2753,2063,1363,2260,1833,1837,1881,166,71,754
3073,2068,1373,2247,1832,1836,1881,166,71,754
3393,2092,1366,2257,1829,1835,1878,166,71,754
3713,2085,1389,2255,1829,1835,1879,171,67,750
4033,2075,1363,2257,1829,1835,1879,171,67,750
4353,2059,1375,2232,1829,1835,1878,171,67,750
4673,2065,1380,2247,1831,1837,1881,171,67,750
4993,2090,1362,2245,1828,1835,1877,171,67,750
5313,2072,1385,2234,1832,1838,1881,171,67,750
5633,2077,1370,2242,1830,1836,1878,171,67,750
5953,2061,1368,2275,1830,1835,1878,155,75,747
6273,2078,1386,2251,1832,1838,1880,155,75,747
6593,2073,1383,2244,1830,1836,1879,155,75,747
6913,2066,1390,2252,1830,1835,1878,155,75,747
7233,2087,1383,2258,1830,1835,1878,155,75,747
7553,2068,1373,2254,1831,1836,1878,155,75,747
7873,2060,1388,2240,1831,1836,1881,155,75,747
8193,2064,1375,2244,1831,1837,1879,165,72,741
8513,2064,1378,2260,1828,1835,1879,165,72,741
8833,2045,1377,2254,1828,1835,1879,165,72,741
9153,2072,1379,2249,1831,1835,1877,165,72,741
9473,2078,1365,2263,1832,1837,1877,165,72,741
9793,2057,1380,2256,1832,1838,1879,165,72,741
10113,2074,1393,2208,1831,1836,1878,165,72,741
10433,2068,1350,2259,1832,1837,1876,162,70,746
10753,2067,1384,2255,1831,1837,1879,162,70,746
11073,2086,1369,2255,1832,1838,1878,162,70,746
11393,2081,1379,2260,1831,1838,1878,162,70,746
11713,2083,1388,2259,1829,1836,1874,162,70,746
12033,2070,1384,2255,1826,1836,1874,162,70,746
12353,2072,1378,2250,1826,1835,1873,162,70,746
12673,2069,1387,2238,1825,1835,1872,172,68,743
12993,2045,1400,2241,1825,1836,1872,172,68,743
13313,2059,1386,2238,1823,1835,1871,172,68,743
13633,2070,1375,2246,1820,1835,1869,172,68,743
13953,2069,1379,2246,1820,1835,1868,172,68,743
14273,2078,1385,2240,1822,1837,1869,172,68,743
14593,2078,1355,2260,1823,1837,1866,172,68,743
14913,2060,1377,2285,1823,1840,1867,160,63,755
15233,2082,1374,2254,1823,1838,1864,160,63,755
15553,2064,1360,2254,1825,1839,1864,160,63,755
15873,2053,1381,2257,1827,1841,1861,160,63,755
16193,2064,1375,2262,1828,1839,1859,160,63,755
16513,2065,1375,2254,1835,1842,1860,160,63,755
16833,2067,1378,2230,1830,1840,1857,160,63,755
17153,2064,1351,2241,1832,1842,1853,158,64,745
17473,2071,1374,2248,1832,1842,1855,158,64,745
17793,2080,1396,2240,1834,1842,1854,158,64,745
18113,2078,1383,2248,1836,1842,1854,158,64,745
18433,2062,1380,2221,1836,1841,1852,158,64,745
18753,2068,1386,2210,1834,1840,1849,158,64,745
19073,2060,1377,2240,1835,1839,1849,158,64,745
19393,2061,1352,2233,1840,1840,1848,159,63,744
19713,2052,1354,2245,1843,1838,1846,159,63,744
20033,2044,1362,2244,1842,1838,1848,159,63,744
20353,2043,1370,2238,1841,1835,1846,159,63,744
20673,2047,1365,2268,1842,1833,1845,159,63,744
20993,2024,1368,2241,1845,1833,1845,159,63,744
21313,2010,1373,2240,1848,1833,1846,159,63,744
21633,2055,1412,2263,1854,1834,1847,157,64,742
21953,2041,1410,2234,1855,1833,1845,157,64,742
22273,2031,1401,2239,1859,1835,1844,157,64,742
22593,2028,1394,2249,1863,1838,1845,157,64,742
22913,2026,1391,2252,1861,1838,1845,157,64,742
23233,2019,1364,2269,1857,1840,1845,157,64,742
23553,2022,1384,2278,1853,1839,1845,157,64,742
23873,2003,1368,2266,1849,1836,1845,155,63,753
24193,2000,1367,2255,1847,1836,1846,155,63,753
24513,2009,1357,2255,1846,1834,1849,155,63,753
24833,2023,1367,2259,1844,1832,1850,155,63,753
25153,2025,1368,2243,1842,1835,1853,155,63,753
25473,2031,1369,2250,1835,1832,1851,155,63,753
25793,2017,1347,2251,1835,1835,1856,155,63,753
26113,1980,1362,2243,1828,1833,1854,146,54,750
26433,2022,1368,2223,1823,1833,1855,146,54,750
26753,2003,1344,2226,1823,1834,1857,146,54,750
27073,2009,1367,2240,1823,1832,1859,146,54,750
27393,2017,1384,2242,1828,1831,1859,146,54,750
27713,2028,1349,2231,1832,1830,1862,146,54,750
28033,2036,1396,2246,1840,1831,1864,146,54,750
28353,2034,1385,2238,1848,1832,1864,134,57,749
28673,2010,1378,2242,1849,1832,1864,134,57,749
28993,1995,1377,2204,1845,1833,1864,134,57,749
29313,1983,1371,2235,1841,1836,1866,134,57,749
29633,2003,1361,2223,1839,1833,1864,134,57,749
29953,2005,1371,2242,1835,1833,1864,134,57,749
30273,1994,1382,2264,1836,1833,1867,134,57,749
