TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
44641,2675,2154,2208,1831,1838,1879,434,-116,605
44961,2694,2158,2228,1830,1838,1880,434,-116,605
45281,2693,2157,2225,1828,1837,1880,434,-116,605
45601,2707,2153,2216,1829,1837,1880,434,-116,605
45921,2701,2170,2228,1829,1838,1880,434,-116,605
46241,2709,2165,2199,1832,1836,1879,434,-116,605
46561,2710,2150,2221,1832,1838,1879,434,-116,605
46881,2704,2167,2218,1830,1836,1877,440,-111,599
47201,2702,2150,2204,1833,1838,1878,440,-111,599
47521,2684,2146,2214,1831,1835,1875,440,-111,599
47841,2699,2147,2202,1830,1835,1875,440,-111,599
48161,2700,2143,2213,1831,1835,1875,440,-111,599
48481,2695,2165,2208,1830,1834,1872,440,-111,599
48801,2708,2151,2199,1833,1836,1875,440,-111,599
49121,2704,2164,2192,1831,1833,1874,447,-114,611
49441,2698,2152,2228,1832,1835,1876,447,-114,611
49761,2701,2164,2204,1833,1835,1877,447,-114,611
50081,2688,2163,2220,1831,1836,1876,447,-114,611
50401,2687,2181,2183,1831,1835,1876,447,-114,611
50721,2694,2157,2211,1830,1834,1876,447,-114,611
51041,2691,2155,2228,1832,1834,1876,447,-114,611
51361,2706,2171,2206,1831,1836,1878,431,-111,604
51681,2717,2190,2211,1831,1836,1878,431,-111,604
52001,2697,2164,2206,1830,1835,1876,431,-111,604
52321,2684,2152,2200,1833,1838,1878,431,-111,604
52641,2708,2157,2202,1831,1837,1876,431,-111,604
52961,2683,2173,2199,1830,1837,1876,431,-111,604
53281,2687,2150,2229,1831,1840,1878,431,-111,604
53601,2675,2146,2223,1831,1839,1878,436,-109,598
53921,2698,2157,2217,1831,1839,1877,436,-109,598
54241,2695,2154,2211,1831,1838,1877,436,-109,598
54561,2699,2159,2217,1831,1839,1878,436,-109,598
54881,2702,2148,2195,1832,1840,1878,436,-109,598
55201,2703,2150,2219,1830,1840,1879,436,-109,598
55521,2680,2140,2204,1830,1837,1876,436,-109,598
55841,2684,2139,2215,1832,1839,1880,437,-120,602
56161,2686,2159,2215,1832,1836,1878,437,-120,602
56481,2693,2154,2212,1832,1837,1876,437,-120,602
56801,2695,2155,2231,1832,1837,1878,437,-120,602
57121,2693,2175,2222,1832,1836,1877,437,-120,602
57441,2706,2157,2217,1832,1838,1878,437,-120,602
57761,2684,2149,2220,1831,1835,1876,437,-120,602
58081,2707,2161,2235,1831,1835,1877,444,-109,610
58401,2707,2142,2238,1832,1837,1878,444,-109,610
58721,2692,2151,2206,1831,1834,1877,444,-109,610
59041,2702,2157,2235,1831,1835,1876,444,-109,610
59361,2700,2150,2223,1831,1835,1876,444,-109,610
