TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
7105,2134,1360,2199,1829,1836,1882,-24,-60,686
7425,2157,1371,2201,1831,1836,1883,-24,-60,686
7745,2131,1370,2202,1830,1837,1881,-24,-60,686
8065,2143,1373,2204,1830,1836,1882,-24,-60,686
8385,2160,1382,2182,1829,1835,1881,-24,-60,686
8705,2155,1369,2198,1831,1837,1883,-24,-60,686
9025,2154,1368,2192,1829,1835,1879,-24,-60,686
9345,2141,1367,2188,1829,1835,1879,-16,-56,687
9665,2153,1375,2191,1830,1836,1881,-16,-56,687
9985,2142,1360,2197,1829,1835,1880,-16,-56,687
10305,2144,1351,2208,1829,1834,1879,-16,-56,687
10625,2166,1372,2185,1829,1834,1879,-16,-56,687
10945,2146,1354,2198,1831,1836,1880,-16,-56,687
11265,2155,1381,2191,1832,1836,1880,-16,-56,687
11585,2138,1364,2208,1830,1834,1880,-20,-60,686
11905,2150,1370,2191,1830,1834,1878,-20,-60,686
12225,2139,1350,2187,1831,1836,1879,-20,-60,686
12545,2116,1366,2191,1829,1835,1879,-20,-60,686
12865,2140,1364,2210,1830,1835,1878,-20,-60,686
13185,2131,1364,2204,1829,1836,1880,-20,-60,686
13505,2147,1367,2217,1832,1832,1879,-20,-60,686
13825,2153,1367,2182,1832,1836,1882,-17,-60,689
14145,2135,1373,2195,1830,1834,1879,-17,-60,689
14465,2144,1372,2190,1830,1834,1879,-17,-60,689
14785,2154,1362,2207,1831,1836,1880,-17,-60,689
15105,2139,1384,2205,1829,1834,1877,-17,-60,689
15425,2137,1343,2191,1827,1835,1878,-17,-60,689
15745,2150,1376,2184,1829,1833,1878,-17,-60,689
16065,2144,1385,2207,1830,1836,1879,-16,-59,689
16385,2151,1363,2191,1831,1835,1878,-16,-59,689
16705,2118,1366,2209,1830,1834,1878,-16,-59,689
17025,2146,1357,2197,1830,1834,1879,-16,-59,689
17345,2156,1364,2195,1831,1836,1880,-16,-59,689
17665,2131,1354,2192,1829,1836,1879,-16,-59,689
17985,2137,1379,2189,1831,1837,1881,-16,-59,689
18305,2152,1375,2187,1829,1836,1881,-19,-58,685
18625,2162,1369,2212,1828,1835,1880,-19,-58,685
18945,2154,1371,2210,1831,1838,1882,-19,-58,685
19265,2153,1358,2194,1830,1836,1881,-19,-58,685
19585,2151,1354,2203,1831,1836,1880,-19,-58,685
19905,2154,1357,2206,1832,1836,1881,-19,-58,685
20225,2157,1360,2190,1830,1834,1878,-19,-58,685
20545,2164,1362,2182,1832,1837,1881,-24,-72,682
20865,2155,1367,2200,1829,1836,1879,-24,-72,682
21185,2135,1349,2214,1828,1834,1877,-24,-72,682
21505,2153,1361,2191,1829,1836,1879,-24,-72,682
21825,2160,1357,2206,1831,1836,1877,-24,-72,682
22145,2142,1352,2182,1829,1834,1876,-24,-72,682
22465,2142,1379,2197,1831,1835,1877,-24,-72,682
22785,2151,1348,2173,1832,1837,1878,-24,-60,685
23105,2135,1355,2186,1831,1838,1879,-24,-60,685
23425,2137,1361,2203,1830,1838,1879,-24,-60,685
23745,2144,1341,2194,1830,1837,1878,-24,-60,685
24065,2138,1349,2199,1829,1837,1879,-24,-60,685
24385,2150,1351,2198,1829,1838,1880,-24,-60,685
24705,2118,1365,2207,1828,1838,1878,-24,-60,685
25025,2153,1384,2184,1829,1839,1879,-20,-62,682
25345,2134,1369,2181,1827,1839,1878,-20,-62,682
25665,2154,1363,2182,1830,1841,1880,-20,-62,682
25985,2127,1379,2202,1828,1840,1879,-20,-62,682
26305,2134,1361,2196,1827,1840,1879,-20,-62,682
26625,2138,1358,2194,1829,1842,1879,-20,-62,682
26945,2158,1356,2179,1828,1843,1879,-20,-62,682
27265,2128,1344,2196,1827,1841,1877,-18,-67,682
27585,2120,1329,2179,1827,1842,1876,-18,-67,682
27905,2131,1323,2189,1828,1841,1875,-18,-67,682
28225,2130,1341,2210,1829,1841,1875,-18,-67,682
28545,2128,1347,2217,1828,1839,1873,-18,-67,682
28865,2115,1328,2202,1825,1838,1868,-18,-67,682
29185,2122,1323,2188,1822,1837,1867,-18,-67,682
29505,2128,1315,2191,1820,1839,1865,-16,-62,687
29825,2128,1308,2201,1818,1839,1863,-16,-62,687
30145,2131,1319,2200,1819,1841,1862,-16,-62,687
30465,2125,1305,2183,1816,1840,1857,-16,-62,687
30785,2126,1297,2173,1819,1842,1854,-16,-62,687
31105,2133,1319,2179,1820,1844,1852,-16,-62,687
31425,2127,1299,2188,1824,1845,1849,-16,-62,687
31745,2125,1324,2190,1825,1847,1846,-15,-52,684
32065,2137,1287,2182,1824,1847,1842,-15,-52,684
32385,2124,1293,2210,1826,1850,1841,-15,-52,684
32705,2130,1269,2193,1821,1851,1836,-15,-52,684
33025,2124,1284,2210,1819,1852,1833,-15,-52,684
33345,2125,1267,2195,1817,1853,1830,-15,-52,684
33665,2128,1276,2187,1816,1856,1826,-15,-52,684
33985,2128,1274,2206,1816,1856,1822,-21,-54,693
34305,2127,1289,2186,1820,1856,1818,-21,-54,693
34625,2124,1278,2204,1825,1858,1815,-21,-54,693
34945,2113,1278,2196,1830,1857,1811,-21,-54,693
35265,2124,1275,2183,1834,1860,1811,-21,-54,693
