TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
53985,1169,2030,2581,1740,1949,1760,-290,378,639
54305,1208,2165,2566,1672,1932,1760,-290,378,639
54625,1285,2246,2605,1615,1905,1751,-290,378,639
54945,1504,2300,2506,1605,1873,1752,-290,378,639
55265,1652,2306,2371,1659,1855,1757,-290,378,639
55585,1668,2325,2399,1713,1834,1745,-290,378,639
55905,1621,2323,2439,1764,1818,1749,-290,378,639
56225,1492,2245,2493,1769,1799,1753,-271,414,630
56545,1436,2202,2436,1737,1783,1765,-271,414,630
56865,1367,2184,2414,1698,1775,1781,-271,414,630
57185,1322,2117,2348,1650,1772,1799,-271,414,630
57505,1343,2106,2307,1622,1774,1819,-271,414,630
57825,1374,2081,2246,1614,1780,1841,-271,414,630
58145,1325,2074,2239,1620,1790,1868,-271,414,630
58465,1326,2086,2211,1627,1804,1901,-261,422,623
58785,1313,2070,2229,1623,1814,1931,-261,422,623
59105,1297,2103,2232,1612,1825,1962,-261,422,623
59425,1302,2110,2244,1595,1835,2001,-261,422,623
59745,1332,2099,2288,1579,1847,2030,-261,422,623
60065,1385,2105,2331,1569,1855,2056,-261,422,623
60385,1358,2099,2339,1561,1866,2088,-261,422,623
60705,1331,2085,2382,1545,1876,2122,-250,435,627
61025,1351,2097,2368,1530,1886,2163,-250,435,627
61345,1394,2138,2363,1518,1890,2204,-250,435,627
61665,1445,2146,2395,1515,1898,2250,-250,435,627
61985,1479,2149,2431,1514,1896,2291,-250,435,627
62305,1536,2135,2444,1521,1895,2331,-250,435,627
62625,1616,2131,2459,1533,1895,2370,-250,435,627
62945,1651,2103,2518,1545,1894,2403,-271,425,629
63265,1692,2053,2520,1555,1898,2437,-271,425,629
63585,1715,2073,2515,1563,1904,2475,-271,425,629
63905,1753,2091,2515,1567,1906,2512,-271,425,629
64225,1805,2090,2537,1567,1908,2546,-271,425,629
64545,1844,2071,2571,1563,1906,2583,-271,425,629
64865,1890,2033,2589,1563,1899,2604,-271,425,629
65185,1937,1989,2604,1572,1900,2625,-350,359,631
65505,2016,1998,2601,1585,1897,2641,-350,359,631
289,2115,2003,2638,1620,1896,2659,-350,359,631
609,2239,2071,2664,1669,1895,2675,-350,359,631
929,2251,2091,2633,1705,1892,2684,-350,359,631
1249,2242,2095,2608,1721,1890,2698,-350,359,631
1569,2231,2065,2562,1716,1887,2710,-350,359,631
1889,2232,2041,2503,1693,1887,2710,-392,176,635
2209,2216,2038,2487,1655,1891,2705,-392,176,635
2529,2248,2042,2471,1613,1891,2698,-392,176,635
2849,2330,1998,2442,1591,1895,2690,-392,176,635
3169,2421,2016,2510,1613,1900,2695,-392,176,635
3489,2506,2070,2534,1662,1898,2694,-392,176,635
3809,2550,2099,2531,1708,1899,2693,-392,176,635
4129,2513,2047,2554,1745,1897,2684,-321,0,647
4449,2483,2002,2520,1756,1895,2672,-321,0,647
4769,2403,1936,2440,1739,1899,2660,-321,0,647
5089,2333,1912,2395,1690,1905,2643,-321,0,647
5409,2317,1895,2372,1634,1911,2629,-321,0,647
5729,2422,1942,2410,1597,1915,2619,-321,0,647
6049,2560,2003,2489,1605,1913,2608,-321,0,647
6369,2695,2031,2557,1648,1908,2592,-187,-119,664
6689,2687,2053,2584,1691,1906,2573,-187,-119,664
7009,2596,2043,2555,1727,1906,2556,-187,-119,664
7329,2538,2017,2491,1740,1910,2543,-187,-119,664
7649,2503,1972,2445,1723,1919,2526,-187,-119,664
7969,2457,2026,2390,1682,1932,2508,-187,-119,664
8289,2405,2072,2359,1625,1945,2493,-187,-119,664
8609,2477,2117,2411,1571,1950,2475,-24,-146,687
8929,2637,2190,2451,1557,1947,2458,-24,-146,687
9249,2724,2229,2468,1559,1946,2437,-24,-146,687
9569,2684,2235,2499,1571,1947,2420,-24,-146,687
9889,2667,2234,2468,1587,1945,2400,-24,-146,687
10209,2671,2255,2424,1612,1947,2387,-24,-146,687
10529,2672,2221,2401,1645,1952,2378,-24,-146,687
10849,2600,2250,2343,1659,1967,2369,141,-98,682
11169,2573,2287,2381,1652,1976,2359,141,-98,682
11489,2612,2374,2405,1624,1985,2346,141,-98,682
11809,2655,2445,2431,1579,1988,2326,141,-98,682
12129,2716,2454,2444,1545,1989,2311,141,-98,682
12449,2756,2501,2454,1521,1985,2296,141,-98,682
12769,2799,2477,2399,1532,1975,2284,141,-98,682
13089,2768,2487,2340,1555,1971,2269,265,-4,667
13409,2752,2494,2345,1586,1968,2256,265,-4,667
13729,2739,2482,2358,1613,1962,2243,265,-4,667
