TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
59073,2365,1404,2100,1829,1836,1881,261,-17,642
59393,2394,1435,2070,1827,1834,1881,261,-17,642
59713,2402,1431,2084,1831,1837,1884,261,-17,642
60033,2402,1424,2073,1829,1836,1882,261,-17,642
60353,2402,1396,2073,1830,1837,1882,261,-17,642
60673,2401,1420,2079,1832,1836,1879,261,-17,642
60993,2398,1415,2072,1828,1834,1877,261,-17,642
61313,2393,1419,2086,1828,1835,1876,250,-23,651
61633,2411,1422,2080,1829,1835,1878,250,-23,651
61953,2397,1398,2079,1830,1836,1877,250,-23,651
62273,2373,1438,2092,1830,1838,1877,250,-23,651
62593,2403,1416,2081,1831,1836,1876,250,-23,651
62913,2407,1436,2068,1831,1836,1875,250,-23,651
63233,2386,1425,2101,1831,1837,1874,250,-23,651
63553,2365,1419,2096,1832,1838,1873,243,-26,640
63873,2366,1416,2095,1831,1839,1873,243,-26,640
64193,2366,1413,2096,1826,1837,1870,243,-26,640
64513,2368,1420,2091,1823,1837,1868,243,-26,640
64833,2361,1389,2109,1822,1838,1867,243,-26,640
65153,2360,1379,2093,1820,1840,1866,243,-26,640
65473,2383,1371,2101,1823,1842,1865,243,-26,640
257,2363,1364,2109,1829,1847,1867,252,-22,640
577,2373,1354,2112,1832,1847,1864,252,-22,640
897,2401,1347,2136,1844,1853,1867,252,-22,640
1217,2385,1347,2126,1852,1851,1860,252,-22,640
1537,2373,1320,2115,1863,1850,1859,252,-22,640
1857,2371,1307,2118,1876,1851,1859,252,-22,640
2177,2370,1299,2145,1884,1847,1853,252,-22,640
2497,2394,1279,2128,1894,1845,1850,247,-14,650
2817,2367,1274,2143,1901,1845,1846,247,-14,650
3137,2387,1251,2131,1903,1842,1842,247,-14,650
3457,2368,1234,2125,1902,1844,1839,247,-14,650
3777,2377,1246,2097,1894,1846,1833,247,-14,650
4097,2360,1230,2058,1886,1851,1825,247,-14,650
4417,2389,1218,2067,1891,1858,1823,247,-14,650
4737,2403,1214,2098,1910,1866,1820,227,-21,657
5057,2391,1208,2103,1937,1870,1815,227,-21,657
5377,2378,1197,2119,1967,1871,1815,227,-21,657
5697,2370,1194,2151,1994,1871,1811,227,-21,657
6017,2369,1196,2161,2014,1866,1803,227,-21,657
6337,2360,1213,2159,2027,1863,1797,227,-21,657
6657,2327,1194,2135,2031,1859,1789,227,-21,657
6977,2301,1203,2132,2026,1858,1785,186,-8,673
7297,2279,1186,2107,2016,1857,1781,186,-8,673
7617,2258,1181,2117,2003,1860,1779,186,-8,673
7937,2249,1176,2104,1986,1859,1774,186,-8,673
8257,2269,1199,2148,1976,1858,1771,186,-8,673
8577,2261,1191,2159,1967,1855,1768,186,-8,673
8897,2269,1189,2131,1970,1852,1767,186,-8,673
9217,2236,1183,2118,1971,1850,1763,164,-1,685
9537,2222,1177,2105,1978,1852,1766,164,-1,685
9857,2198,1177,2107,1975,1850,1763,164,-1,685
10177,2185,1176,2118,1974,1847,1762,164,-1,685
10497,2175,1183,2153,1967,1844,1765,164,-1,685
10817,2178,1214,2142,1957,1840,1763,164,-1,685
11137,2196,1233,2160,1948,1837,1768,164,-1,685
11457,2202,1221,2160,1938,1837,1771,135,0,688
11777,2154,1253,2143,1929,1835,1778,135,0,688
12097,2142,1261,2134,1924,1837,1787,135,0,688
12417,2176,1286,2119,1927,1834,1793,135,0,688
12737,2171,1318,2131,1940,1834,1802,135,0,688
13057,2188,1326,2157,1963,1834,1810,135,0,688
13377,2180,1344,2176,1989,1835,1819,135,0,688
13697,2182,1360,2157,2012,1834,1830,125,-2,706
14017,2139,1418,2160,2027,1834,1836,125,-2,706
14337,2104,1452,2179,2027,1830,1844,125,-2,706
14657,2074,1457,2151,2020,1828,1853,125,-2,706
14977,2093,1481,2188,2000,1828,1862,125,-2,706
15297,2048,1495,2152,1963,1831,1867,125,-2,706
15617,2002,1493,2156,1919,1835,1876,125,-2,706
15937,1997,1519,2131,1873,1837,1879,125,1,715
16257,2019,1541,2130,1838,1843,1887,125,1,715
16577,2066,1569,2152,1819,1841,1892,125,1,715
16897,2079,1609,2211,1823,1839,1899,125,1,715
17217,2113,1650,2223,1838,1838,1906,125,1,715
17537,2072,1650,2226,1853,1834,1914,125,1,715
17857,2063,1645,2208,1869,1836,1923,125,1,715
18177,2016,1620,2206,1859,1837,1928,145,0,709
18497,1980,1610,2187,1834,1840,1932,145,0,709
18817,1956,1632,2174,1802,1844,1938,145,0,709
19137,2010,1635,2182,1768,1847,1941,145,0,709
19457,2045,1652,2200,1748,1849,1946,145,0,709
19777,2105,1636,2239,1746,1845,1947,145,0,709
20097,2166,1653,2254,1764,1846,1948,145,0,709
20417,2170,1645,2296,1788,1844,1943,190,20,716
20737,2162,1623,2271,1807,1843,1942,190,20,716
21057,2141,1607,2254,1815,1842,1936,190,20,716
21377,2143,1600,2259,1808,1843,1931,190,20,716
21697,2167,1586,2230,1793,1842,1924,190,20,716
22017,2169,1533,2266,1785,1840,1920,190,20,716
22337,2206,1500,2247,1787,1841,1917,190,20,716
22657,2214,1477,2270,1794,1834,1913,215,48,715
22977,2199,1440,2289,1806,1830,1911,215,48,715
23297,2231,1429,2281,1817,1825,1909,215,48,715
23617,2189,1420,2280,1818,1820,1908,215,48,715
23937,2185,1431,2251,1812,1819,1906,215,48,715
24257,2140,1395,2207,1803,1816,1906,215,48,715
24577,2151,1394,2189,1791,1819,1909,215,48,715
24897,2151,1389,2175,1769,1823,1907,222,48,721
25217,2211,1403,2200,1756,1820,1902,222,48,721
25537,2251,1410,2198,1765,1819,1898,222,48,721
25857,2284,1414,2231,1792,1821,1895,222,48,721
26177,2274,1411,2220,1815,1818,1887,222,48,721
26497,2245,1406,2202,1833,1820,1883,222,48,721
26817,2207,1393,2185,1843,1823,1881,222,48,721
27137,2175,1369,2173,1849,1829,1882,240,47,722
27457,2164,1368,2188,1849,1834,1884,240,47,722
27777,2153,1354,2193,1847,1836,1884,240,47,722
28097,2163,1357,2193,1848,1842,1888,240,47,722
28417,2135,1367,2206,1844,1841,1887,240,47,722
28737,2157,1381,2238,1844,1842,1888,240,47,722
29057,2182,1385,2232,1840,1842,1889,240,47,722
29377,2202,1418,2226,1828,1840,1884,229,50,718
29697,2193,1447,2215,1818,1838,1879,229,50,718
30017,2227,1490,2226,1802,1838,1874,229,50,718
30337,2224,1544,2191,1785,1841,1870,229,50,718
30657,2235,1566,2155,1781,1844,1868,229,50,718
30977,2247,1629,2137,1785,1851,1868,229,50,718
31297,2231,1734,2100,1802,1855,1873,229,50,718
31617,2206,1838,2064,1819,1868,1880,244,45,723
31937,2169,1917,2049,1820,1875,1878,244,45,723
32257,2202,1991,2055,1824,1882,1885,244,45,723
32577,2182,2075,2058,1836,1891,1896,244,45,723
32897,2142,2095,2037,1844,1894,1907,244,45,723
33217,2085,2135,2030,1845,1899,1920,244,45,723
33537,2062,2155,2017,1837,1905,1938,244,45,723
33857,2026,2196,1963,1821,1911,1957,220,62,711
34177,1999,2209,1970,1799,1919,1981,220,62,711
34497,1991,2233,1943,1766,1927,2003,220,62,711
34817,1981,2235,1900,1731,1937,2029,220,62,711
35137,1966,2230,1875,1692,1949,2054,220,62,711
35457,1986,2239,1839,1658,1964,2083,220,62,711
35777,1997,2227,1837,1635,1984,2118,220,62,711
36097,2040,2216,1826,1619,2003,2157,207,91,694
36417,2061,2200,1857,1617,2022,2197,207,91,694
36737,2087,2200,1845,1629,2041,2245,207,91,694
37057,2171,2210,1869,1652,2054,2293,207,91,694
37377,2173,2182,1919,1678,2064,2348,207,91,694
37697,2162,2099,1918,1697,2070,2408,207,91,694
38017,2200,2057,1888,1702,2074,2469,207,91,694
38337,2262,2015,1882,1697,2079,2536,192,179,692
38657,2327,1999,1915,1681,2082,2610,192,179,692
38977,2390,2021,1925,1638,2082,2673,192,179,692
39297,2475,2066,1987,1591,2089,2730,192,179,692
39617,2593,2138,2095,1556,2093,2783,192,179,692
39937,2680,2204,2159,1531,2092,2818,192,179,692
40257,2816,2262,2217,1556,2094,2863,192,179,692
40577,2962,2356,2258,1602,2088,2887,164,257,672
40897,3108,2399,2274,1662,2084,2909,164,257,672
41217,3082,2408,2295,1732,2083,2941,164,257,672
41537,3077,2416,2318,1800,2087,2974,164,257,672
41857,3149,2454,2308,1866,2092,3001,164,257,672
42177,3197,2493,2344,1910,2115,3015,164,257,672
42497,3257,2532,2382,1944,2139,3014,164,257,672
42817,3147,2633,2509,1954,2166,3006,92,302,666
43137,3178,2768,2595,1961,2173,2986,92,302,666
43457,3118,2907,2588,1916,2186,2945,92,302,666
43777,3022,3029,2541,1865,2188,2903,92,302,666
44097,2971,3104,2463,1799,2185,2849,92,302,666
44417,3001,3135,2425,1734,2180,2806,92,302,666
44737,3107,3195,2475,1691,2167,2763,92,302,666
45057,3179,3203,2507,1691,2152,2736,57,387,664
45377,3159,3224,2579,1712,2130,2713,57,387,664
45697,3122,3236,2622,1746,2111,2698,57,387,664
46017,3018,3202,2584,1777,2093,2687,57,387,664
46337,2914,3191,2519,1793,2084,2674,57,387,664
46657,2836,3205,2445,1777,2085,2652,57,387,664
46977,2729,3215,2376,1732,2083,2623,57,387,664
47297,2669,3247,2367,1685,2084,2599,24,491,636
47617,2631,3247,2346,1632,2083,2571,24,491,636
47937,2613,3310,2325,1594,2076,2547,24,491,636
48257,2659,3375,2343,1582,2063,2521,24,491,636
48577,2685,3410,2343,1616,2046,2497,24,491,636
48897,2696,3447,2315,1667,2027,2467,24,491,636
49217,2708,3427,2286,1736,2005,2429,24,491,636
49537,2688,3390,2217,1804,1987,2389,-16,562,600
49857,2623,3348,2150,1848,1975,2337,-16,562,600
50177,2525,3301,2077,1873,1969,2283,-16,562,600
50497,2386,3266,2062,1856,1961,2225,-16,562,600
50817,2227,3252,2128,1797,1944,2179,-16,562,600
51137,2234,3250,2120,1736,1927,2136,-16,562,600
51457,2333,3210,2058,1705,1919,2087,-16,562,600
51777,2348,3198,2058,1687,1912,2037,-66,607,573
52097,2307,3147,2022,1662,1905,1993,-66,607,573
52417,2316,3124,2054,1637,1897,1959,-66,607,573
52737,2317,3133,2037,1606,1891,1929,-66,607,573
53057,2307,3130,2029,1583,1885,1909,-66,607,573
53377,2304,3089,2005,1560,1877,1889,-66,607,573
53697,2314,3070,1974,1540,1873,1874,-66,607,573
54017,2322,3062,1942,1524,1868,1865,-22,619,560
54337,2301,3044,1924,1512,1867,1860,-22,619,560
54657,2334,3025,1945,1508,1866,1856,-22,619,560
54977,2343,3021,1944,1509,1865,1852,-22,619,560
55297,2371,3023,1942,1524,1864,1847,-22,619,560
55617,2351,2972,1939,1547,1866,1850,-22,619,560
55937,2372,2979,1936,1572,1867,1844,-22,619,560
56257,2356,2981,1957,1604,1866,1846,47,630,562
56577,2376,2975,1979,1639,1870,1850,47,630,562
56897,2353,3000,1966,1673,1870,1847,47,630,562
57217,2299,2995,2037,1702,1868,1850,47,630,562
57537,2202,3007,2071,1722,1864,1860,47,630,562
57857,2119,3022,2117,1732,1860,1872,47,630,562
58177,2051,3078,2183,1730,1856,1879,47,630,562
58497,2047,3114,2212,1727,1846,1885,78,628,549
58817,2028,3142,2251,1735,1837,1892,78,628,549
59137,2038,3162,2254,1759,1829,1899,78,628,549
59457,2008,3164,2264,1787,1824,1905,78,628,549
59777,1891,3175,2256,1816,1824,1914,78,628,549
60097,1846,3171,2243,1834,1825,1917,78,628,549
60417,1846,3159,2218,1855,1827,1914,78,628,549
60737,1843,3127,2140,1875,1830,1911,76,635,535
61057,1878,3123,2085,1883,1835,1908,76,635,535
61377,1912,3110,2069,1882,1839,1904,76,635,535
61697,1999,3111,2010,1883,1840,1895,76,635,535
62017,2015,3094,1972,1890,1841,1886,76,635,535
62337,2049,3092,1950,1897,1844,1882,76,635,535
62657,2042,3081,1935,1898,1842,1877,76,635,535
62977,2077,3066,1883,1899,1841,1874,67,630,541
63297,2067,3064,1893,1893,1842,1874,67,630,541
63617,2078,3042,1872,1878,1839,1871,67,630,541
63937,2074,3041,1880,1862,1836,1871,67,630,541
64257,2087,3024,1875,1845,1834,1872,67,630,541
64577,2090,2999,1878,1832,1832,1875,67,630,541
64897,2115,3020,1887,1825,1832,1876,67,630,541
65217,2114,2996,1901,1817,1829,1878,57,632,545
2,2103,3002,1880,1818,1828,1878,57,632,545
321,2082,3003,1909,1823,1829,1879,57,632,545
641,2082,3024,1912,1829,1830,1881,57,632,545
961,2056,3018,1943,1835,1831,1879,57,632,545
1281,2042,3035,1942,1840,1832,1878,57,632,545
1601,2023,3034,1945,1845,1832,1875,57,632,545
1921,1980,3033,1965,1850,1834,1875,68,631,535
2241,1961,3071,1963,1852,1835,1875,68,631,535
2561,1942,3094,1976,1849,1835,1876,68,631,535
2881,1925,3090,1982,1845,1837,1877,68,631,535
3201,1931,3106,1974,1839,1836,1876,68,631,535
3521,1941,3097,1982,1840,1840,1878,68,631,535
3841,1947,3102,1971,1835,1839,1877,68,631,535
4161,1939,3103,1980,1832,1838,1878,60,624,544
4481,1960,3108,1961,1828,1840,1878,60,624,544
4801,1943,3077,1940,1821,1839,1879,60,624,544
5121,1964,3072,1936,1818,1840,1878,60,624,544
5441,1979,3047,1954,1814,1841,1878,60,624,544
5761,1970,3082,1951,1811,1842,1879,60,624,544
6081,1985,3087,1924,1808,1843,1879,60,624,544
6401,2002,3065,1942,1804,1842,1877,63,635,540
6721,2022,3080,1917,1803,1842,1876,63,635,540
7041,2043,3052,1942,1802,1842,1876,63,635,540
7361,2044,3067,1937,1805,1844,1877,63,635,540
7681,2042,3072,1950,1806,1843,1877,63,635,540
8001,2032,3085,1945,1809,1845,1877,63,635,540
8321,2022,3082,1948,1806,1843,1877,63,635,540
8641,2007,3083,1976,1808,1844,1879,79,641,537
8961,2017,3091,1969,1806,1841,1878,79,641,537
9281,1985,3082,1978,1805,1840,1882,79,641,537
9601,2013,3110,1983,1806,1840,1885,79,641,537
9921,2007,3098,1980,1802,1839,1885,79,641,537
10241,2000,3098,1983,1799,1839,1885,79,641,537
10561,2019,3107,1988,1797,1839,1884,79,641,537
10881,2011,3131,1983,1795,1839,1884,84,647,540
11201,2008,3115,1993,1794,1839,1881,84,647,540
11521,2015,3107,2008,1793,1839,1881,84,647,540
11841,2015,3107,1971,1794,1836,1877,84,647,540
12161,2019,3108,1992,1797,1838,1879,84,647,540
12481,2028,3106,2002,1795,1835,1874,84,647,540
12801,2029,3109,1989,1795,1834,1874,84,647,540
13121,2022,3091,1989,1796,1834,1875,88,657,537
13441,2019,3092,1972,1792,1831,1873,88,657,537
13761,2059,3074,1975,1792,1834,1877,88,657,537
14081,2029,3082,1981,1789,1833,1875,88,657,537
14401,2067,3055,1949,1787,1831,1874,88,657,537
14721,2084,3065,1971,1789,1833,1874,88,657,537
15041,2102,3067,1958,1793,1833,1872,88,657,537
15361,2119,3063,1945,1797,1833,1870,99,653,533
15681,2097,3072,1946,1805,1834,1869,99,653,533
16001,2103,3079,1943,1816,1836,1869,99,653,533
16321,2107,3062,1946,1826,1837,1865,99,653,533
16641,2099,3066,1957,1831,1838,1865,99,653,533
16961,2092,3066,1930,1836,1836,1864,99,653,533
17281,2078,3051,1938,1839,1837,1864,99,653,533
17601,2066,3062,1927,1841,1837,1864,103,658,537
17921,2076,3061,1928,1843,1838,1863,103,658,537
18241,2098,3066,1925,1848,1840,1862,103,658,537
18561,2098,3060,1904,1850,1838,1862,103,658,537
18881,2078,3071,1904,1855,1839,1860,103,658,537
19201,2089,3060,1895,1855,1838,1859,103,658,537
19521,2107,3063,1891,1857,1841,1857,103,658,537
19841,2104,3060,1876,1856,1842,1856,115,661,545
20161,2102,3051,1880,1854,1841,1853,115,661,545
20481,2117,3048,1859,1858,1843,1852,115,661,545
20801,2097,3048,1870,1855,1842,1849,115,661,545
21121,2109,3042,1877,1858,1844,1849,115,661,545
