TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
14753,2277,2903,1901,2276,2061,2060,-20,543,598
15073,2245,2984,1977,2339,2098,2050,-20,543,598
15393,2209,3062,2017,2383,2124,2037,-20,543,598
15713,2170,3129,2087,2416,2141,2024,-20,543,598
16033,2110,3147,2103,2425,2148,2010,-20,543,598
16353,2043,3160,2157,2413,2140,1996,-20,543,598
16673,2006,3159,2169,2375,2131,1986,-20,543,598
16993,1971,3151,2157,2327,2119,1982,-174,611,542
17313,1898,3057,2088,2211,2112,1966,-174,611,542
17633,1543,2958,2084,1836,2106,1904,-174,611,542
17953,1248,3260,2543,1385,2026,1921,-174,611,542
18273,1987,3242,2576,1230,1952,1997,-174,611,542
18593,2708,3225,2602,1320,1895,2003,-174,611,542
18913,2867,3200,2558,1559,1855,2001,-174,611,542
19233,2583,3143,2426,1777,1835,2001,-158,635,525
19553,2368,3081,2304,1910,1822,2009,-158,635,525
19873,2281,3030,2192,1983,1815,2022,-158,635,525
20193,2206,2985,2135,2015,1816,2028,-158,635,525
20513,2134,2956,2094,2008,1820,2030,-158,635,525
20833,2106,2943,2045,1971,1824,2030,-158,635,525
21153,2070,2936,2047,1918,1827,2032,-158,635,525
21473,1993,2950,2062,1857,1824,2036,-201,631,515
21793,2015,2946,2073,1799,1818,2047,-201,631,515
22113,2048,2970,2097,1749,1807,2060,-201,631,515
22433,2079,2980,2098,1713,1791,2072,-201,631,515
22753,2093,2997,2083,1685,1775,2086,-201,631,515
23073,2062,3001,2089,1653,1760,2099,-201,631,515
23393,2039,2979,2044,1613,1743,2110,-201,631,515
23713,1983,3013,1993,1556,1728,2124,-209,601,546
24033,1941,2993,1945,1480,1716,2138,-209,601,546
24353,1917,2995,1906,1386,1702,2149,-209,601,546
24673,1928,2995,1852,1295,1695,2160,-209,601,546
24993,1990,3006,1830,1217,1690,2172,-209,601,546
25313,1983,3029,1800,1142,1689,2178,-209,601,546
25633,1999,3024,1788,1068,1690,2180,-209,601,546
25953,2044,3033,1761,1001,1690,2174,-129,549,600
26273,2096,3044,1780,944,1694,2168,-129,549,600
26593,2174,3056,1782,899,1701,2156,-129,549,600
26913,2234,3078,1784,871,1710,2143,-129,549,600
27233,2305,3077,1774,858,1721,2126,-129,549,600
27553,2357,3067,1804,863,1735,2105,-129,549,600
27873,2415,3064,1830,891,1753,2083,-129,549,600
28193,2493,3088,1870,942,1775,2062,67,515,631
28513,2533,3098,1905,1017,1797,2038,67,515,631
28833,2585,3053,1947,1112,1823,2013,67,515,631
29153,2564,3071,2026,1225,1849,1985,67,515,631
29473,2637,3067,2045,1371,1878,1958,67,515,631
29793,2665,3078,2163,1549,1904,1934,67,515,631
30113,2635,3077,2198,1738,1923,1907,67,515,631
30433,2575,3060,2197,1923,1939,1882,178,532,591
30753,2493,3059,2152,2089,1951,1856,178,532,591
31073,2384,3082,2115,2222,1960,1830,178,532,591
31393,2377,3065,2056,2341,1972,1810,178,532,591
31713,2365,3084,2047,2442,1978,1785,178,532,591
32033,2383,3093,1975,2526,1981,1762,178,532,591
32353,2345,3087,1974,2583,1979,1742,178,532,591
32673,2264,3108,1959,2604,1973,1718,74,562,606
32993,2196,3139,1947,2588,1963,1700,74,562,606
33313,2148,3119,1924,2551,1953,1684,74,562,606
33633,2140,3082,1880,2521,1948,1675,74,562,606
33953,2101,3088,1826,2468,1941,1675,74,562,606
34273,1783,3113,2021,2349,1912,1690,74,562,606
34593,1705,3102,2180,2242,1878,1729,74,562,606
34913,1749,3085,2282,2128,1850,1750,-63,577,591
35233,1682,3067,2297,2040,1824,1771,-63,577,591
35553,1701,3024,2304,1980,1795,1798,-63,577,591
35873,1763,3011,2279,1929,1772,1815,-63,577,591
36193,1814,3018,2239,1883,1762,1828,-63,577,591
36513,1806,2959,2153,1823,1763,1837,-63,577,591
36833,1872,2966,2083,1763,1774,1843,-63,577,591
37153,1931,2999,2045,1711,1787,1847,-59,561,597
37473,2000,3034,2061,1667,1798,1851,-59,561,597
37793,2026,3061,2094,1645,1806,1846,-59,561,597
38113,2056,3062,2086,1645,1811,1843,-59,561,597
38433,2073,3072,2053,1667,1815,1843,-59,561,597
38753,2122,3062,2066,1706,1814,1844,-59,561,597
39073,2102,3065,2046,1757,1816,1848,-59,561,597
39393,2131,3053,2023,1805,1817,1848,-33,559,602
39713,2089,3030,2010,1843,1819,1848,-33,559,602
40033,2084,3046,1978,1871,1825,1850,-33,559,602
40353,2075,3017,1998,1882,1828,1850,-33,559,602
40673,2073,3017,1980,1885,1833,1854,-33,559,602
40993,2077,3019,1993,1881,1835,1856,-33,559,602
41313,2082,3017,2010,1878,1840,1862,-33,559,602
41633,2076,3010,1990,1866,1838,1863,-41,563,601
41953,2068,3009,2014,1856,1839,1869,-41,563,601
42273,2078,3014,2018,1846,1837,1874,-41,563,601
42593,2091,3017,1989,1835,1838,1881,-41,563,601
42913,2092,3005,1997,1827,1837,1883,-41,563,601
43233,2109,2992,2007,1820,1837,1887,-41,563,601
43553,2078,3022,2037,1815,1838,1889,-41,563,601
43873,2112,3016,1993,1811,1838,1892,-36,544,602
44193,2115,3019,2032,1809,1839,1894,-36,544,602
44513,2103,3021,2031,1805,1837,1891,-36,544,602
44833,2118,3032,2062,1805,1836,1892,-36,544,602
45153,2102,3039,2060,1807,1838,1893,-36,544,602
45473,2107,3038,2078,1805,1838,1891,-36,544,602
45793,2132,3027,2071,1806,1838,1891,-36,544,602
46113,2125,3018,2089,1805,1836,1888,-33,556,602
46433,2131,3026,2083,1807,1836,1886,-33,556,602
46753,2129,3038,2091,1811,1837,1887,-33,556,602
47073,2130,3020,2104,1815,1835,1884,-33,556,602
47393,2128,3042,2089,1818,1833,1882,-33,556,602
47713,2150,3031,2078,1823,1835,1882,-33,556,602
48033,2129,3039,2090,1828,1836,1882,-33,556,602
48353,2128,3049,2086,1828,1833,1879,-25,559,599
48673,2153,3031,2087,1829,1832,1878,-25,559,599
48993,2115,3036,2087,1829,1831,1878,-25,559,599
49313,2125,3034,2075,1831,1832,1879,-25,559,599
49633,2119,3029,2064,1829,1831,1878,-25,559,599
