TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
193,2180,3048,1856,1767,1758,1845,56,542,645
513,2209,3043,1907,1759,1771,1839,56,542,645
833,2217,3052,1960,1760,1783,1833,56,542,645
1153,2233,3028,1989,1770,1795,1824,56,542,645
1473,2259,3015,2019,1786,1806,1814,56,542,645
1793,2241,3001,2030,1804,1820,1805,56,542,645
2113,2224,3013,2064,1826,1834,1796,56,542,645
2433,2154,3069,2115,1815,1843,1788,66,527,646
2753,2226,3053,2111,1830,1859,1778,66,527,646
3073,2223,3069,2118,1839,1874,1776,66,527,646
3393,2181,3095,2151,1882,1895,1786,66,527,646
3713,2177,3145,2170,1908,1912,1785,66,527,646
4033,2228,3207,2195,1936,1928,1785,66,527,646
4353,2228,3236,2241,1968,1943,1784,66,527,646
4673,2234,3225,2211,1996,1952,1778,60,537,636
4993,2233,3183,2228,2026,1960,1772,60,537,636
5313,2198,3130,2250,2048,1964,1761,60,537,636
5633,2179,3103,2222,2067,1965,1746,60,537,636
5953,2147,3055,2207,2088,1964,1732,60,537,636
6273,2143,3014,2181,2105,1960,1714,60,537,636
6593,2088,2956,2163,2120,1954,1694,60,537,636
6913,2047,2923,2115,2130,1952,1678,9,567,626
7233,2056,2907,2117,2126,1943,1660,9,567,626
7553,2022,2895,2103,2119,1938,1647,9,567,626
7873,2024,2877,2073,2111,1935,1639,9,567,626
8193,2020,2863,2087,2097,1930,1633,9,567,626
8513,2015,2864,2056,2090,1931,1636,9,567,626
8833,2034,2891,2073,2079,1927,1639,9,567,626
9153,2062,2891,2078,2070,1923,1648,-29,589,598
9473,2134,2948,2090,2086,1918,1660,-29,589,598
9793,2195,2960,2063,2129,1917,1676,-29,589,598
10113,2193,2960,2096,2215,1906,1714,-29,589,598
10433,1947,2974,2174,2280,1893,1758,-29,589,598
10753,1619,3010,2249,2281,1882,1798,-29,589,598
11073,1487,3023,2281,2210,1870,1832,-29,589,598
11393,1535,3041,2277,2108,1857,1858,-91,599,568
11713,1679,3052,2268,2009,1850,1867,-91,599,568
12033,1719,3061,2259,1925,1849,1877,-91,599,568
12353,1833,3082,2226,1867,1852,1887,-91,599,568
12673,1937,3095,2202,1836,1853,1892,-91,599,568
12993,1976,3144,2184,1820,1858,1895,-91,599,568
13313,1968,3126,2195,1819,1856,1895,-91,599,568
13633,1973,3105,2189,1835,1856,1899,-107,606,566
13953,1959,3096,2149,1852,1851,1896,-107,606,566
14273,1981,3064,2080,1873,1851,1897,-107,606,566
14593,2011,3033,2062,1885,1848,1895,-107,606,566
14913,2012,3009,2063,1892,1845,1891,-107,606,566
15233,2046,2991,2008,1894,1844,1890,-107,606,566
15553,2032,2989,1995,1891,1843,1888,-107,606,566
15873,2030,3000,1986,1885,1842,1888,-131,607,551
16193,2044,2994,1968,1875,1842,1890,-131,607,551
16513,2061,3007,1982,1858,1840,1894,-131,607,551
16833,2072,3005,1963,1837,1837,1895,-131,607,551
17153,2082,3008,1932,1815,1838,1898,-131,607,551
17473,2090,3008,1971,1792,1838,1903,-131,607,551
17793,2102,3036,1956,1766,1838,1906,-131,607,551
18113,2100,3013,1959,1744,1838,1909,-128,610,557
18433,2131,3002,1977,1723,1837,1910,-128,610,557
18753,2155,3031,1974,1707,1840,1914,-128,610,557
19073,2158,3009,1968,1691,1839,1911,-128,610,557
19393,2157,3023,1981,1685,1843,1912,-128,610,557
19713,2164,3024,1995,1686,1846,1912,-128,610,557
20033,2176,3019,2004,1688,1849,1910,-128,610,557
20353,2179,3028,2009,1700,1855,1908,-109,614,556
20673,2209,3035,2014,1711,1859,1903,-109,614,556
20993,2218,3035,2008,1731,1867,1902,-109,614,556
21313,2210,3036,2058,1756,1870,1900,-109,614,556
21633,2233,3037,2040,1789,1875,1899,-109,614,556
21953,2241,3039,2069,1821,1875,1898,-109,614,556
22273,2208,3029,2081,1846,1876,1897,-109,614,556
22593,2150,3037,2121,1864,1873,1897,-105,617,553
22913,2171,3006,2128,1869,1868,1897,-105,617,553
23233,2110,3007,2167,1865,1863,1896,-105,617,553
23553,2084,2992,2161,1844,1854,1893,-105,617,553
23873,2087,2983,2178,1819,1848,1895,-105,617,553
24193,2086,2966,2184,1797,1843,1897,-105,617,553
24513,2092,2960,2144,1777,1838,1900,-105,617,553
24833,2086,2966,2130,1762,1836,1903,-103,632,551
25153,2097,2950,2080,1742,1835,1904,-103,632,551
25473,2171,2951,2064,1734,1836,1904,-103,632,551
25793,2195,2955,2038,1734,1840,1904,-103,632,551
26113,2221,2967,2049,1744,1845,1907,-103,632,551
26433,2238,2996,2019,1756,1848,1908,-103,632,551
26753,2241,2996,2001,1768,1851,1909,-103,632,551
27073,2239,3004,1985,1777,1854,1909,-95,622,552
27393,2216,3043,1990,1791,1859,1911,-95,622,552
27713,2261,3055,1981,1804,1861,1912,-95,622,552
28033,2251,3050,1978,1819,1865,1911,-95,622,552
28353,2264,3078,1975,1835,1870,1914,-95,622,552
28673,2246,3090,1997,1847,1871,1911,-95,622,552
28993,2235,3061,2000,1857,1873,1909,-95,622,552
29313,2228,3045,2012,1864,1875,1904,-94,627,545
29633,2240,3038,2022,1866,1877,1901,-94,627,545
29953,2221,3072,2016,1865,1878,1895,-94,627,545
30273,2216,3048,2031,1861,1876,1887,-94,627,545
30593,2221,3051,2034,1855,1875,1880,-94,627,545
30913,2220,3042,2015,1853,1875,1874,-94,627,545
31233,2246,3056,2008,1848,1872,1867,-94,627,545
31553,2220,3069,2046,1850,1870,1863,-94,639,534
31873,2223,3062,2040,1854,1868,1860,-94,639,534
32193,2250,3048,2040,1867,1867,1859,-94,639,534
32513,2270,3075,2044,1885,1865,1858,-94,639,534
32833,2245,3064,2053,1898,1861,1857,-94,639,534
33153,2217,3060,2026,1909,1859,1858,-94,639,534
33473,2211,3063,2007,1915,1860,1861,-94,639,534
33793,2207,3069,2019,1915,1858,1862,-107,633,528
34113,2193,3069,2006,1914,1858,1863,-107,633,528
34433,2176,3072,1985,1912,1858,1863,-107,633,528
34753,2162,3060,1997,1913,1858,1864,-107,633,528
35073,2188,3073,1988,1915,1859,1863,-107,633,528
35393,2182,3081,1983,1915,1856,1861,-107,633,528
35713,2178,3070,1966,1919,1855,1857,-107,633,528
36033,2177,3073,1965,1923,1857,1856,-126,640,525
36353,2156,3071,1974,1924,1855,1853,-126,640,525
36673,2155,3066,1959,1925,1854,1848,-126,640,525
36993,2169,3055,1957,1923,1853,1847,-126,640,525
37313,2155,3046,1936,1920,1851,1843,-126,640,525
37633,2169,3043,1929,1919,1851,1841,-126,640,525
37953,2171,3041,1963,1918,1849,1840,-126,640,525
38273,2165,3039,1927,1918,1849,1839,-133,641,514
38593,2171,3062,1947,1915,1847,1838,-133,641,514
38913,2132,3031,1952,1910,1844,1837,-133,641,514
39233,2152,3053,1933,1904,1842,1836,-133,641,514
39553,2139,3031,1931,1899,1843,1838,-133,641,514
39873,2140,3050,1919,1892,1839,1838,-133,641,514
40193,2141,3044,1905,1886,1839,1840,-133,641,514
40513,2145,3054,1919,1879,1838,1839,-152,647,518
40833,2142,3047,1935,1872,1837,1840,-152,647,518
41153,2138,3046,1951,1869,1837,1842,-152,647,518
41473,2141,3052,1935,1866,1837,1844,-152,647,518
41793,2153,3053,1921,1865,1838,1843,-152,647,518
42113,2142,3023,1946,1863,1838,1847,-152,647,518
42433,2133,3033,1931,1865,1839,1850,-152,647,518
42753,2133,3037,1952,1867,1839,1853,-156,646,509
43073,2127,3029,1947,1866,1838,1854,-156,646,509
43393,2123,3031,1945,1865,1836,1855,-156,646,509
43713,2124,3046,1951,1866,1837,1860,-156,646,509
44033,2108,3038,1959,1863,1835,1862,-156,646,509
44353,2108,3051,1957,1860,1834,1866,-156,646,509
44673,2116,3053,1961,1855,1832,1869,-156,646,509
44993,2118,3061,1974,1849,1833,1873,-154,662,509
45313,2098,3051,1980,1840,1831,1876,-154,662,509
45633,2107,3054,1985,1830,1830,1878,-154,662,509
45953,2100,3061,1973,1822,1830,1882,-154,662,509
46273,2112,3061,1983,1815,1831,1885,-154,662,509
46593,2110,3063,1973,1808,1832,1888,-154,662,509
46913,2147,3058,1965,1804,1831,1888,-154,662,509
47233,2158,3055,1970,1801,1832,1891,-152,663,518
47553,2172,3045,1990,1798,1833,1890,-152,663,518
47873,2166,3041,1972,1801,1836,1893,-152,663,518
48193,2177,3037,1984,1800,1834,1892,-152,663,518
48513,2195,3031,1999,1807,1835,1891,-152,663,518
48833,2187,3023,1987,1813,1838,1892,-152,663,518
49153,2188,3011,2003,1818,1840,1892,-152,663,518
49473,2201,3035,1966,1824,1841,1892,-152,647,502
49793,2197,3023,1990,1828,1843,1892,-152,647,502
50113,2191,3019,1980,1831,1844,1891,-152,647,502
50433,2199,3016,1981,1835,1846,1892,-152,647,502
50753,2203,3036,1983,1833,1844,1890,-152,647,502
51073,2214,3030,1982,1833,1843,1890,-152,647,502
51393,2196,3037,2000,1834,1843,1890,-152,647,502
51713,2192,3031,1994,1836,1844,1890,-147,649,505
52033,2211,3034,1981,1837,1843,1888,-147,649,505
52353,2214,3038,1984,1837,1843,1888,-147,649,505
52673,2192,3042,1975,1838,1843,1885,-147,649,505
52993,2219,3051,1987,1836,1842,1884,-147,649,505
53313,2191,3023,1968,1835,1842,1882,-147,649,505
53633,2187,3029,1988,1833,1841,1879,-147,649,505
53953,2192,3050,1995,1833,1840,1878,-166,655,510
54273,2189,3038,2000,1830,1836,1875,-166,655,510
54593,2177,3046,1991,1833,1838,1878,-166,655,510
54913,2187,3029,1998,1833,1833,1875,-166,655,510
55233,2180,3066,1990,1834,1835,1877,-166,655,510
55553,2177,3053,1983,1835,1836,1877,-166,655,510
55873,2164,3050,2012,1832,1835,1875,-166,655,510
56193,2163,3031,1976,1831,1835,1877,-160,655,509
56513,2170,3037,1990,1831,1835,1877,-160,655,509
56833,2176,3037,2000,1832,1836,1879,-160,655,509
57153,2168,3043,1992,1834,1836,1880,-160,655,509
57473,2159,3047,1988,1834,1835,1879,-160,655,509
57793,2166,3027,1999,1834,1835,1878,-160,655,509
58113,2169,3056,1986,1836,1837,1880,-160,655,509
58433,2158,3050,1980,1834,1835,1878,-163,657,505
58753,2156,3043,1992,1835,1835,1879,-163,657,505
59073,2165,3061,1980,1835,1834,1878,-163,657,505
59393,2155,3042,1974,1834,1834,1879,-163,657,505
59713,2162,3051,1966,1834,1835,1880,-163,657,505
60033,2156,3057,1988,1835,1835,1880,-163,657,505
60353,2165,3067,1963,1837,1837,1881,-163,657,505
60673,2158,3069,1983,1838,1838,1883,-155,655,503
60993,2168,3055,1981,1837,1839,1883,-155,655,503
61313,2168,3036,1983,1835,1837,1882,-155,655,503
61633,2169,3039,1999,1834,1837,1882,-155,655,503
61953,2175,3067,2011,1834,1837,1882,-155,655,503
62273,2170,3047,2001,1832,1837,1882,-155,655,503
62593,2179,3033,1986,1830,1836,1879,-155,655,503
62913,2167,3036,2006,1827,1833,1876,-164,648,500
63233,2187,3033,2005,1829,1833,1875,-164,648,500
63553,2188,3036,1971,1832,1834,1875,-164,648,500
63873,2152,3040,2008,1831,1833,1873,-164,648,500
64193,2146,3044,1989,1830,1833,1874,-164,648,500
64513,2160,3043,2014,1830,1831,1874,-164,648,500
64833,2188,3036,1967,1835,1834,1875,-164,648,500
65153,2188,3060,1981,1836,1834,1873,-161,652,504
65473,2165,3031,2000,1835,1835,1875,-161,652,504
257,2181,3043,1981,1836,1835,1876,-161,652,504
577,2173,3027,1979,1833,1834,1874,-161,652,504
897,2180,3027,1977,1832,1834,1875,-161,652,504
1217,2155,3040,1986,1831,1834,1873,-161,652,504
1537,2156,3039,1980,1833,1835,1877,-161,652,504
1857,2169,3047,1993,1833,1836,1876,-162,659,504
2177,2174,3033,1975,1833,1835,1877,-162,659,504
2497,2151,3043,2000,1831,1835,1877,-162,659,504
2817,2163,3051,1993,1829,1835,1877,-162,659,504
3137,2162,3047,2012,1827,1835,1877,-162,659,504
3457,2151,3048,1996,1827,1834,1878,-162,659,504
3777,2173,3040,1994,1829,1836,1880,-162,659,504
4097,2178,3044,2006,1827,1835,1878,-160,651,511
4417,2169,3053,2007,1827,1835,1878,-160,651,511
4737,2176,3044,2000,1828,1835,1881,-160,651,511
5057,2157,3029,1999,1826,1835,1879,-160,651,511
5377,2168,3045,1998,1827,1836,1881,-160,651,511
5697,2162,3041,1992,1825,1835,1879,-160,651,511
6017,2170,3066,2002,1828,1835,1879,-160,651,511
6337,2167,3037,2009,1829,1836,1879,-167,651,510
6657,2168,3045,1984,1831,1837,1880,-167,651,510
6977,2163,3039,2002,1832,1837,1879,-167,651,510
7297,2177,3029,2002,1831,1837,1879,-167,651,510
7617,2170,3039,1982,1832,1836,1879,-167,651,510
7937,2171,3033,1995,1831,1836,1878,-167,651,510
8257,2166,3044,1988,1830,1835,1877,-167,651,510
8577,2156,3052,1992,1831,1834,1878,-163,660,515
8897,2163,3048,2005,1833,1837,1879,-163,660,515
9217,2181,3049,1992,1833,1836,1878,-163,660,515
9537,2154,3051,1980,1834,1836,1878,-163,660,515
9857,2163,3059,2001,1835,1836,1879,-163,660,515
10177,2159,3038,1983,1834,1835,1878,-163,660,515
10497,2164,3030,1984,1834,1837,1879,-163,660,515
10817,2170,3060,1980,1834,1835,1877,-168,658,511
11137,2163,3054,1971,1834,1833,1877,-168,658,511
11457,2160,3031,1979,1832,1835,1875,-168,658,511
11777,2150,3035,1981,1833,1837,1877,-168,658,511
12097,2172,3060,2005,1834,1837,1877,-168,658,511
12417,2154,3039,1981,1833,1838,1878,-168,658,511
12737,2155,3033,1984,1833,1837,1878,-168,658,511
13057,2168,3037,1983,1833,1838,1879,-161,655,499
13377,2153,3037,1989,1834,1838,1879,-161,655,499
13697,2167,3045,1999,1832,1836,1880,-161,655,499
