TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
27233,1999,3208,1862,1418,1924,1985,-397,575,490
27553,2237,3193,2018,1480,1911,1895,-397,575,490
27873,2239,3269,2148,1617,1912,1832,-397,575,490
28193,2159,3199,2207,1770,1924,1802,-397,575,490
28513,2062,3156,2193,1895,1935,1787,-397,575,490
28833,1988,3097,2204,1972,1943,1785,-397,575,490
29153,1897,3040,2254,1997,1939,1797,-397,575,490
29473,1734,3014,2204,1967,1932,1809,-361,594,471
29793,1587,2987,2162,1898,1920,1821,-361,594,471
30113,1566,2996,2118,1819,1905,1832,-361,594,471
30433,1574,3012,2110,1767,1892,1839,-361,594,471
30753,1603,3025,2127,1733,1872,1829,-361,594,471
31073,1669,3012,2107,1731,1854,1817,-361,594,471
31393,1731,3056,2136,1745,1841,1798,-361,594,471
31713,1714,3049,2146,1770,1829,1783,-354,622,465
32033,1779,3080,2158,1792,1813,1762,-354,622,465
32353,1816,3083,2203,1804,1800,1739,-354,622,465
32673,1884,3052,2193,1805,1787,1709,-354,622,465
32993,1881,3096,2172,1790,1774,1677,-354,622,465
33313,1883,3122,2145,1761,1762,1645,-354,622,465
33633,1870,3164,2114,1725,1751,1618,-354,622,465
33953,1857,3204,2107,1692,1741,1597,-303,644,476
34273,1871,3230,2127,1665,1729,1586,-303,644,476
34593,1912,3231,2101,1644,1722,1582,-303,644,476
34913,1903,3216,2113,1620,1714,1578,-303,644,476
35233,1920,3176,2138,1603,1708,1582,-303,644,476
35553,1930,3162,2126,1602,1706,1591,-303,644,476
35873,1927,3140,2130,1626,1713,1610,-303,644,476
36193,1920,3098,2092,1652,1716,1624,-204,639,507
36513,1920,3079,2084,1672,1720,1643,-204,639,507
36833,1876,3068,2068,1692,1725,1668,-204,639,507
37153,1867,3026,2059,1710,1726,1692,-204,639,507
37473,1864,3011,2033,1716,1731,1717,-204,639,507
37793,1878,3009,2024,1702,1730,1735,-204,639,507
38113,1886,2995,2010,1687,1730,1757,-204,639,507
38433,1937,3005,2004,1674,1731,1776,-139,624,541
38753,1946,2987,2004,1660,1729,1791,-139,624,541
39073,1957,3001,2002,1643,1726,1803,-139,624,541
39393,1999,2962,1964,1629,1726,1812,-139,624,541
39713,1992,2963,1970,1615,1728,1822,-139,624,541
40033,1975,2968,1898,1601,1732,1833,-139,624,541
40353,1984,2941,1895,1583,1740,1836,-139,624,541
40673,2015,2970,1886,1579,1749,1843,-85,601,566
40993,2030,2966,1885,1576,1763,1847,-85,601,566
41313,2080,3020,1940,1583,1776,1847,-85,601,566
41633,2138,3039,1954,1608,1786,1850,-85,601,566
41953,2170,3058,2016,1644,1799,1854,-85,601,566
42273,2188,3061,2035,1690,1804,1855,-85,601,566
42593,2140,3071,2043,1740,1810,1862,-85,601,566
42913,2108,3066,2084,1786,1815,1872,-28,593,578
43233,2050,3052,2094,1804,1817,1881,-28,593,578
43553,2031,3062,2117,1795,1818,1890,-28,593,578
43873,2041,3047,2129,1762,1813,1894,-28,593,578
44193,2063,3039,2109,1726,1812,1899,-28,593,578
44513,2082,3034,2130,1674,1809,1903,-28,593,578
44833,2138,3057,2101,1649,1807,1908,-28,593,578
45153,2167,3027,2104,1644,1807,1912,-5,591,581
45473,2234,3025,2073,1663,1808,1917,-5,591,581
45793,2284,3031,2079,1701,1807,1920,-5,591,581
46113,2301,3006,2085,1742,1808,1923,-5,591,581
46433,2286,3000,2041,1780,1810,1924,-5,591,581
46753,2273,2985,2035,1800,1816,1924,-5,591,581
47073,2269,2964,2020,1809,1821,1925,-5,591,581
47393,2237,2968,2016,1812,1827,1922,3,589,588
47713,2274,2957,2012,1814,1834,1921,3,589,588
48033,2267,2989,1995,1818,1841,1920,3,589,588
48353,2263,2954,2004,1822,1846,1919,3,589,588
48673,2277,2963,2020,1826,1852,1916,3,589,588
48993,2287,2943,2036,1828,1853,1912,3,589,588
49313,2289,2963,2024,1830,1854,1909,3,589,588
49633,2290,2966,2012,1831,1855,1907,5,587,586
49953,2269,2959,2011,1832,1857,1908,5,587,586
50273,2255,2991,2029,1834,1858,1907,5,587,586
50593,2261,2985,2048,1829,1857,1906,5,587,586
50913,2268,3005,2063,1825,1853,1901,5,587,586
51233,2268,2996,2047,1828,1853,1902,5,587,586
51553,2269,3008,2059,1833,1854,1902,5,587,586
51873,2275,3013,2055,1842,1854,1900,1,596,581
52193,2268,2995,2031,1851,1857,1901,1,596,581
52513,2251,2993,2001,1865,1860,1898,1,596,581
52833,2247,2983,2002,1879,1866,1895,1,596,581
53153,2255,3025,2030,1885,1867,1889,1,596,581
53473,2248,3030,2048,1886,1867,1884,1,596,581
53793,2271,3023,2061,1890,1865,1881,1,596,581
54113,2259,3012,2063,1893,1863,1875,-12,601,575
54433,2248,3030,2082,1903,1865,1875,-12,601,575
54753,2249,3019,2069,1908,1862,1869,-12,601,575
55073,2221,3032,2086,1910,1862,1867,-12,601,575
55393,2240,3024,2088,1909,1861,1866,-12,601,575
55713,2198,3035,2063,1907,1858,1864,-12,601,575
56033,2220,3023,2055,1909,1857,1861,-12,601,575
56353,2208,3024,2046,1907,1855,1859,-24,601,569
56673,2186,3015,2064,1908,1853,1858,-24,601,569
56993,2205,3010,2059,1911,1852,1858,-24,601,569
57313,2228,3009,2044,1912,1848,1860,-24,601,569
57633,2206,3021,2003,1910,1845,1859,-24,601,569
57953,2206,3006,2008,1909,1846,1862,-24,601,569
58273,2196,2997,1987,1903,1843,1861,-24,601,569
58593,2184,3005,1979,1902,1843,1862,-46,614,569
58913,2187,3013,1958,1898,1846,1863,-46,614,569
59233,2186,3022,1968,1893,1846,1863,-46,614,569
59553,2176,3007,1967,1886,1846,1862,-46,614,569
59873,2170,3032,1951,1884,1848,1862,-46,614,569
60193,2179,3031,1961,1875,1849,1861,-46,614,569
60513,2173,3045,1946,1873,1850,1862,-46,614,569
60833,2177,3017,1955,1869,1851,1860,-56,605,572
61153,2205,3025,1947,1871,1855,1860,-56,605,572
61473,2182,3041,1953,1873,1857,1858,-56,605,572
61793,2181,3035,1952,1875,1860,1856,-56,605,572
62113,2179,3027,1984,1877,1861,1857,-56,605,572
62433,2195,3055,1962,1878,1864,1859,-56,605,572
62753,2178,3061,1973,1877,1864,1856,-56,605,572
63073,2157,3041,2001,1871,1865,1856,-56,618,568
63393,2134,3022,1971,1866,1866,1857,-56,618,568
63713,2155,3026,1997,1860,1865,1860,-56,618,568
64033,2167,3012,1994,1859,1867,1861,-56,618,568
64353,2144,3020,1989,1852,1866,1862,-56,618,568
64673,2156,3004,2008,1846,1865,1862,-56,618,568
64993,2166,2995,1986,1846,1866,1864,-56,618,568
65313,2196,2998,1998,1847,1865,1865,-62,627,564
97,2193,3005,1995,1851,1864,1864,-62,627,564
417,2191,3017,1981,1852,1862,1863,-62,627,564
737,2170,3011,1993,1857,1865,1865,-62,627,564
1057,2196,3027,1975,1857,1865,1863,-62,627,564
1377,2200,3022,1989,1855,1865,1858,-62,627,564
1697,2165,3024,1982,1852,1863,1858,-62,627,564
2017,2182,3007,1993,1849,1866,1859,-62,629,562
2337,2201,3035,1984,1846,1866,1858,-62,629,562
2657,2196,3054,1997,1846,1868,1858,-62,629,562
2977,2225,3026,2004,1847,1869,1858,-62,629,562
3297,2208,3039,1997,1852,1871,1861,-62,629,562
3617,2215,3043,1995,1861,1873,1863,-62,629,562
3937,2205,3045,1984,1866,1873,1862,-62,629,562
4257,2205,3047,2026,1870,1871,1863,-58,638,551
4577,2243,3055,2042,1874,1873,1864,-58,638,551
4897,2219,3061,2037,1874,1870,1866,-58,638,551
5217,2221,3067,2041,1871,1869,1865,-58,638,551
5537,2216,3073,2032,1866,1865,1866,-58,638,551
5857,2221,3085,2013,1862,1863,1865,-58,638,551
6177,2223,3071,2016,1857,1861,1865,-58,638,551
6497,2209,3084,1981,1857,1860,1866,-66,643,545
6817,2190,3107,1968,1855,1858,1865,-66,643,545
7137,2199,3101,1953,1855,1858,1867,-66,643,545
7457,2198,3091,1944,1852,1858,1866,-66,643,545
7777,2199,3069,1948,1849,1858,1868,-66,643,545
8097,2199,3051,1939,1849,1857,1869,-66,643,545
8417,2165,3053,1950,1849,1859,1872,-66,643,545
8737,2196,3053,1933,1851,1859,1873,-84,649,539
9057,2190,3021,1951,1852,1857,1873,-84,649,539
9377,2181,3053,1946,1858,1858,1876,-84,649,539
9697,2165,3060,1961,1857,1856,1877,-84,649,539
10017,2161,3026,1963,1860,1854,1879,-84,649,539
10337,2167,3043,1964,1859,1852,1881,-84,649,539
10657,2197,3028,1991,1857,1848,1882,-84,649,539
10977,2183,3027,1988,1855,1846,1882,-77,654,535
11297,2191,3054,1969,1855,1843,1882,-77,654,535
11617,2179,3027,1985,1858,1842,1884,-77,654,535
11937,2160,3047,1968,1859,1842,1886,-77,654,535
12257,2183,3050,1961,1857,1838,1885,-77,654,535
12577,2181,3065,1947,1856,1836,1884,-77,654,535
12897,2184,3065,1945,1858,1837,1885,-77,654,535
13217,2197,3058,1915,1853,1834,1882,-90,660,539
13537,2167,3047,1958,1849,1832,1881,-90,660,539
13857,2184,3069,1939,1846,1833,1881,-90,660,539
14177,2188,3049,1932,1838,1829,1877,-90,660,539
14497,2167,3048,1934,1832,1828,1876,-90,660,539
14817,2153,3059,1933,1827,1827,1875,-90,660,539
15137,2176,3045,1916,1823,1827,1875,-90,660,539
15457,2162,3060,1935,1820,1827,1876,-91,650,535
15777,2166,3057,1925,1815,1825,1875,-91,650,535
16097,2163,3047,1938,1814,1826,1876,-91,650,535
16417,2156,3046,1939,1813,1828,1879,-91,650,535
16737,2151,3041,1935,1810,1826,1880,-91,650,535
17057,2150,3040,1978,1806,1825,1879,-91,650,535
17377,2151,3034,1976,1801,1825,1882,-91,650,535
17697,2154,3046,1950,1797,1824,1883,-93,642,538
18017,2133,3040,1935,1789,1823,1884,-93,642,538
18337,2146,3032,1937,1783,1824,1886,-93,642,538
18657,2156,3052,1958,1778,1826,1889,-93,642,538
18977,2174,3047,1949,1779,1830,1892,-93,642,538
19297,2186,3033,1955,1778,1829,1891,-93,642,538
19617,2194,3049,2010,1783,1830,1893,-93,642,538
19937,2207,3071,1986,1789,1831,1897,-79,646,535
20257,2218,3054,2002,1796,1830,1899,-79,646,535
20577,2216,3066,2005,1803,1830,1898,-79,646,535
20897,2222,3064,2003,1808,1827,1898,-79,646,535
21217,2224,3062,1993,1811,1825,1895,-79,646,535
21537,2213,3078,1963,1815,1825,1895,-79,646,535
21857,2205,3053,1983,1816,1823,1894,-79,646,535
22177,2208,3067,1974,1818,1822,1890,-72,646,548
22497,2203,3067,1973,1818,1820,1890,-72,646,548
22817,2196,3063,1995,1819,1819,1890,-72,646,548
23137,2206,3079,1965,1822,1818,1891,-72,646,548
23457,2199,3074,1981,1823,1817,1889,-72,646,548
23777,2188,3060,1986,1822,1814,1887,-72,646,548
24097,2177,3048,2008,1823,1813,1888,-72,646,548
24417,2168,3057,1991,1820,1811,1886,-81,642,540
