TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
65473,2176,1410,2265,1830,1835,1878,220,119,733
257,2190,1435,2252,1827,1835,1878,220,119,733
577,2220,1425,2263,1828,1834,1879,220,119,733
897,2201,1436,2263,1829,1835,1879,220,119,733
1217,2187,1420,2262,1829,1836,1880,220,119,733
1537,2181,1430,2254,1829,1835,1880,220,119,733
1857,2210,1425,2263,1828,1834,1879,220,119,733
2177,2197,1433,2268,1831,1837,1882,217,116,738
2497,2182,1412,2276,1830,1834,1880,217,116,738
2817,2190,1439,2264,1829,1835,1879,217,116,738
3137,2192,1430,2257,1831,1838,1882,217,116,738
3457,2197,1435,2249,1828,1835,1880,217,116,738
3777,2194,1413,2250,1827,1836,1880,217,116,738
4097,2194,1406,2248,1828,1836,1881,217,116,738
4417,2202,1423,2257,1830,1838,1882,221,111,738
4737,2194,1417,2259,1831,1837,1883,221,111,738
5057,2181,1426,2262,1830,1836,1881,221,111,738
5377,2185,1435,2248,1830,1837,1881,221,111,738
5697,2197,1445,2238,1831,1837,1883,221,111,738
6017,2204,1420,2267,1830,1837,1883,221,111,738
6337,2201,1426,2269,1829,1838,1883,221,111,738
6657,2204,1418,2254,1829,1837,1883,214,119,739
6977,2199,1423,2251,1830,1837,1882,214,119,739
7297,2200,1405,2256,1830,1837,1882,214,119,739
7617,2177,1419,2251,1830,1837,1881,214,119,739
7937,2191,1403,2248,1831,1838,1883,214,119,739
8257,2203,1436,2248,1829,1838,1883,214,119,739
8577,2205,1420,2267,1827,1835,1881,214,119,739
8897,2192,1439,2252,1827,1836,1881,219,111,739
9217,2187,1424,2246,1827,1835,1882,219,111,739
9537,2189,1416,2270,1826,1835,1881,219,111,739
9857,2192,1427,2235,1829,1837,1884,219,111,739
10177,2181,1412,2235,1828,1835,1881,219,111,739
10497,2190,1425,2247,1829,1835,1882,219,111,739
10817,2199,1418,2270,1829,1836,1882,219,111,739
11137,2189,1441,2271,1830,1837,1882,212,106,736
11457,2173,1423,2264,1830,1837,1883,212,106,736
11777,2187,1444,2233,1828,1838,1883,212,106,736
12097,2191,1427,2246,1828,1837,1882,212,106,736
12417,2197,1436,2247,1829,1839,1883,212,106,736
12737,2209,1413,2254,1831,1837,1882,212,106,736
13057,2204,1417,2258,1831,1837,1885,212,106,736
13377,2210,1420,2253,1833,1839,1881,223,118,736
13697,2206,1425,2249,1833,1840,1882,223,118,736
14017,2189,1424,2249,1833,1841,1882,223,118,736
14337,2172,1434,2255,1831,1838,1880,223,118,736
14657,2187,1405,2241,1829,1838,1878,223,118,736
14977,2205,1424,2270,1829,1838,1880,223,118,736
15297,2202,1407,2266,1829,1836,1878,223,118,736
15617,2184,1411,2269,1830,1835,1876,207,123,735
15937,2175,1438,2242,1828,1835,1876,207,123,735
16257,2180,1431,2261,1829,1834,1875,207,123,735
16577,2190,1426,2273,1827,1835,1874,207,123,735
16897,2178,1427,2256,1826,1833,1871,207,123,735
17217,2192,1419,2245,1825,1833,1868,207,123,735
17537,2184,1412,2255,1829,1836,1868,207,123,735
17857,2178,1440,2264,1827,1833,1865,219,109,734
18177,2176,1441,2272,1825,1830,1862,219,109,734
18497,2172,1450,2265,1822,1830,1862,219,109,734
18817,2177,1430,2254,1821,1829,1861,219,109,734
19137,2194,1447,2241,1815,1827,1859,219,109,734
19457,2198,1423,2237,1813,1827,1859,219,109,734
19777,2220,1415,2232,1814,1827,1857,219,109,734
20097,2225,1416,2247,1818,1828,1858,221,111,735
20417,2183,1419,2253,1820,1826,1855,221,111,735
20737,2180,1395,2239,1820,1827,1855,221,111,735
21057,2178,1404,2251,1822,1827,1855,221,111,735
21377,2189,1415,2255,1827,1829,1854,221,111,735
21697,2204,1428,2250,1833,1830,1854,221,111,735
22017,2189,1423,2262,1836,1830,1854,221,111,735
22337,2184,1416,2233,1837,1829,1850,216,109,741
22657,2187,1415,2232,1837,1831,1851,216,109,741
22977,2195,1408,2229,1836,1832,1852,216,109,741
23297,2187,1396,2251,1834,1832,1850,216,109,741
23617,2208,1400,2254,1839,1833,1852,216,109,741
23937,2195,1416,2262,1841,1830,1849,216,109,741
24257,2201,1410,2261,1848,1834,1851,216,109,741
24577,2187,1414,2255,1849,1832,1846,211,104,738
24897,2187,1417,2237,1849,1831,1845,211,104,738
25217,2194,1406,2210,1847,1834,1846,211,104,738
25537,2176,1393,2200,1841,1832,1843,211,104,738
25857,2152,1433,2214,1838,1832,1843,211,104,738
26177,2155,1405,2227,1834,1832,1841,211,104,738
26497,2123,1421,2251,1832,1834,1843,211,104,738
26817,2120,1412,2252,1838,1836,1846,216,95,731
27137,2103,1406,2245,1848,1837,1852,216,95,731
27457,2131,1387,2255,1861,1837,1854,216,95,731
27777,2158,1390,2245,1872,1838,1856,216,95,731
28097,2173,1428,2253,1875,1838,1856,216,95,731
28417,2192,1448,2250,1864,1836,1854,216,95,731
28737,2209,1450,2238,1849,1834,1851,216,95,731
29057,2179,1429,2237,1837,1833,1850,209,97,736
29377,2189,1415,2254,1832,1836,1852,209,97,736
29697,2198,1403,2251,1827,1838,1851,209,97,736
30017,2189,1405,2270,1834,1838,1852,209,97,736
30337,2194,1431,2274,1848,1838,1851,209,97,736
30657,2174,1438,2254,1861,1833,1848,209,97,736
30977,2154,1432,2238,1876,1832,1850,209,97,736
31297,2166,1431,2211,1887,1832,1850,195,86,727
31617,2162,1431,2208,1897,1831,1850,195,86,727
31937,2165,1412,2166,1907,1832,1851,195,86,727
32257,2149,1395,2182,1914,1831,1851,195,86,727
32577,2148,1368,2205,1918,1831,1851,195,86,727
32897,2112,1368,2203,1924,1833,1855,195,86,727
33217,2122,1381,2229,1922,1834,1855,195,86,727
33537,2090,1361,2236,1924,1836,1859,172,84,739
33857,2104,1339,2225,1927,1835,1862,172,84,739
34177,2082,1326,2233,1927,1831,1863,172,84,739
34497,2073,1315,2237,1922,1832,1865,172,84,739
34817,2063,1309,2212,1915,1835,1867,172,84,739
35137,2088,1318,2227,1908,1838,1865,172,84,739
35457,2114,1298,2236,1909,1844,1868,172,84,739
35777,2109,1313,2232,1898,1844,1861,151,87,742
36097,2106,1337,2236,1898,1848,1860,151,87,742
36417,2150,1336,2266,1899,1848,1857,151,87,742
36737,2130,1342,2275,1909,1848,1855,151,87,742
37057,2133,1351,2288,1927,1848,1854,151,87,742
37377,2092,1330,2309,1944,1847,1855,151,87,742
37697,2055,1346,2304,1947,1845,1853,151,87,742
38017,2044,1359,2303,1942,1848,1851,121,76,746
38337,2015,1351,2301,1920,1852,1849,121,76,746
38657,1990,1361,2280,1897,1856,1847,121,76,746
38977,1993,1387,2287,1870,1857,1847,121,76,746
39297,1999,1395,2282,1858,1858,1849,121,76,746
39617,2018,1418,2303,1858,1860,1852,121,76,746
39937,2039,1435,2280,1871,1857,1855,121,76,746
40257,2015,1431,2298,1892,1854,1857,112,83,736
40577,1989,1419,2327,1900,1852,1858,112,83,736
40897,1985,1427,2326,1902,1849,1858,112,83,736
41217,1974,1436,2353,1893,1847,1858,112,83,736
41537,1973,1426,2314,1871,1844,1859,112,83,736
41857,1950,1451,2317,1853,1842,1859,112,83,736
42177,1966,1430,2307,1841,1840,1862,112,83,736
42497,1985,1444,2319,1836,1838,1863,111,74,742
42817,1979,1452,2306,1839,1836,1865,111,74,742
43137,1990,1435,2303,1849,1833,1866,111,74,742
43457,1987,1418,2301,1857,1832,1867,111,74,742
43777,1960,1427,2292,1863,1832,1871,111,74,742
44097,1964,1423,2295,1855,1830,1872,111,74,742
44417,1954,1429,2284,1843,1830,1870,111,74,742
44737,1974,1422,2294,1834,1830,1870,112,72,739
45057,1960,1439,2286,1824,1832,1867,112,72,739
45377,1940,1425,2297,1822,1835,1874,112,72,739
45697,1935,1418,2261,1821,1837,1878,112,72,739
46017,1979,1419,2263,1821,1836,1879,112,72,739
46337,1985,1405,2282,1824,1836,1879,112,72,739
46657,1966,1425,2281,1828,1840,1881,112,72,739
46977,1986,1432,2294,1825,1841,1881,117,78,746
47297,2004,1430,2281,1826,1843,1880,117,78,746
47617,2000,1451,2299,1821,1843,1879,117,78,746
47937,1998,1446,2287,1818,1844,1877,117,78,746
48257,2013,1437,2305,1822,1841,1874,117,78,746
48577,2027,1430,2323,1823,1842,1870,117,78,746
48897,2035,1428,2320,1827,1840,1870,117,78,746
49217,2002,1419,2300,1830,1840,1873,123,80,744
49537,1984,1413,2298,1830,1838,1871,123,80,744
49857,1982,1411,2292,1826,1837,1873,123,80,744
50177,1992,1412,2301,1821,1837,1873,123,80,744
50497,2010,1409,2308,1820,1837,1872,123,80,744
50817,2023,1413,2305,1825,1838,1875,123,80,744
51137,2017,1410,2301,1828,1836,1872,123,80,744
51457,2003,1414,2293,1831,1836,1872,120,72,747
51777,2002,1418,2284,1832,1837,1871,120,72,747
52097,1979,1410,2276,1831,1838,1874,120,72,747
52417,1997,1396,2300,1828,1840,1874,120,72,747
52737,1954,1421,2291,1823,1839,1874,120,72,747
53057,1985,1427,2308,1826,1838,1876,120,72,747
53377,1971,1406,2316,1832,1839,1882,120,72,747
53697,1985,1425,2290,1835,1836,1880,128,70,738
54017,1999,1409,2308,1835,1837,1880,128,70,738
54337,1974,1422,2312,1831,1834,1881,128,70,738
54657,2002,1433,2306,1828,1832,1877,128,70,738
54977,2011,1444,2300,1826,1833,1878,128,70,738
55297,2015,1421,2316,1827,1834,1880,128,70,738
55617,2026,1396,2299,1826,1832,1879,128,70,738
55937,2012,1421,2289,1829,1835,1880,124,72,739
56257,1995,1414,2278,1831,1834,1877,124,72,739
56577,2003,1420,2293,1835,1835,1877,124,72,739
56897,1994,1410,2284,1839,1837,1879,124,72,739
57217,1976,1414,2293,1838,1837,1879,124,72,739
57537,1992,1412,2275,1836,1839,1879,124,72,739
57857,2011,1421,2290,1831,1837,1879,124,72,739
58177,1967,1405,2294,1830,1837,1880,119,73,738
58497,1984,1412,2312,1829,1836,1878,119,73,738
58817,1998,1404,2326,1829,1836,1878,119,73,738
59137,2004,1409,2274,1832,1836,1880,119,73,738
59457,2007,1411,2279,1832,1836,1879,119,73,738
59777,2003,1412,2279,1829,1834,1878,119,73,738
60097,1987,1403,2315,1827,1834,1879,119,73,738
60417,1989,1404,2293,1827,1833,1880,125,68,737
60737,2018,1379,2282,1826,1834,1880,125,68,737
61057,2008,1402,2303,1828,1835,1881,125,68,737
61377,2008,1393,2290,1828,1833,1878,125,68,737
61697,2017,1398,2274,1830,1834,1879,125,68,737
62017,2008,1407,2300,1831,1834,1879,125,68,737
62337,2014,1417,2276,1832,1836,1879,125,68,737
62657,2017,1395,2290,1835,1836,1879,122,77,740
62977,1974,1423,2293,1836,1835,1881,122,77,740
63297,1972,1426,2303,1836,1836,1877,122,77,740
63617,1986,1410,2300,1834,1836,1878,122,77,740
63937,2000,1412,2308,1833,1837,1879,122,77,740
64257,1998,1414,2307,1831,1838,1880,122,77,740
64577,1987,1427,2304,1828,1836,1879,122,77,740
64897,2003,1420,2273,1828,1835,1879,122,76,741
65217,2009,1419,2294,1831,1836,1882,122,76,741
2,2012,1410,2288,1828,1833,1879,122,76,741
321,1978,1406,2307,1830,1834,1879,122,76,741
641,1989,1390,2276,1832,1835,1881,122,76,741
961,2003,1381,2283,1831,1836,1880,122,76,741
1281,1987,1384,2291,1831,1835,1878,122,76,741
1601,1984,1402,2290,1831,1835,1878,123,77,745
1921,2001,1403,2288,1832,1835,1878,123,77,745
2241,1993,1414,2291,1834,1837,1879,123,77,745
2561,2001,1404,2291,1833,1835,1879,123,77,745
2881,1981,1400,2296,1833,1835,1878,123,77,745
3201,1998,1408,2299,1833,1835,1879,123,77,745
3521,1980,1398,2290,1831,1834,1878,123,77,745
3841,1994,1407,2291,1828,1835,1878,125,71,744
4161,1992,1427,2285,1827,1835,1880,125,71,744
4481,2013,1402,2292,1828,1836,1881,125,71,744
4801,1999,1420,2296,1826,1834,1878,125,71,744
5121,1995,1402,2289,1826,1835,1878,125,71,744
5441,2000,1403,2287,1829,1835,1877,125,71,744
5761,1989,1410,2283,1833,1837,1878,125,71,744
6081,1991,1405,2271,1833,1836,1877,123,71,746
6401,1990,1398,2282,1832,1836,1877,123,71,746
6721,1986,1391,2312,1831,1838,1879,123,71,746
7041,1997,1411,2274,1832,1836,1879,123,71,746
7361,2000,1397,2278,1831,1836,1879,123,71,746
7681,1995,1403,2286,1831,1835,1878,123,71,746
8001,2005,1414,2280,1833,1837,1880,123,71,746
8321,2001,1399,2293,1833,1836,1879,119,70,744
8641,1980,1425,2290,1831,1834,1878,119,70,744
8961,1983,1413,2295,1832,1835,1877,119,70,744
9281,2001,1402,2273,1830,1834,1878,119,70,744
9601,1991,1399,2295,1832,1833,1877,119,70,744
9921,2015,1434,2271,1835,1835,1879,119,70,744
10241,2011,1391,2271,1832,1833,1877,119,70,744
10561,1994,1398,2290,1832,1833,1877,123,73,744
10881,1995,1405,2290,1832,1835,1879,123,73,744
11201,1980,1403,2301,1831,1834,1879,123,73,744
11521,1975,1411,2283,1832,1835,1878,123,73,744
11841,1979,1410,2303,1832,1835,1878,123,73,744
12161,1982,1399,2301,1832,1834,1879,123,73,744
12481,1979,1416,2287,1833,1836,1880,123,73,744
12801,2006,1417,2298,1831,1835,1879,125,68,732
13121,1996,1396,2289,1831,1834,1879,125,68,732
13441,1997,1406,2309,1833,1834,1878,125,68,732
13761,2023,1410,2279,1835,1835,1879,125,68,732
14081,2002,1406,2295,1835,1836,1876,125,68,732
14401,2007,1391,2272,1834,1837,1878,125,68,732
14721,1979,1397,2285,1833,1835,1878,125,68,732
15041,2006,1397,2292,1837,1838,1880,114,65,730
15361,2000,1350,2278,1838,1837,1878,114,65,730
15681,1989,1391,2311,1838,1835,1877,114,65,730
16001,2005,1383,2286,1844,1837,1878,114,65,730
16321,1987,1400,2288,1843,1835,1877,114,65,730
16641,2008,1385,2291,1850,1837,1879,114,65,730
16961,2009,1378,2275,1848,1835,1876,114,65,730
17281,2006,1393,2290,1848,1836,1876,120,70,741
17601,2015,1381,2292,1852,1839,1877,120,70,741
17921,2006,1374,2296,1855,1837,1875,120,70,741
18241,2019,1396,2277,1860,1839,1873,120,70,741
18561,2033,1414,2276,1871,1838,1874,120,70,741
18881,2027,1391,2301,1884,1839,1874,120,70,741
19201,1997,1415,2312,1888,1838,1873,120,70,741
19521,2008,1414,2320,1887,1835,1869,110,61,736
19841,1980,1424,2327,1887,1832,1870,110,61,736
20161,1933,1414,2315,1882,1831,1871,110,61,736
20481,1908,1424,2283,1872,1832,1872,110,61,736
20801,1910,1428,2275,1860,1830,1873,110,61,736
21121,1904,1458,2301,1851,1831,1874,110,61,736
21441,1918,1471,2325,1839,1831,1874,110,61,736
21761,1921,1484,2327,1834,1835,1880,93,63,747
22081,1931,1472,2334,1826,1835,1878,93,63,747
22401,1939,1479,2314,1822,1837,1879,93,63,747
22721,2015,1488,2324,1823,1839,1880,93,63,747
23041,2004,1537,2339,1830,1836,1878,93,63,747
23361,1957,1560,2372,1853,1830,1883,93,63,747
23681,1895,1574,2391,1873,1822,1890,93,63,747
24001,1873,1561,2401,1879,1815,1897,85,55,739
24321,1815,1581,2389,1876,1807,1905,85,55,739
24641,1797,1556,2371,1860,1799,1911,85,55,739
24961,1785,1510,2359,1841,1793,1919,85,55,739
25281,1780,1517,2339,1820,1789,1927,85,55,739
25601,1846,1489,2331,1801,1786,1935,85,55,739
25921,1886,1469,2291,1784,1782,1939,85,55,739
26241,1890,1418,2311,1774,1781,1944,70,53,742
26561,1941,1402,2289,1770,1775,1945,70,53,742
26881,1998,1366,2283,1779,1773,1950,70,53,742
27201,2039,1355,2259,1788,1769,1950,70,53,742
27521,2059,1308,2228,1800,1767,1949,70,53,742
27841,2069,1240,2215,1807,1770,1947,70,53,742
28161,2097,1217,2147,1808,1774,1940,70,53,742
28481,2116,1192,2146,1809,1786,1936,71,42,741
28801,2135,1168,2151,1806,1794,1926,71,42,741
29121,2144,1192,2149,1807,1805,1920,71,42,741
29441,2188,1159,2117,1814,1817,1911,71,42,741
29761,2181,1191,2121,1818,1829,1900,71,42,741
30081,2168,1215,2109,1823,1840,1889,71,42,741
30401,2161,1232,2119,1827,1851,1880,71,42,741
30721,2117,1280,2139,1839,1858,1876,65,35,736
31041,2096,1343,2190,1851,1858,1870,65,35,736
31361,2029,1359,2268,1855,1859,1869,65,35,736
31681,1972,1357,2245,1843,1859,1864,65,35,736
32001,1971,1334,2180,1842,1863,1867,65,35,736
32321,1966,1371,2170,1821,1865,1859,65,35,736
32641,1998,1348,2189,1791,1870,1847,65,35,736
32961,2090,1375,2206,1779,1874,1841,69,41,740
33281,2164,1370,2219,1799,1874,1836,69,41,740
33601,2176,1351,2241,1848,1873,1834,69,41,740
33921,2138,1336,2217,1886,1872,1830,69,41,740
34241,2082,1332,2205,1907,1871,1827,69,41,740
34561,2018,1321,2232,1910,1873,1825,69,41,740
34881,1977,1304,2217,1903,1875,1827,69,41,740
35201,1933,1302,2236,1891,1875,1828,65,57,744
35521,1920,1312,2240,1886,1875,1836,65,57,744
35841,1913,1342,2277,1885,1872,1843,65,57,744
36161,1917,1354,2285,1889,1869,1851,65,57,744
36481,1915,1368,2292,1897,1864,1859,65,57,744
36801,1901,1386,2311,1902,1858,1865,65,57,744
37121,1892,1396,2294,1910,1856,1874,65,57,744
37441,1873,1425,2283,1911,1852,1880,42,56,742
37761,1876,1437,2282,1906,1849,1883,42,56,742
38081,1877,1456,2267,1897,1851,1890,42,56,742
38401,1869,1477,2276,1884,1851,1893,42,56,742
38721,1892,1507,2250,1874,1851,1895,42,56,742
39041,1868,1534,2257,1872,1854,1898,42,56,742
39361,1913,1556,2237,1876,1859,1903,42,56,742
39681,1812,1558,2158,1867,1866,1906,34,60,744
40001,2064,1689,2371,1815,1852,1873,34,60,744
40321,2237,1653,2429,1822,1842,1870,34,60,744
40641,2035,1637,2367,1871,1839,1869,34,60,744
40961,1999,1635,2278,1876,1840,1864,34,60,744
41281,2021,1628,2243,1874,1840,1860,34,60,744
41601,1957,1625,2181,1876,1849,1859,34,60,744
41921,1857,1596,2156,1876,1855,1859,19,72,741
42241,1809,1621,2135,1872,1866,1864,19,72,741
42561,1834,1609,2132,1866,1876,1875,19,72,741
42881,1873,1599,2124,1852,1886,1875,19,72,741
43201,1909,1607,2149,1844,1895,1876,19,72,741
43521,1948,1571,2189,1846,1898,1876,19,72,741
43841,1973,1548,2182,1855,1904,1877,19,72,741
44161,1969,1515,2223,1869,1910,1882,13,83,738
44481,1961,1491,2216,1868,1913,1881,13,83,738
44801,1961,1436,2222,1858,1916,1879,13,83,738
45121,1926,1381,2239,1838,1919,1880,13,83,738
45441,1939,1334,2235,1817,1921,1879,13,83,738
45761,1947,1323,2238,1800,1923,1880,13,83,738
46081,1976,1268,2242,1791,1925,1880,13,83,738
46401,1984,1237,2297,1791,1929,1879,-5,111,734
46721,1975,1192,2328,1793,1929,1877,-5,111,734
47041,2016,1160,2343,1796,1924,1871,-5,111,734
47361,2005,1141,2351,1805,1923,1869,-5,111,734
47681,2012,1123,2392,1812,1920,1869,-5,111,734
48001,2012,1112,2402,1818,1915,1866,-5,111,734
48321,2019,1136,2423,1819,1911,1862,-5,111,734
48641,1979,1120,2452,1814,1905,1853,-7,141,724
48961,1972,1127,2472,1807,1902,1845,-7,141,724
49281,1979,1126,2483,1802,1901,1841,-7,141,724
49601,1966,1164,2479,1797,1898,1833,-7,141,724
49921,1952,1176,2501,1799,1897,1829,-7,141,724
50241,1953,1214,2487,1805,1893,1826,-7,141,724
