TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
55681,2768,1880,2100,1810,1961,1831,404,260,545
56001,2735,1857,2099,1802,1958,1823,404,260,545
56321,2755,1860,2077,1779,1959,1814,404,260,545
56641,2833,1823,2037,1763,1961,1806,404,260,545
56961,2902,1823,1993,1768,1972,1803,404,260,545
57281,2878,1809,1922,1757,1981,1787,404,260,545
57601,2828,1803,1951,1758,1992,1782,404,260,545
57921,2843,1829,2023,1773,1996,1778,419,286,535
58241,2823,1850,2142,1800,1989,1769,419,286,535
58561,2839,1875,2197,1834,1976,1763,419,286,535
58881,2784,1812,2165,1864,1963,1756,419,286,535
59201,2680,1774,2117,1874,1953,1751,419,286,535
59521,2659,1731,2057,1861,1950,1744,419,286,535
59841,2614,1750,2047,1842,1951,1738,419,286,535
60161,2656,1768,2052,1830,1953,1735,429,293,513
60481,2764,1744,2038,1845,1959,1733,429,293,513
60801,2917,1677,1982,1895,1967,1726,429,293,513
61121,2770,1620,1967,1917,1974,1716,429,293,513
61441,2716,1686,2000,1935,1982,1717,429,293,513
61761,2712,1678,2034,1926,1983,1712,429,293,513
62081,2643,1666,2044,1920,1984,1712,429,293,513
62401,2681,1699,2106,1919,1981,1718,424,299,518
62721,2755,1731,2134,1919,1974,1720,424,299,518
63041,2727,1727,2123,1923,1968,1721,424,299,518
63361,2732,1706,2111,1937,1962,1724,424,299,518
63681,2748,1705,2036,1947,1964,1724,424,299,518
64001,2703,1707,2013,1947,1968,1726,424,299,518
64321,2687,1714,2006,1942,1978,1725,424,299,518
64641,2675,1744,2033,1943,1982,1730,415,315,516
64961,2661,1749,2096,1937,1983,1729,415,315,516
65281,2674,1741,2130,1930,1977,1729,415,315,516
65,2680,1757,2161,1925,1971,1725,415,315,516
385,2672,1741,2187,1928,1965,1725,415,315,516
705,2633,1762,2182,1920,1961,1722,415,315,516
1025,2612,1782,2175,1918,1958,1723,415,315,516
1345,2629,1790,2201,1916,1956,1721,422,322,517
1665,2604,1796,2222,1915,1952,1719,422,322,517
1985,2628,1788,2223,1922,1943,1718,422,322,517
2305,2622,1779,2257,1930,1935,1719,422,322,517
2625,2572,1775,2276,1945,1931,1722,422,322,517
2945,2538,1762,2214,1947,1924,1724,422,322,517
3265,2487,1724,2149,1948,1927,1733,422,322,517
3585,2494,1756,2187,1931,1924,1737,428,314,514
3905,2479,1777,2177,1924,1927,1743,428,314,514
4225,2524,1752,2229,1928,1922,1754,428,314,514
4545,2501,1771,2168,1938,1920,1762,428,314,514
4865,2465,1786,2268,1935,1910,1768,428,314,514
5185,2478,1755,2188,1931,1906,1776,428,314,514
5505,2480,1778,2259,1932,1903,1786,428,314,514
5825,2479,1766,2232,1934,1902,1797,420,321,508
6145,2490,1747,2191,1938,1904,1804,420,321,508
6465,2549,1776,2231,1939,1900,1804,420,321,508
6785,2556,1793,2279,1940,1894,1805,420,321,508
7105,2567,1784,2262,1939,1884,1805,420,321,508
7425,2546,1808,2313,1936,1872,1806,420,321,508
7745,2547,1781,2252,1940,1865,1812,420,321,508
8065,2503,1775,2217,1933,1856,1813,423,306,517
8385,2483,1775,2244,1923,1852,1819,423,306,517
8705,2493,1776,2239,1919,1848,1822,423,306,517
9025,2491,1756,2213,1921,1845,1827,423,306,517
9345,2485,1770,2236,1925,1841,1834,423,306,517
9665,2066,1598,1484,1927,1852,1836,423,306,517
9985,2468,2738,4072,1535,1576,1795,423,306,517
10305,2841,2581,4074,1418,1429,1831,440,280,508
10625,2697,2210,3519,1485,1286,1793,440,280,508
10945,3214,2213,2792,1671,1193,1789,440,280,508
11265,3337,2195,2691,1880,1136,1775,440,280,508
11585,3090,2087,2599,2106,1116,1767,440,280,508
11905,3004,1891,2270,2352,1151,1783,440,280,508
12225,2880,1606,1923,2563,1215,1794,440,280,508
12545,2606,1293,1740,2652,1298,1810,426,153,551
12865,2350,1095,1595,2637,1382,1812,426,153,551
13185,2265,891,1568,2589,1458,1812,426,153,551
13505,2354,788,1597,2565,1519,1814,426,153,551
13825,2371,817,1717,2571,1565,1819,426,153,551
14145,2349,882,1755,2577,1593,1814,426,153,551
14465,2264,943,1726,2559,1615,1799,426,153,551
14785,2135,962,1734,2515,1636,1785,236,67,660
15105,2060,1019,1742,2459,1659,1779,236,67,660
15425,1994,1092,1750,2393,1685,1776,236,67,660
15745,1980,1160,1810,2352,1706,1784,236,67,660
16065,1998,1220,1889,2319,1723,1794,236,67,660
16385,1970,1275,1992,2300,1737,1806,236,67,660
16705,1957,1368,2050,2294,1743,1820,236,67,660
17025,1934,1425,2137,2270,1748,1831,96,25,685
17345,1981,1450,2191,2240,1750,1843,96,25,685
17665,1950,1487,2227,2203,1752,1855,96,25,685
17985,1925,1523,2276,2168,1755,1871,96,25,685
18305,1903,1516,2274,2127,1755,1882,96,25,685
18625,1857,1539,2307,2087,1759,1899,96,25,685
18945,1840,1575,2285,2054,1768,1921,96,25,685
19265,1851,1570,2217,2027,1780,1935,47,-1,695
19585,1864,1568,2207,2003,1796,1943,47,-1,695
19905,1847,1605,2260,1955,1812,1941,47,-1,695
20225,1882,1661,2324,1910,1824,1940,47,-1,695
20545,1942,1702,2404,1870,1832,1935,47,-1,695
20865,2010,1673,2419,1846,1839,1929,47,-1,695
21185,2087,1644,2451,1830,1845,1923,47,-1,695
21505,2130,1621,2428,1843,1851,1924,51,2,704
21825,2148,1560,2373,1874,1853,1925,51,2,704
22145,2121,1536,2301,1904,1853,1925,51,2,704
22465,2079,1491,2266,1931,1855,1924,51,2,704
22785,2031,1463,2239,1942,1858,1918,51,2,704
23105,2029,1419,2210,1940,1862,1913,51,2,704
23425,1977,1458,2186,1911,1863,1900,51,2,704
23745,1935,1419,2198,1872,1862,1895,52,12,719
24065,1946,1431,2231,1835,1861,1891,52,12,719
24385,1928,1418,2214,1801,1859,1892,52,12,719
24705,1907,1385,2190,1781,1856,1893,52,12,719
25025,1915,1387,2184,1781,1850,1899,52,12,719
25345,1946,1370,2168,1807,1843,1908,52,12,719
25665,1958,1403,2150,1841,1839,1917,52,12,719
25985,1895,1428,2137,1859,1830,1921,60,19,719
26305,1850,1451,2141,1863,1824,1931,60,19,719
26625,1840,1453,2127,1850,1825,1939,60,19,719
26945,1830,1460,2107,1813,1823,1942,60,19,719
27265,1815,1492,2120,1770,1829,1952,60,19,719
27585,1875,1513,2153,1729,1827,1953,60,19,719
27905,1976,1534,2129,1710,1830,1954,60,19,719
28225,2083,1558,2133,1730,1833,1957,98,24,734
28545,2135,1557,2169,1753,1834,1952,98,24,734
28865,2150,1543,2163,1784,1835,1945,98,24,734
29185,2061,1520,2197,1799,1837,1939,98,24,734
29505,2052,1490,2199,1795,1843,1934,98,24,734
29825,2053,1498,2212,1775,1850,1929,98,24,734
30145,2028,1473,2226,1758,1855,1926,98,24,734
30465,2052,1427,2210,1747,1861,1922,135,34,730
30785,2052,1422,2266,1749,1865,1919,135,34,730
31105,2119,1426,2253,1770,1867,1915,135,34,730
31425,2165,1430,2293,1794,1864,1907,135,34,730
31745,2121,1427,2289,1815,1859,1900,135,34,730
32065,2074,1413,2295,1818,1854,1892,135,34,730
32385,2086,1436,2298,1820,1851,1892,135,34,730
32705,2128,1459,2293,1807,1843,1883,160,53,740
33025,2134,1470,2295,1793,1839,1873,160,53,740
33345,2135,1459,2337,1781,1836,1867,160,53,740
33665,2134,1429,2302,1776,1832,1861,160,53,740
33985,2091,1431,2287,1783,1829,1858,160,53,740
34305,2078,1411,2240,1792,1829,1858,160,53,740
34625,2074,1451,2245,1801,1833,1858,160,53,740
34945,2058,1425,2204,1818,1835,1863,175,48,743
