TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
43585,2740,1523,2110,1727,1770,1992,28,-506,257
43905,2825,1593,2124,1736,1766,1987,28,-506,257
44225,2853,1642,2128,1759,1760,1982,28,-506,257
44545,2851,1685,2096,1782,1754,1973,28,-506,257
44865,2799,1684,2042,1794,1756,1963,28,-506,257
45185,2755,1688,1995,1791,1755,1952,28,-506,257
45505,2704,1732,1937,1777,1758,1943,28,-506,257
45825,2710,1756,1891,1761,1764,1937,87,-495,230
46145,2710,1774,1851,1747,1763,1927,87,-495,230
46465,2742,1799,1824,1745,1766,1921,87,-495,230
46785,2773,1855,1803,1770,1763,1915,87,-495,230
47105,2825,1868,1775,1809,1763,1910,87,-495,230
47425,2792,1903,1716,1847,1767,1905,87,-495,230
47745,2771,1936,1643,1857,1772,1893,87,-495,230
48065,2739,1986,1620,1834,1779,1878,108,-501,218
48385,2714,1978,1635,1789,1785,1859,108,-501,218
48705,2644,1961,1602,1749,1792,1841,108,-501,218
49025,2689,1963,1607,1719,1795,1821,108,-501,218
49345,2783,1969,1622,1714,1800,1796,108,-501,218
49665,3011,2015,1619,1755,1805,1767,108,-501,218
49985,3166,2009,1620,1830,1819,1729,108,-501,218
50305,3035,1990,1638,1876,1841,1683,71,-519,213
50625,2953,1945,1625,1872,1855,1639,71,-519,213
50945,2973,1894,1665,1862,1870,1605,71,-519,213
51265,2948,1815,1684,1861,1882,1571,71,-519,213
51585,2841,1779,1738,1864,1896,1550,71,-519,213
51905,2787,1744,1791,1863,1904,1535,71,-519,213
52225,2780,1692,1852,1867,1910,1525,71,-519,213
52545,2775,1691,1889,1873,1915,1519,-49,-522,242
52865,2739,1655,1946,1866,1917,1508,-49,-522,242
53185,2690,1607,1956,1849,1915,1500,-49,-522,242
53505,2631,1559,1946,1834,1914,1499,-49,-522,242
53825,2531,1517,1961,1815,1916,1505,-49,-522,242
54145,2600,1473,1925,1814,1917,1511,-49,-522,242
54465,2667,1458,1906,1832,1926,1514,-49,-522,242
54785,2627,1396,1869,1858,1939,1517,-190,-495,307
55105,2552,1425,1851,1848,1952,1510,-190,-495,307
55425,2769,1399,1889,1872,1957,1512,-190,-495,307
55745,2706,1381,1924,1910,1976,1511,-190,-495,307
56065,2516,1394,1944,1905,1983,1503,-190,-495,307
56385,2502,1372,1989,1882,1981,1505,-190,-495,307
56705,2412,1352,2057,1855,1982,1507,-190,-495,307
57025,2357,1354,2081,1831,1973,1509,-335,-420,379
57345,2376,1318,2107,1833,1966,1517,-335,-420,379
57665,2311,1327,2102,1839,1965,1524,-335,-420,379
57985,2285,1310,2074,1843,1962,1531,-335,-420,379
58305,2258,1293,2041,1849,1965,1539,-335,-420,379
58625,2218,1278,2032,1850,1966,1544,-335,-420,379
58945,2242,1259,2062,1851,1971,1548,-335,-420,379
59265,2216,1257,2095,1861,1974,1555,-437,-314,452
59585,2187,1334,2121,1864,1975,1555,-437,-314,452
59905,2162,1333,2130,1864,1973,1559,-437,-314,452
60225,2115,1350,2185,1858,1968,1564,-437,-314,452
60545,2071,1367,2196,1857,1962,1570,-437,-314,452
60865,2022,1347,2224,1854,1955,1577,-437,-314,452
61185,1994,1360,2231,1850,1945,1586,-437,-314,452
