TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
52065,2011,1342,2205,1847,1877,1703,-490,-211,439
52385,2075,1304,2138,1838,1877,1702,-490,-211,439
52705,2047,1327,2150,1844,1881,1703,-490,-211,439
53025,2003,1331,2139,1853,1883,1703,-490,-211,439
53345,2018,1298,2144,1866,1885,1708,-490,-211,439
53665,2023,1331,2159,1879,1886,1710,-490,-211,439
53985,1979,1373,2235,1884,1886,1709,-490,-211,439
54305,1946,1353,2229,1882,1887,1714,-529,-142,453
54625,1946,1341,2208,1867,1881,1714,-529,-142,453
54945,1958,1328,2210,1855,1878,1714,-529,-142,453
55265,1971,1315,2187,1848,1879,1713,-529,-142,453
55585,1970,1326,2195,1852,1882,1715,-529,-142,453
55905,1993,1310,2178,1863,1882,1715,-529,-142,453
56225,1942,1328,2222,1877,1883,1717,-529,-142,453
56545,1877,1323,2231,1879,1882,1723,-548,-65,495
56865,1917,1332,2191,1875,1883,1726,-548,-65,495
57185,1936,1327,2204,1871,1885,1729,-548,-65,495
57505,1911,1321,2227,1856,1883,1727,-548,-65,495
57825,1897,1335,2236,1849,1883,1728,-548,-65,495
58145,1942,1349,2198,1847,1880,1724,-548,-65,495
58465,1950,1322,2200,1861,1880,1725,-548,-65,495
58785,1901,1354,2223,1876,1880,1723,-559,11,519
59105,1871,1350,2223,1891,1880,1726,-559,11,519
59425,1808,1352,2203,1887,1880,1723,-559,11,519
59745,1831,1352,2175,1882,1883,1725,-559,11,519
60065,1813,1360,2195,1879,1886,1726,-559,11,519
60385,1787,1374,2241,1880,1887,1728,-559,11,519
60705,1766,1376,2246,1878,1887,1733,-559,11,519
61025,1765,1386,2256,1885,1885,1736,-566,89,550
61345,1700,1388,2321,1884,1884,1741,-566,89,550
61665,1720,1407,2344,1881,1881,1748,-566,89,550
61985,1691,1446,2374,1874,1877,1756,-566,89,550
62305,1686,1428,2395,1865,1872,1765,-566,89,550
62625,1655,1476,2445,1842,1862,1773,-566,89,550
62945,1605,1485,2440,1822,1853,1784,-566,89,550
63265,1606,1444,2423,1796,1843,1790,-540,164,585
63585,1628,1419,2374,1774,1840,1793,-540,164,585
63905,1658,1433,2347,1765,1841,1791,-540,164,585
64225,1661,1442,2350,1767,1846,1791,-540,164,585
64545,1677,1427,2339,1779,1851,1789,-540,164,585
64865,1666,1459,2330,1792,1863,1785,-540,164,585
65185,1702,1489,2300,1809,1872,1780,-540,164,585
65505,1666,1525,2355,1835,1884,1777,-482,201,641
289,1584,1563,2393,1845,1893,1775,-482,201,641
609,1666,1574,2334,1855,1899,1774,-482,201,641
929,1631,1605,2354,1865,1907,1770,-482,201,641
1249,1586,1643,2387,1875,1911,1770,-482,201,641
1569,1586,1670,2382,1880,1914,1770,-482,201,641
1889,1597,1676,2358,1890,1919,1772,-482,201,641
2209,1523,1693,2367,1893,1920,1772,-422,233,660
2529,1442,1655,2364,1887,1924,1779,-422,233,660
2849,1463,1614,2313,1887,1930,1781,-422,233,660
3169,1488,1648,2348,1894,1936,1785,-422,233,660
3489,1503,1657,2395,1903,1942,1789,-422,233,660
3809,1434,1717,2434,1898,1940,1793,-422,233,660
4129,1492,1702,2437,1892,1933,1795,-422,233,660
4449,1487,1751,2447,1894,1929,1801,-384,282,686
4769,1391,1759,2482,1886,1923,1804,-384,282,686
5089,1441,1722,2447,1866,1916,1805,-384,282,686
5409,1481,1706,2417,1862,1914,1809,-384,282,686
5729,1482,1730,2419,1857,1911,1808,-384,282,686
6049,1477,1732,2425,1859,1911,1813,-384,282,686
6369,1480,1726,2409,1858,1910,1814,-384,282,686
6689,1464,1700,2388,1862,1911,1817,-339,285,699
7009,1467,1712,2382,1866,1913,1820,-339,285,699
7329,1474,1698,2366,1863,1914,1819,-339,285,699
7649,1500,1691,2362,1868,1916,1822,-339,285,699
7969,1480,1739,2408,1874,1915,1826,-339,285,699
8289,1465,1732,2402,1877,1916,1829,-339,285,699
8609,1482,1731,2388,1874,1917,1831,-339,285,699
8929,1468,1736,2383,1872,1917,1835,-299,292,700
9249,1475,1750,2371,1871,1917,1836,-299,292,700
9569,1501,1766,2386,1877,1920,1842,-299,292,700
9889,1496,1803,2395,1875,1915,1842,-299,292,700
10209,1487,1857,2395,1873,1913,1845,-299,292,700
10529,1478,1855,2432,1869,1909,1849,-299,292,700
10849,1468,1886,2385,1863,1903,1851,-299,292,700
11169,1424,1898,2384,1855,1899,1855,-265,292,703
11489,1410,1902,2325,1846,1895,1861,-265,292,703
11809,1413,1946,2316,1835,1894,1869,-265,292,703
12129,1399,1948,2302,1827,1896,1877,-265,292,703
12449,1420,2019,2303,1819,1894,1881,-265,292,703
12769,1442,2054,2303,1817,1895,1885,-265,292,703
13089,1481,2070,2291,1809,1894,1883,-265,292,703
13409,1439,2071,2268,1805,1895,1879,-239,276,702
13729,1491,2051,2265,1806,1895,1876,-239,276,702
14049,1505,2038,2274,1809,1901,1870,-239,276,702
14369,1495,2022,2288,1814,1905,1859,-239,276,702
14689,1506,1980,2266,1820,1911,1845,-239,276,702
15009,1538,1975,2233,1831,1922,1828,-239,276,702
15329,1588,1983,2225,1848,1932,1803,-239,276,702
15649,1524,1998,2246,1881,1946,1793,-212,289,694
15969,1298,2009,2333,1874,1951,1778,-212,289,694
16289,1606,1957,2183,1896,1962,1768,-212,289,694
16609,1532,1928,2204,1935,1979,1754,-212,289,694
16929,1348,2025,2357,1972,1982,1760,-212,289,694
17249,863,2100,2636,1935,1968,1777,-212,289,694
17569,911,2122,2648,1887,1937,1811,-212,289,694
17889,934,2122,2715,1845,1909,1837,-225,324,667
18209,886,2123,2852,1794,1878,1866,-225,324,667
18529,1009,2101,2831,1749,1845,1890,-225,324,667
18849,1195,2054,2765,1731,1820,1900,-225,324,667
19169,1368,2039,2708,1743,1808,1900,-225,324,667
19489,1455,2047,2637,1774,1803,1892,-225,324,667
19809,1472,2052,2589,1813,1801,1882,-225,324,667
20129,1403,2107,2541,1841,1798,1876,-216,351,666
20449,1223,2143,2546,1847,1789,1879,-216,351,666
20769,1133,2158,2479,1839,1782,1895,-216,351,666
21089,1064,2155,2498,1809,1770,1910,-216,351,666
21409,1117,2206,2478,1782,1757,1926,-216,351,666
21729,1196,2191,2450,1778,1749,1945,-216,351,666
22049,1233,2176,2467,1781,1743,1956,-216,351,666
22369,1266,2214,2503,1781,1738,1963,-249,352,673
22689,1315,2193,2482,1777,1728,1967,-249,352,673
23009,1320,2146,2491,1786,1726,1977,-249,352,673
23329,1292,2114,2466,1792,1725,1983,-249,352,673
23649,1314,2092,2447,1798,1725,1992,-249,352,673
23969,1298,2034,2472,1798,1727,2001,-249,352,673
24289,1342,2049,2513,1795,1723,2007,-249,352,673
24609,1378,2052,2543,1795,1721,2013,-297,340,669
24929,1466,2052,2516,1806,1715,2023,-297,340,669
25249,1458,1997,2553,1814,1713,2031,-297,340,669
25569,1468,1985,2518,1819,1708,2038,-297,340,669
25889,1479,1922,2453,1833,1711,2056,-297,340,669
26209,1406,1814,2352,1847,1719,2072,-297,340,669
26529,1360,1774,2354,1845,1733,2092,-297,340,669
26849,1440,1779,2364,1834,1740,2108,-379,322,665
27169,1500,1764,2364,1836,1750,2122,-379,322,665
27489,1511,1735,2426,1835,1759,2133,-379,322,665
27809,1618,1747,2495,1830,1760,2138,-379,322,665
28129,1710,1730,2497,1832,1759,2141,-379,322,665
28449,1729,1690,2502,1837,1760,2145,-379,322,665
28769,1723,1669,2414,1847,1762,2155,-379,322,665
29089,1666,1595,2346,1846,1772,2165,-480,260,624
29409,1655,1543,2329,1844,1783,2176,-480,260,624
29729,1650,1527,2336,1843,1791,2186,-480,260,624
30049,1649,1523,2341,1851,1798,2200,-480,260,624
30369,1701,1500,2371,1860,1805,2210,-480,260,624
30689,1712,1485,2374,1857,1807,2218,-480,260,624
31009,1707,1483,2353,1847,1811,2227,-480,260,624
31329,1752,1491,2338,1833,1814,2234,-565,150,560
31649,1887,1478,2348,1835,1817,2237,-565,150,560
31969,1965,1434,2347,1863,1821,2245,-565,150,560
32289,1916,1420,2337,1888,1824,2243,-565,150,560
32609,1920,1419,2338,1904,1827,2244,-565,150,560
32929,1920,1399,2330,1911,1827,2241,-565,150,560
33249,1854,1387,2338,1903,1829,2238,-565,150,560
33569,1818,1396,2347,1886,1830,2237,-585,13,503
33889,1802,1391,2343,1870,1827,2239,-585,13,503
34209,1840,1387,2334,1861,1824,2239,-585,13,503
34529,1905,1378,2294,1861,1821,2241,-585,13,503
34849,1966,1340,2297,1874,1826,2238,-585,13,503
35169,2003,1346,2279,1895,1828,2234,-585,13,503
35489,1943,1343,2302,1910,1831,2230,-585,13,503
35809,1896,1326,2295,1914,1830,2230,-574,-120,459
36129,1845,1335,2298,1911,1832,2232,-574,-120,459
36449,1862,1329,2319,1901,1831,2229,-574,-120,459
36769,1875,1343,2307,1878,1829,2224,-574,-120,459
37089,1891,1320,2324,1855,1828,2222,-574,-120,459
37409,1969,1317,2308,1839,1826,2214,-574,-120,459
37729,2013,1317,2312,1826,1828,2207,-574,-120,459
38049,2035,1321,2325,1821,1825,2199,-521,-240,404
38369,2073,1338,2316,1828,1821,2197,-521,-240,404
38689,2083,1345,2326,1841,1819,2195,-521,-240,404
39009,2072,1363,2335,1851,1820,2190,-521,-240,404
39329,2091,1385,2292,1848,1821,2183,-521,-240,404
39649,2033,1355,2297,1839,1823,2176,-521,-240,404
39969,2020,1386,2311,1818,1824,2170,-521,-240,404
40289,2145,1391,2327,1810,1826,2167,-445,-335,373
40609,2224,1380,2288,1822,1827,2160,-445,-335,373
40929,2264,1385,2301,1842,1833,2150,-445,-335,373
41249,2263,1394,2331,1871,1841,2148,-445,-335,373
41569,2230,1417,2336,1879,1842,2142,-445,-335,373
41889,2215,1448,2346,1875,1840,2137,-445,-335,373
42209,2193,1466,2347,1861,1838,2135,-445,-335,373
42529,2165,1472,2367,1843,1836,2131,-358,-404,338
42849,2201,1489,2364,1827,1834,2134,-358,-404,338
43169,2206,1483,2312,1822,1830,2132,-358,-404,338
43489,2234,1425,2256,1833,1839,2135,-358,-404,338
43809,2328,1400,2237,1851,1849,2133,-358,-404,338
44129,2390,1404,2239,1881,1863,2125,-358,-404,338
44449,2344,1440,2257,1899,1877,2120,-358,-404,338
44769,2272,1468,2272,1901,1883,2121,-240,-454,331
45089,2232,1524,2314,1886,1884,2122,-240,-454,331
45409,2283,1539,2321,1857,1884,2119,-240,-454,331
45729,2255,1543,2313,1824,1886,2116,-240,-454,331
46049,2282,1549,2327,1792,1888,2113,-240,-454,331
46369,2370,1588,2281,1781,1891,2109,-240,-454,331
46689,2355,1570,2259,1783,1894,2106,-240,-454,331
47009,2438,1606,2244,1792,1900,2095,-140,-462,326
47329,2520,1639,2221,1808,1910,2081,-140,-462,326
