TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
46401,2827,2968,1835,1995,2039,1942,327,482,592
46721,2724,2987,1823,2007,2043,1937,327,482,592
47041,2656,3017,1789,2008,2047,1946,327,482,592
47361,2623,2987,1777,2005,2047,1946,327,482,592
47681,2604,2956,1778,2024,2056,1958,327,482,592
48001,2568,2904,1770,2045,2060,1967,327,482,592
48321,2594,2887,1799,2078,2069,1978,327,482,592
48641,2608,2865,1826,2122,2076,1987,264,537,574
48961,2516,2842,1820,2157,2080,1996,264,537,574
49281,2457,2850,1852,2198,2080,2012,264,537,574
49601,2457,2887,1913,2228,2076,2025,264,537,574
49921,2415,2906,1904,2273,2071,2041,264,537,574
50241,2372,2897,1927,2284,2061,2043,264,537,574
50561,2303,2906,1943,2292,2048,2050,264,537,574
50881,2386,2851,1904,2309,2034,2057,143,613,571
51201,2176,2806,1895,2278,2017,2059,143,613,571
51521,2011,2804,1885,2218,2002,2066,143,613,571
51841,2031,2755,1857,2149,1986,2079,143,613,571
52161,2012,2754,1874,2088,1973,2088,143,613,571
52481,2010,2729,1872,2032,1959,2092,143,613,571
52801,2031,2764,1883,1984,1945,2096,143,613,571
53121,2045,2765,1895,1942,1927,2100,28,641,552
53441,2031,2721,1887,1906,1911,2104,28,641,552
53761,2009,2701,1912,1882,1893,2119,28,641,552
54081,2018,2703,1883,1856,1877,2129,28,641,552
54401,2008,2669,1893,1831,1863,2138,28,641,552
54721,1972,2670,1860,1805,1851,2150,28,641,552
55041,1969,2678,1824,1783,1844,2166,28,641,552
55361,1994,2673,1822,1759,1841,2180,-46,657,543
55681,1991,2708,1791,1731,1840,2194,-46,657,543
56001,2006,2751,1790,1703,1841,2202,-46,657,543
56321,2012,2751,1774,1675,1847,2215,-46,657,543
56641,2060,2798,1794,1660,1858,2231,-46,657,543
56961,2099,2887,1804,1648,1870,2243,-46,657,543
57281,2139,2986,1805,1640,1888,2255,-46,657,543
57601,2134,3060,1846,1643,1904,2261,-88,660,544
57921,2181,3151,1916,1673,1922,2273,-88,660,544
58241,2239,3266,2017,1725,1930,2284,-88,660,544
58561,2309,3295,2062,1794,1933,2286,-88,660,544
58881,2311,3308,2101,1869,1935,2281,-88,660,544
59201,2293,3284,2049,1945,1938,2269,-88,660,544
59521,2296,3257,2040,2024,1942,2245,-88,660,544
